,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,1999-01-01,NSE:ANTGRAPHIC,0.23,0.23,0.16,0.19,1600000.0,,
1,1999-01-04,NSE:ANTGRAPHIC,0.24,0.285,0.225,0.27,251000.0,42.10526315789475,
2,1999-01-05,NSE:ANTGRAPHIC,0.26,0.275,0.26,0.26,89000.0,-3.703703703703707,42.10526315789475
3,1999-01-06,NSE:ANTGRAPHIC,0.295,0.3,0.27,0.27,108000.0,3.8461538461538494,-3.703703703703707
4,1999-01-07,NSE:ANTGRAPHIC,0.285,0.29,0.275,0.275,34000.0,1.8518518518518534,3.8461538461538494
5,1999-01-08,NSE:ANTGRAPHIC,0.25,0.28,0.25,0.26,72000.0,-5.4545454545454595,1.8518518518518534
6,1999-01-11,NSE:ANTGRAPHIC,0.23,0.255,0.23,0.255,11000.0,-1.9230769230769247,-5.4545454545454595
7,1999-01-12,NSE:ANTGRAPHIC,0.295,0.295,0.22,0.26,56000.0,1.960784313725492,-1.9230769230769247
8,1999-01-13,NSE:ANTGRAPHIC,0.25,0.25,0.25,0.25,65000.0,-3.8461538461538494,1.960784313725492
9,1999-01-14,NSE:ANTGRAPHIC,0.23,0.24,0.23,0.23,17000.0,-7.9999999999999964,-3.8461538461538494
10,1999-01-15,NSE:ANTGRAPHIC,0.28,0.285,0.25,0.25,84000.0,8.69565217391304,-7.9999999999999964
11,1999-01-18,NSE:ANTGRAPHIC,0.25,0.265,0.25,0.265,37000.0,6.000000000000005,8.69565217391304
12,1999-01-19,NSE:ANTGRAPHIC,0.29,0.375,0.29,0.37,113000.0,39.622641509433954,6.000000000000005
13,1999-01-21,NSE:ANTGRAPHIC,0.4,0.555,0.395,0.525,371000.0,41.891891891891895,39.622641509433954
14,1999-01-22,NSE:ANTGRAPHIC,0.55,0.55,0.45,0.495,186000.0,-5.714285714285719,41.891891891891895
15,1999-01-25,NSE:ANTGRAPHIC,0.485,0.545,0.47,0.505,150000.0,2.020202020202022,-5.714285714285719
16,1999-01-27,NSE:ANTGRAPHIC,0.6,0.62,0.565,0.6,488000.0,18.811881188118807,2.020202020202022
17,1999-01-28,NSE:ANTGRAPHIC,0.625,0.65,0.515,0.53,310000.0,-11.666666666666659,18.811881188118807
18,1999-01-29,NSE:ANTGRAPHIC,0.53,0.53,0.46,0.49,68000.0,-7.547169811320761,-11.666666666666659
19,1999-02-01,NSE:ANTGRAPHIC,0.45,0.47,0.4,0.4,80000.0,-18.3673469387755,-7.547169811320761
20,1999-02-02,NSE:ANTGRAPHIC,0.41,0.425,0.4,0.4,175000.0,0.0,-18.3673469387755
21,1999-02-03,NSE:ANTGRAPHIC,0.49,0.49,0.41,0.425,105000.0,6.249999999999992,0.0
22,1999-02-04,NSE:ANTGRAPHIC,0.4,0.455,0.4,0.455,61000.0,7.058823529411772,6.249999999999992
23,1999-02-05,NSE:ANTGRAPHIC,0.42,0.425,0.4,0.4,53000.0,-12.087912087912086,7.058823529411772
24,1999-02-08,NSE:ANTGRAPHIC,0.6,0.6,0.4,0.4,11000.0,0.0,-12.087912087912086
25,1999-02-09,NSE:ANTGRAPHIC,0.355,0.4,0.355,0.36,90000.0,-10.000000000000009,0.0
26,1999-02-10,NSE:ANTGRAPHIC,0.375,0.4,0.355,0.395,79000.0,9.72222222222223,-10.000000000000009
27,1999-02-11,NSE:ANTGRAPHIC,0.49,0.49,0.36,0.42,26000.0,6.329113924050624,9.72222222222223
28,1999-02-12,NSE:ANTGRAPHIC,0.445,0.445,0.405,0.43,57000.0,2.380952380952383,6.329113924050624
29,1999-02-15,NSE:ANTGRAPHIC,0.38,0.47,0.38,0.41,103000.0,-4.651162790697678,2.380952380952383
30,1999-02-16,NSE:ANTGRAPHIC,0.425,0.5,0.39,0.49,194000.0,19.512195121951226,-4.651162790697678
31,1999-02-17,NSE:ANTGRAPHIC,0.49,0.49,0.435,0.47,207000.0,-4.081632653061228,19.512195121951226
32,1999-02-18,NSE:ANTGRAPHIC,0.45,0.515,0.45,0.5,250000.0,6.382978723404261,-4.081632653061228
33,1999-02-19,NSE:ANTGRAPHIC,0.49,0.51,0.475,0.475,31000.0,-5.000000000000004,6.382978723404261
34,1999-02-22,NSE:ANTGRAPHIC,0.49,0.52,0.465,0.465,147000.0,-2.105263157894727,-5.000000000000004
35,1999-02-23,NSE:ANTGRAPHIC,0.435,0.455,0.435,0.44,50000.0,-5.3763440860215095,-2.105263157894727
36,1999-02-24,NSE:ANTGRAPHIC,0.66,0.66,0.4,0.405,31000.0,-7.954545454545449,-5.3763440860215095
37,1999-02-25,NSE:ANTGRAPHIC,0.415,0.415,0.39,0.39,106000.0,-3.703703703703707,-7.954545454545449
38,1999-02-26,NSE:ANTGRAPHIC,0.41,0.44,0.41,0.415,28000.0,6.410256410256402,-3.703703703703707
39,1999-03-01,NSE:ANTGRAPHIC,0.42,0.45,0.4,0.4,105000.0,-3.6144578313252915,6.410256410256402
40,1999-03-03,NSE:ANTGRAPHIC,0.47,0.47,0.415,0.43,81000.0,7.499999999999993,-3.6144578313252915
41,1999-03-04,NSE:ANTGRAPHIC,0.425,0.43,0.4,0.41,39000.0,-4.651162790697678,7.499999999999993
42,1999-03-05,NSE:ANTGRAPHIC,0.385,0.415,0.38,0.415,37000.0,1.2195121951219523,-4.651162790697678
43,1999-03-08,NSE:ANTGRAPHIC,0.405,0.405,0.39,0.39,23000.0,-6.024096385542161,1.2195121951219523
44,1999-03-09,NSE:ANTGRAPHIC,0.36,0.37,0.32,0.32,40000.0,-17.94871794871795,-6.024096385542161
45,1999-03-10,NSE:ANTGRAPHIC,0.45,0.45,0.35,0.39,47000.0,21.875000000000004,-17.94871794871795
46,1999-03-11,NSE:ANTGRAPHIC,0.385,0.4,0.35,0.35,43000.0,-10.256410256410266,21.875000000000004
47,1999-03-12,NSE:ANTGRAPHIC,0.35,0.35,0.35,0.35,1000.0,0.0,-10.256410256410266
48,1999-03-15,NSE:ANTGRAPHIC,0.34,0.34,0.295,0.295,31000.0,-15.714285714285714,0.0
49,1999-03-16,NSE:ANTGRAPHIC,0.29,0.33,0.285,0.3,64000.0,1.6949152542372898,-15.714285714285714
50,1999-03-17,NSE:ANTGRAPHIC,0.35,0.37,0.35,0.37,30000.0,23.333333333333336,1.6949152542372898
51,1999-03-18,NSE:ANTGRAPHIC,0.35,0.365,0.35,0.36,42000.0,-2.7027027027027053,23.333333333333336
52,1999-03-19,NSE:ANTGRAPHIC,0.355,0.365,0.315,0.32,23000.0,-11.111111111111107,-2.7027027027027053
53,1999-03-22,NSE:ANTGRAPHIC,0.305,0.375,0.305,0.375,29000.0,17.187499999999996,-11.111111111111107
54,1999-03-23,NSE:ANTGRAPHIC,0.34,0.4,0.33,0.35,43000.0,-6.666666666666672,17.187499999999996
55,1999-03-24,NSE:ANTGRAPHIC,0.315,0.4,0.315,0.4,54000.0,14.285714285714299,-6.666666666666672
56,1999-03-25,NSE:ANTGRAPHIC,0.35,0.4,0.35,0.4,28000.0,0.0,14.285714285714299
57,1999-03-26,NSE:ANTGRAPHIC,0.4,0.425,0.4,0.4,50000.0,0.0,0.0
58,1999-03-30,NSE:ANTGRAPHIC,0.395,0.4,0.375,0.39,29000.0,-2.500000000000002,0.0
59,1999-03-31,NSE:ANTGRAPHIC,0.4,0.425,0.385,0.4,45000.0,2.5641025641025665,-2.500000000000002
60,1999-04-01,NSE:ANTGRAPHIC,0.36,0.395,0.36,0.395,16000.0,-1.250000000000001,2.5641025641025665
61,1999-04-05,NSE:ANTGRAPHIC,0.36,0.44,0.36,0.365,43000.0,-7.594936708860765,-1.250000000000001
62,1999-04-06,NSE:ANTGRAPHIC,0.38,0.38,0.375,0.38,24000.0,4.109589041095894,-7.594936708860765
63,1999-04-07,NSE:ANTGRAPHIC,0.37,0.39,0.37,0.39,11000.0,2.6315789473684235,4.109589041095894
64,1999-04-08,NSE:ANTGRAPHIC,0.385,0.4,0.385,0.4,82000.0,2.5641025641025665,2.6315789473684235
65,1999-04-09,NSE:ANTGRAPHIC,0.395,0.4,0.385,0.385,22000.0,-3.7500000000000036,2.5641025641025665
66,1999-04-12,NSE:ANTGRAPHIC,0.39,0.395,0.355,0.36,17000.0,-6.493506493506499,-3.7500000000000036
67,1999-04-13,NSE:ANTGRAPHIC,0.345,0.345,0.33,0.33,13000.0,-8.333333333333325,-6.493506493506499
68,1999-04-16,NSE:ANTGRAPHIC,0.35,0.365,0.35,0.365,4000.0,10.606060606060598,-8.333333333333325
69,1999-04-19,NSE:ANTGRAPHIC,0.34,0.345,0.34,0.345,10000.0,-5.479452054794526,10.606060606060598
70,1999-04-20,NSE:ANTGRAPHIC,0.27,0.375,0.27,0.29,71000.0,-15.942028985507244,-5.479452054794526
71,1999-04-21,NSE:ANTGRAPHIC,0.32,0.32,0.31,0.31,11000.0,6.896551724137938,-15.942028985507244
