,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2024-03-20,NSE:AVPINFRA,79.0,79.0,75.050003,75.050003,1497600.0,,
1,2024-03-21,NSE:AVPINFRA,71.300003,75.0,71.300003,72.849998,601600.0,-2.931385625660807,
2,2024-03-22,NSE:AVPINFRA,69.25,71.849998,69.199997,69.449997,268800.0,-4.667125728678816,-2.931385625660807
3,2024-03-26,NSE:AVPINFRA,69.5,72.900002,69.5,72.900002,115200.0,4.967610005800295,-4.667125728678816
4,2024-03-27,NSE:AVPINFRA,76.449997,76.5,74.099998,76.5,235200.0,4.938268725973423,4.967610005800295
5,2024-03-28,NSE:AVPINFRA,80.300003,80.300003,72.900002,77.5,448000.0,1.3071895424836601,4.938268725973423
6,2024-04-01,NSE:AVPINFRA,80.800003,80.800003,75.5,77.650002,147200.0,0.1935509677419363,1.3071895424836601
7,2024-04-02,NSE:AVPINFRA,77.650002,77.650002,74.25,76.449997,97600.0,-1.5454024070727062,0.1935509677419363
8,2024-04-03,NSE:AVPINFRA,76.449997,79.800003,73.0,75.650002,284800.0,-1.0464290796505795,-1.5454024070727062
9,2024-04-04,NSE:AVPINFRA,76.699997,79.400002,76.050003,79.400002,425600.0,4.95703886432151,-1.0464290796505795
10,2024-04-05,NSE:AVPINFRA,83.0,86.5,80.75,81.5,644800.0,2.644833686528118,4.95703886432151
11,2024-04-08,NSE:AVPINFRA,82.099998,82.099998,76.0,76.650002,286400.0,-5.950917791411042,2.644833686528118
12,2024-04-09,NSE:AVPINFRA,76.0,76.650002,73.5,74.75,148800.0,-2.4788022836581276,-5.950917791411042
13,2024-04-10,NSE:AVPINFRA,74.050003,74.699997,72.699997,73.050003,121600.0,-2.2742434782608645,-2.4788022836581276
14,2024-04-12,NSE:AVPINFRA,72.900002,73.0,70.800003,71.400002,116800.0,-2.2587281755484705,-2.2742434782608645
15,2024-04-15,NSE:AVPINFRA,65.0,69.599998,63.0,67.300003,409600.0,-5.742295357358669,-2.2587281755484705
16,2024-04-16,NSE:AVPINFRA,66.75,70.599998,66.75,69.050003,163200.0,2.600297060908006,-5.742295357358669
17,2024-04-18,NSE:AVPINFRA,69.550003,73.449997,69.550003,70.900002,108800.0,2.6792163933722013,2.600297060908006
18,2024-04-19,NSE:AVPINFRA,68.400002,72.599998,68.400002,70.25,153600.0,-0.9167869981160235,2.6792163933722013
19,2024-04-22,NSE:AVPINFRA,75.0,84.300003,75.0,84.300003,953600.0,20.00000427046264,-0.9167869981160235
20,2024-04-23,NSE:AVPINFRA,89.400002,98.650002,89.0,92.349998,923200.0,9.549222673218642,20.00000427046264
21,2024-04-24,NSE:AVPINFRA,96.0,97.0,87.099998,88.349998,259200.0,-4.331348225909004,9.549222673218642
22,2024-04-25,NSE:AVPINFRA,87.349998,88.0,83.400002,84.099998,185600.0,-4.81041323849266,-4.331348225909004
23,2024-04-26,NSE:AVPINFRA,87.0,90.0,86.0,87.800003,334400.0,4.399530425672548,-4.81041323849266
24,2024-04-29,NSE:AVPINFRA,89.0,92.25,86.349998,87.0,126400.0,-0.9111651169305811,4.399530425672548
25,2024-04-30,NSE:AVPINFRA,87.0,90.0,86.0,86.900002,140800.0,-0.11494022988505674,-0.9111651169305811
26,2024-05-02,NSE:AVPINFRA,89.0,91.0,85.0,85.650002,188800.0,-1.4384349496332578,-0.11494022988505674
27,2024-05-03,NSE:AVPINFRA,86.050003,90.0,85.099998,89.099998,364800.0,4.028016251534937,-1.4384349496332578
28,2024-05-06,NSE:AVPINFRA,91.099998,91.900002,87.300003,88.800003,166400.0,-0.33669473258573535,4.028016251534937
29,2024-05-07,NSE:AVPINFRA,88.699997,90.300003,84.0,85.650002,128000.0,-3.547298303582268,-0.33669473258573535
