,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2024-10-07,NSE:DIVYADHAN,92.6,92.6,88.2,92.6,534000.0,,
1,2024-10-08,NSE:DIVYADHAN,90.1,96.0,88.0,93.95,268000.0,1.457883369330463,
2,2024-10-09,NSE:DIVYADHAN,94.0,94.0,90.05,90.5,52000.0,-3.6721660457690293,1.457883369330463
3,2024-10-10,NSE:DIVYADHAN,90.0,92.0,88.55,90.05,82000.0,-0.49723756906077665,-3.6721660457690293
4,2024-10-11,NSE:DIVYADHAN,86.0,90.5,85.55,89.0,22000.0,-1.1660188784008854,-0.49723756906077665
5,2024-10-14,NSE:DIVYADHAN,87.0,87.5,84.55,84.55,32000.0,-5.000000000000003,-1.1660188784008854
6,2024-10-15,NSE:DIVYADHAN,84.55,84.55,80.35,83.5,42000.0,-1.2418687167356561,-5.000000000000003
7,2024-10-16,NSE:DIVYADHAN,83.5,83.5,81.0,83.4,14000.0,-0.11976047904190935,-1.2418687167356561
8,2024-10-17,NSE:DIVYADHAN,85.0,85.0,83.3,84.8,22000.0,1.6786570743405171,-0.11976047904190935
9,2024-10-21,NSE:DIVYADHAN,81.9,86.0,73.0,78.15,44000.0,-7.841981132075462,1.6786570743405171
10,2024-10-22,NSE:DIVYADHAN,75.0,75.0,66.0,67.6,40000.0,-13.499680102367256,-7.841981132075462
11,2024-10-23,NSE:DIVYADHAN,67.0,80.9,67.0,74.75,344000.0,10.576923076923087,-13.499680102367256
12,2024-10-24,NSE:DIVYADHAN,75.95,81.0,75.95,80.5,20000.0,7.6923076923076925,10.576923076923087
13,2024-10-25,NSE:DIVYADHAN,75.4,75.4,72.0,74.15,20000.0,-7.888198757763969,7.6923076923076925
14,2024-10-28,NSE:DIVYADHAN,70.5,76.8,70.5,76.8,6000.0,3.5738368172622943,-7.888198757763969
15,2024-10-29,NSE:DIVYADHAN,74.0,86.1,72.55,80.0,24000.0,4.1666666666666705,3.5738368172622943
16,2024-10-30,NSE:DIVYADHAN,86.0,86.0,82.05,82.55,40000.0,3.1874999999999964,4.1666666666666705
17,2024-10-31,NSE:DIVYADHAN,82.3,84.5,80.0,82.5,12000.0,-0.06056935190793115,3.1874999999999964
18,2024-11-01,NSE:DIVYADHAN,86.2,86.2,83.0,84.0,10000.0,1.8181818181818181,-0.06056935190793115
19,2024-11-04,NSE:DIVYADHAN,85.0,85.0,78.05,80.65,32000.0,-3.9880952380952315,1.8181818181818181
20,2024-11-05,NSE:DIVYADHAN,79.95,83.2,78.2,80.2,68000.0,-0.557966522008683,-3.9880952380952315
21,2024-11-06,NSE:DIVYADHAN,81.95,81.95,80.2,80.55,16000.0,0.4364089775561026,-0.557966522008683
22,2024-11-07,NSE:DIVYADHAN,82.95,82.95,77.8,82.9,36000.0,2.9174425822470624,0.4364089775561026
23,2024-11-08,NSE:DIVYADHAN,84.0,84.5,79.75,81.65,60000.0,-1.507840772014475,2.9174425822470624
24,2024-11-11,NSE:DIVYADHAN,79.0,80.0,76.0,76.55,58000.0,-6.246172688303746,-1.507840772014475
