,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2021-05-20,NSE:EQUIPPP,1.4,1.45,1.4,1.45,6922.0,,
1,2021-05-21,NSE:EQUIPPP,1.5,1.5,1.5,1.5,606.0,3.448275862068969,
2,2021-05-24,NSE:EQUIPPP,1.55,1.55,1.55,1.55,985.0,3.333333333333336,3.448275862068969
3,2021-05-25,NSE:EQUIPPP,1.6,1.6,1.6,1.6,1124.0,3.2258064516129057,3.333333333333336
4,2021-05-26,NSE:EQUIPPP,1.65,1.65,1.65,1.65,102.0,3.124999999999989,3.2258064516129057
5,2021-05-27,NSE:EQUIPPP,1.7,1.7,1.7,1.7,381.0,3.030303030303033,3.124999999999989
6,2021-05-28,NSE:EQUIPPP,1.75,1.75,1.75,1.75,418.0,2.941176470588238,3.030303030303033
7,2021-05-31,NSE:EQUIPPP,1.8,1.8,1.8,1.8,870.0,2.85714285714286,2.941176470588238
8,2021-06-01,NSE:EQUIPPP,1.85,1.85,1.85,1.85,1675.0,2.77777777777778,2.85714285714286
9,2021-06-02,NSE:EQUIPPP,1.9,1.9,1.9,1.9,586.0,2.7027027027026933,2.77777777777778
10,2021-06-03,NSE:EQUIPPP,2.05,2.05,2.05,2.05,2033.0,7.894736842105258,2.7027027027026933
11,2021-06-04,NSE:EQUIPPP,2.25,2.25,2.25,2.25,537.0,9.75609756097562,7.894736842105258
12,2021-06-07,NSE:EQUIPPP,2.45,2.45,2.45,2.45,133.0,8.888888888888896,9.75609756097562
13,2021-06-08,NSE:EQUIPPP,2.55,2.55,2.55,2.55,559.0,4.0816326530612095,8.888888888888896
14,2021-06-09,NSE:EQUIPPP,2.65,2.65,2.65,2.65,138.0,3.921568627450984,4.0816326530612095
15,2021-06-10,NSE:EQUIPPP,2.75,2.75,2.75,2.75,946.0,3.7735849056603805,3.921568627450984
16,2021-06-11,NSE:EQUIPPP,2.85,2.85,2.85,2.85,265.0,3.63636363636364,3.7735849056603805
17,2021-06-14,NSE:EQUIPPP,2.95,2.95,2.95,2.95,1745.0,3.5087719298245648,3.63636363636364
18,2021-06-15,NSE:EQUIPPP,3.05,3.05,3.05,3.05,312.0,3.3898305084745637,3.5087719298245648
19,2021-06-16,NSE:EQUIPPP,3.2,3.2,3.2,3.2,105.0,4.918032786885258,3.3898305084745637
20,2021-06-17,NSE:EQUIPPP,3.35,3.35,3.35,3.35,291.0,4.687499999999997,4.918032786885258
21,2021-06-18,NSE:EQUIPPP,3.5,3.5,3.5,3.5,12.0,4.477611940298504,4.687499999999997
22,2021-06-21,NSE:EQUIPPP,3.65,3.65,3.65,3.65,1163.0,4.285714285714283,4.477611940298504
23,2021-06-22,NSE:EQUIPPP,3.8,3.8,3.8,3.8,273.0,4.109589041095888,4.285714285714283
24,2021-06-23,NSE:EQUIPPP,3.95,3.95,3.95,3.95,343.0,3.947368421052641,4.109589041095888
25,2021-06-24,NSE:EQUIPPP,4.1,4.1,4.1,4.1,68.0,3.797468354430366,3.947368421052641
26,2021-06-25,NSE:EQUIPPP,4.3,4.3,4.3,4.3,673.0,4.87804878048781,3.797468354430366
27,2021-06-28,NSE:EQUIPPP,4.5,4.5,4.5,4.5,114.0,4.651162790697678,4.87804878048781
28,2021-06-29,NSE:EQUIPPP,4.7,4.7,4.7,4.7,159.0,4.444444444444448,4.651162790697678
29,2021-06-30,NSE:EQUIPPP,4.9,4.9,4.9,4.9,1244.0,4.255319148936174,4.444444444444448
30,2021-07-01,NSE:EQUIPPP,5.1,5.1,5.1,5.1,15.0,4.0816326530612095,4.255319148936174
31,2021-07-02,NSE:EQUIPPP,5.35,5.35,5.35,5.35,225.0,4.901960784313726,4.0816326530612095
32,2021-07-05,NSE:EQUIPPP,5.6,5.6,5.6,5.6,2201.0,4.672897196261683,4.901960784313726
33,2021-07-06,NSE:EQUIPPP,5.85,5.85,5.85,5.85,1948.0,4.464285714285714,4.672897196261683
34,2021-07-07,NSE:EQUIPPP,6.1,6.1,6.1,6.1,993.0,4.273504273504273,4.464285714285714
35,2021-07-08,NSE:EQUIPPP,6.4,6.4,6.4,6.4,2131.0,4.918032786885258,4.273504273504273
36,2021-07-09,NSE:EQUIPPP,6.7,6.7,6.7,6.7,274.0,4.687499999999997,4.918032786885258
37,2021-07-12,NSE:EQUIPPP,7.0,7.0,7.0,7.0,2647.0,4.477611940298504,4.687499999999997
38,2021-07-13,NSE:EQUIPPP,7.35,7.35,7.35,7.35,851.0,4.999999999999995,4.477611940298504
39,2021-07-14,NSE:EQUIPPP,7.7,7.7,7.7,7.7,535.0,4.761904761904769,4.999999999999995
40,2021-07-15,NSE:EQUIPPP,8.05,8.05,8.05,8.05,3416.0,4.545454545454552,4.761904761904769
41,2021-07-16,NSE:EQUIPPP,8.45,8.45,8.45,8.45,1585.0,4.968944099378864,4.545454545454552
42,2021-07-19,NSE:EQUIPPP,8.85,8.85,8.85,8.85,1601.0,4.733727810650892,4.968944099378864
43,2021-07-20,NSE:EQUIPPP,9.25,9.25,9.25,9.25,657.0,4.51977401129944,4.733727810650892
44,2021-07-22,NSE:EQUIPPP,9.7,9.7,9.7,9.7,924.0,4.864864864864858,4.51977401129944
45,2021-07-23,NSE:EQUIPPP,10.15,10.15,10.15,10.15,1197.0,4.63917525773197,4.864864864864858
46,2021-07-26,NSE:EQUIPPP,10.65,10.65,10.65,10.65,438.0,4.926108374384236,4.63917525773197
47,2021-07-27,NSE:EQUIPPP,11.15,11.15,11.15,11.15,1178.0,4.694835680751173,4.926108374384236
48,2021-07-28,NSE:EQUIPPP,11.7,11.7,11.7,11.7,758.0,4.932735426008959,4.694835680751173
49,2021-07-29,NSE:EQUIPPP,12.25,12.25,12.25,12.25,578.0,4.700854700854707,4.932735426008959
50,2021-07-30,NSE:EQUIPPP,12.85,12.85,12.85,12.85,1560.0,4.897959183673466,4.700854700854707
51,2021-08-02,NSE:EQUIPPP,13.45,13.45,13.45,13.45,1197.0,4.669260700389103,4.897959183673466
52,2021-08-03,NSE:EQUIPPP,14.1,14.1,14.1,14.1,718.0,4.832713754646843,4.669260700389103
53,2021-08-04,NSE:EQUIPPP,14.8,14.8,14.8,14.8,2958.0,4.964539007092206,4.832713754646843
54,2021-08-05,NSE:EQUIPPP,15.5,15.5,15.5,15.5,1567.0,4.7297297297297245,4.964539007092206
55,2021-08-06,NSE:EQUIPPP,16.25,16.25,16.25,16.25,642.0,4.838709677419355,4.7297297297297245
56,2021-08-09,NSE:EQUIPPP,17.049999,17.049999,17.049999,17.049999,2543.0,4.923070769230767,4.838709677419355
57,2021-08-10,NSE:EQUIPPP,17.9,17.9,17.9,17.9,1965.0,4.9853434008999,4.923070769230767
58,2021-08-11,NSE:EQUIPPP,18.75,18.75,18.75,18.75,1515.0,4.748603351955316,4.9853434008999
59,2021-08-12,NSE:EQUIPPP,19.65,19.65,19.65,19.65,454.0,4.799999999999993,4.748603351955316
60,2021-08-13,NSE:EQUIPPP,20.6,20.6,20.6,20.6,596.0,4.834605597964392,4.799999999999993
61,2021-08-16,NSE:EQUIPPP,21.6,21.6,21.6,21.6,501.0,4.854368932038835,4.834605597964392
62,2021-08-17,NSE:EQUIPPP,22.65,22.65,22.65,22.65,1223.0,4.861111111111097,4.854368932038835
63,2021-08-18,NSE:EQUIPPP,23.75,23.75,23.75,23.75,1424.0,4.85651214128036,4.861111111111097
64,2021-08-20,NSE:EQUIPPP,24.9,24.9,24.9,24.9,588.0,4.8421052631578885,4.85651214128036
65,2021-08-23,NSE:EQUIPPP,26.1,26.1,26.1,26.1,1746.0,4.819277108433746,4.8421052631578885
66,2021-08-24,NSE:EQUIPPP,27.4,27.4,27.4,27.4,572.0,4.980842911877383,4.819277108433746
67,2021-08-25,NSE:EQUIPPP,28.75,28.75,28.75,28.75,403.0,4.927007299270079,4.980842911877383
68,2021-08-26,NSE:EQUIPPP,30.15,30.15,30.15,30.15,619.0,4.869565217391299,4.927007299270079
69,2021-08-27,NSE:EQUIPPP,31.65,31.65,31.65,31.65,1657.0,4.975124378109453,4.869565217391299
70,2021-08-30,NSE:EQUIPPP,33.200001,33.200001,33.200001,33.200001,1230.0,4.89731753554503,4.975124378109453
71,2021-08-31,NSE:EQUIPPP,34.849998,34.849998,34.849998,34.849998,953.0,4.969870332232818,4.89731753554503
72,2021-09-01,NSE:EQUIPPP,36.549999,36.549999,36.549999,36.549999,1306.0,4.878051929873856,4.969870332232818
73,2021-09-02,NSE:EQUIPPP,38.349998,38.349998,38.349998,38.349998,1428.0,4.924758000677373,4.878051929873856
74,2021-09-03,NSE:EQUIPPP,40.25,40.25,40.25,40.25,643.0,4.954373139732629,4.924758000677373
75,2021-09-06,NSE:EQUIPPP,42.25,42.25,42.25,42.25,2080.0,4.968944099378882,4.954373139732629
76,2021-09-07,NSE:EQUIPPP,44.349998,44.349998,44.349998,44.349998,4182.0,4.97040946745562,4.968944099378882
77,2021-09-08,NSE:EQUIPPP,46.549999,46.549999,46.549999,46.549999,2931.0,4.960543628434888,4.97040946745562
78,2021-09-09,NSE:EQUIPPP,48.849998,48.849998,48.849998,48.849998,2971.0,4.940921695830756,4.960543628434888
79,2021-09-13,NSE:EQUIPPP,51.25,51.25,51.25,51.25,12196.0,4.913003271770862,4.940921695830756
80,2021-09-14,NSE:EQUIPPP,53.799999,53.799999,53.75,53.799999,110199.0,4.975607804878048,4.913003271770862
81,2021-09-15,NSE:EQUIPPP,56.450001,56.450001,56.450001,56.450001,93696.0,4.925654366647851,4.975607804878048
82,2021-09-16,NSE:EQUIPPP,59.25,59.25,59.25,59.25,14948.0,4.960139858987779,4.925654366647851
83,2021-09-17,NSE:EQUIPPP,62.200001,62.200001,62.200001,62.200001,4078.0,4.978904641350212,4.960139858987779
84,2021-09-20,NSE:EQUIPPP,65.300003,65.300003,65.300003,65.300003,5226.0,4.983925964888656,4.978904641350212
85,2021-09-21,NSE:EQUIPPP,68.550003,68.550003,68.550003,68.550003,6420.0,4.977028867824094,4.983925964888656
86,2021-09-22,NSE:EQUIPPP,71.949997,71.949997,71.949997,71.949997,3482.0,4.959874327066029,4.977028867824094
87,2021-09-23,NSE:EQUIPPP,75.5,75.5,75.5,75.5,2557.0,4.9339863071849805,4.959874327066029
88,2021-09-24,NSE:EQUIPPP,79.25,79.25,79.25,79.25,3743.0,4.966887417218543,4.9339863071849805
89,2021-09-27,NSE:EQUIPPP,83.199997,83.199997,75.550003,83.199997,146391.0,4.9842233438485755,4.966887417218543
90,2021-09-28,NSE:EQUIPPP,87.349998,87.349998,87.349998,87.349998,4356.0,4.987982151008976,4.9842233438485755
91,2021-09-29,NSE:EQUIPPP,91.699997,91.699997,91.699997,91.699997,2722.0,4.97996462461281,4.987982151008976
92,2021-09-30,NSE:EQUIPPP,96.25,96.25,96.25,96.25,4162.0,4.961835494934644,4.97996462461281
93,2021-10-01,NSE:EQUIPPP,101.05,101.05,101.05,101.05,4252.0,4.987012987012984,4.961835494934644
94,2021-10-04,NSE:EQUIPPP,106.1,106.1,106.1,106.1,2770.0,4.997525977238988,4.987012987012984
95,2021-10-05,NSE:EQUIPPP,111.4,111.4,111.4,111.4,2302.0,4.995287464655996,4.997525977238988
96,2021-10-06,NSE:EQUIPPP,116.95,116.95,116.95,116.95,3863.0,4.982046678635545,4.995287464655996
97,2021-10-07,NSE:EQUIPPP,122.75,122.75,122.75,122.75,23623.0,4.9593843522873,4.982046678635545
98,2021-10-08,NSE:EQUIPPP,128.85001,128.85001,128.85001,128.85001,19577.0,4.969458248472503,4.9593843522873
99,2021-10-11,NSE:EQUIPPP,135.25,135.25,135.25,135.25,28212.0,4.967007763522877,4.969458248472503
100,2021-10-12,NSE:EQUIPPP,142.0,142.0,142.0,142.0,10436.0,4.990757855822551,4.967007763522877
101,2021-10-13,NSE:EQUIPPP,149.10001,149.10001,149.10001,149.10001,18374.0,5.00000704225352,4.990757855822551
102,2021-10-14,NSE:EQUIPPP,156.55,156.55,156.55,156.55,2622.0,4.996639503914194,5.00000704225352
103,2021-10-18,NSE:EQUIPPP,164.35001,164.35001,164.35001,164.35001,7484.0,4.982440114979231,4.996639503914194
104,2021-10-19,NSE:EQUIPPP,172.55,172.55,172.55,172.55,20333.0,4.989345604542412,4.982440114979231
105,2021-10-20,NSE:EQUIPPP,181.14999,181.14999,163.95,163.95,90454.0,-4.984062590553476,4.989345604542412
106,2021-10-21,NSE:EQUIPPP,155.8,155.8,155.8,155.8,10735.0,-4.971027752363512,-4.984062590553476
107,2021-10-22,NSE:EQUIPPP,148.05,148.05,148.05,148.05,6817.0,-4.974326059050064,-4.971027752363512
108,2021-10-25,NSE:EQUIPPP,140.64999,140.64999,140.64999,140.64999,2862.0,-4.99831813576495,-4.974326059050064
109,2021-10-26,NSE:EQUIPPP,133.64999,133.64999,133.64999,133.64999,2300.0,-4.976893350650078,-4.99831813576495
110,2021-10-27,NSE:EQUIPPP,127.0,127.0,127.0,127.0,2147.0,-4.975675643522309,-4.976893350650078
111,2021-10-28,NSE:EQUIPPP,120.65,120.65,120.65,120.65,7244.0,-4.999999999999996,-4.975675643522309
112,2021-10-29,NSE:EQUIPPP,114.65,114.65,114.65,114.65,2936.0,-4.973062577704102,-4.999999999999996
113,2021-11-01,NSE:EQUIPPP,108.95,108.95,108.95,108.95,5235.0,-4.971652856519845,-4.973062577704102
114,2021-11-02,NSE:EQUIPPP,103.55,103.55,103.55,103.55,3169.0,-4.956402019274901,-4.971652856519845
115,2021-11-03,NSE:EQUIPPP,98.400002,98.400002,98.400002,98.400002,3007.0,-4.973440849830997,-4.956402019274901
116,2021-11-04,NSE:EQUIPPP,93.5,93.5,93.5,93.5,4663.0,-4.9796767280553516,-4.973440849830997
117,2021-11-08,NSE:EQUIPPP,88.849998,88.849998,88.849998,88.849998,6464.0,-4.973264171122995,-4.9796767280553516
118,2021-11-09,NSE:EQUIPPP,84.449997,93.25,84.449997,93.25,255555.0,4.9521689353330105,-4.973264171122995
119,2021-11-10,NSE:EQUIPPP,97.900002,97.900002,95.0,97.900002,71646.0,4.986597319034853,4.9521689353330105
120,2021-11-11,NSE:EQUIPPP,102.75,102.75,102.75,102.75,5237.0,4.954032585208731,4.986597319034853
121,2021-11-12,NSE:EQUIPPP,107.85,107.85,107.85,107.85,6433.0,4.96350364963503,4.954032585208731
122,2021-11-15,NSE:EQUIPPP,113.2,113.2,102.5,102.5,82572.0,-4.960593416782563,4.96350364963503
123,2021-11-16,NSE:EQUIPPP,97.400002,97.400002,97.400002,97.400002,11272.0,-4.975607804878048,-4.960593416782563
124,2021-11-17,NSE:EQUIPPP,92.550003,102.25,92.550003,93.199997,149273.0,-4.31212003465873,-4.975607804878048
125,2021-11-18,NSE:EQUIPPP,92.550003,95.5,88.550003,88.550003,32688.0,-4.989264109096476,-4.31212003465873
126,2021-11-22,NSE:EQUIPPP,90.0,92.800003,84.150002,84.150002,39675.0,-4.968945060340657,-4.989264109096476
127,2021-11-23,NSE:EQUIPPP,79.949997,84.150002,79.949997,79.949997,77181.0,-4.99109316717545,-4.968945060340657
128,2021-11-24,NSE:EQUIPPP,76.0,83.900002,76.0,83.900002,112915.0,4.940594306713988,-4.99109316717545
129,2021-11-25,NSE:EQUIPPP,88.050003,88.050003,88.050003,88.050003,7434.0,4.946365793888781,4.940594306713988
130,2021-11-26,NSE:EQUIPPP,92.449997,92.449997,92.449997,92.449997,13376.0,4.997153719574539,4.946365793888781
131,2021-11-29,NSE:EQUIPPP,97.050003,97.050003,87.849998,92.900002,238780.0,0.4867550184993564,4.997153719574539
132,2021-11-30,NSE:EQUIPPP,92.900002,96.949997,88.300003,88.300003,27560.0,-4.951559635057916,0.4867550184993564
133,2021-12-01,NSE:EQUIPPP,83.900002,83.900002,83.900002,83.900002,21359.0,-4.983013420735674,-4.951559635057916
134,2021-12-02,NSE:EQUIPPP,79.75,88.050003,79.75,88.050003,57023.0,4.946365793888781,-4.983013420735674
135,2021-12-03,NSE:EQUIPPP,91.900002,92.449997,90.699997,92.449997,18464.0,4.997153719574539,4.946365793888781
136,2021-12-06,NSE:EQUIPPP,96.800003,97.050003,95.0,97.050003,53086.0,4.975669171736163,4.997153719574539
137,2021-12-07,NSE:EQUIPPP,104.0,106.75,102.4,106.75,26391.0,9.994844616336588,4.975669171736163
138,2021-12-08,NSE:EQUIPPP,116.0,117.4,115.0,117.4,38004.0,9.976580796252934,9.994844616336588
139,2021-12-09,NSE:EQUIPPP,129.10001,129.10001,129.10001,129.10001,19335.0,9.96593696763202,9.976580796252934
140,2021-12-10,NSE:EQUIPPP,135.55,135.55,135.55,135.55,18500.0,4.9961189003780975,9.96593696763202
141,2021-12-13,NSE:EQUIPPP,142.3,142.3,128.8,128.8,173267.0,-4.979712283290298,4.9961189003780975
142,2021-12-14,NSE:EQUIPPP,122.4,122.4,122.4,122.4,28962.0,-4.968944099378886,-4.979712283290298
143,2021-12-15,NSE:EQUIPPP,116.3,128.5,116.3,128.5,251019.0,4.983660130718949,-4.968944099378886
144,2021-12-16,NSE:EQUIPPP,134.7,134.7,122.1,122.1,217313.0,-4.980544747081717,4.983660130718949
145,2021-12-17,NSE:EQUIPPP,117.25,120.0,116.0,116.65,92652.0,-4.463554463554455,-4.980544747081717
146,2021-12-20,NSE:EQUIPPP,116.0,116.65,110.85,110.85,23430.0,-4.972138876982435,-4.463554463554455
147,2021-12-21,NSE:EQUIPPP,105.4,106.95,105.35,105.35,32915.0,-4.9616599007668025,-4.972138876982435
148,2021-12-22,NSE:EQUIPPP,102.0,110.6,100.95,110.6,37790.0,4.983388704318937,-4.9616599007668025
149,2021-12-23,NSE:EQUIPPP,116.1,116.1,116.1,116.1,6385.0,4.972875226039783,4.983388704318937
150,2021-12-24,NSE:EQUIPPP,121.9,121.9,110.3,111.65,163215.0,-3.832902670111963,4.972875226039783
151,2021-12-27,NSE:EQUIPPP,107.2,116.85,107.2,112.8,77648.0,1.0300044782803326,-3.832902670111963
152,2021-12-28,NSE:EQUIPPP,117.0,117.0,111.25,112.45,52318.0,-0.3102836879432574,1.0300044782803326
153,2021-12-29,NSE:EQUIPPP,115.0,115.0,107.0,107.55,86578.0,-4.3574922187639,-0.3102836879432574
154,2021-12-30,NSE:EQUIPPP,105.0,107.45,102.75,103.6,55647.0,-3.6727103672710393,-4.3574922187639
155,2021-12-31,NSE:EQUIPPP,103.65,108.75,103.65,105.65,76168.0,1.9787644787644898,-3.6727103672710393
156,2022-01-03,NSE:EQUIPPP,106.0,106.05,101.4,103.65,48246.0,-1.893043066729768,1.9787644787644898
157,2022-01-04,NSE:EQUIPPP,102.5,105.5,98.5,99.550003,76956.0,-3.9556169802219023,-1.893043066729768
158,2022-01-05,NSE:EQUIPPP,100.0,100.7,94.599998,95.0,62646.0,-4.570570429817067,-3.9556169802219023
159,2022-01-06,NSE:EQUIPPP,95.0,99.75,90.599998,99.75,54252.0,5.0,-4.570570429817067
160,2022-01-07,NSE:EQUIPPP,104.5,104.7,101.75,104.7,65850.0,4.962406015037597,5.0
161,2022-01-10,NSE:EQUIPPP,109.4,109.55,100.55,103.45,82218.0,-1.1938872970391594,4.962406015037597
162,2022-01-11,NSE:EQUIPPP,100.15,105.65,100.15,101.25,47333.0,-2.126631222812956,-1.1938872970391594
163,2022-01-12,NSE:EQUIPPP,103.9,103.9,98.0,98.449997,54310.0,-2.765435061728399,-2.126631222812956
164,2022-01-13,NSE:EQUIPPP,98.449997,101.65,96.099998,100.0,46771.0,1.5744063455888209,-2.765435061728399
165,2022-01-14,NSE:EQUIPPP,102.5,102.5,98.75,99.900002,24662.0,-0.09999799999999937,1.5744063455888209
166,2022-01-17,NSE:EQUIPPP,99.900002,101.45,96.0,98.050003,31278.0,-1.8518508137767575,-0.09999799999999937
167,2022-01-18,NSE:EQUIPPP,101.0,101.0,95.599998,95.75,32990.0,-2.3457449562750177,-1.8518508137767575
168,2022-01-19,NSE:EQUIPPP,95.75,97.849998,92.550003,93.099998,33066.0,-2.767626109660575,-2.3457449562750177
169,2022-01-20,NSE:EQUIPPP,92.5,92.949997,88.900002,91.5,25066.0,-1.7185800584012894,-2.767626109660575
170,2022-01-21,NSE:EQUIPPP,92.0,92.0,86.949997,86.949997,34313.0,-4.972680874316944,-1.7185800584012894
171,2022-01-24,NSE:EQUIPPP,82.900002,84.75,82.650002,82.650002,18240.0,-4.945365323014325,-4.972680874316944
172,2022-01-25,NSE:EQUIPPP,78.550003,80.949997,78.550003,78.800003,19726.0,-4.65819589453851,-4.945365323014325
173,2022-01-27,NSE:EQUIPPP,75.0,77.25,74.900002,74.949997,22896.0,-4.88579423023627,-4.65819589453851
174,2022-01-28,NSE:EQUIPPP,73.449997,78.650002,71.300003,78.650002,20864.0,4.936631284988583,-4.88579423023627
175,2022-01-31,NSE:EQUIPPP,82.550003,82.550003,82.550003,82.550003,3352.0,4.958678831311413,4.936631284988583
