,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2024-08-27,NSE:GLOBALE,87.0,87.0,73.540001,73.540001,20094.0,,
1,2024-08-28,NSE:GLOBALE,69.860001,69.860001,69.860001,69.860001,2983.0,-5.004079344518919,
2,2024-08-29,NSE:GLOBALE,66.360001,66.360001,66.360001,66.360001,1538.0,-5.010019968365016,-5.004079344518919
3,2024-08-30,NSE:GLOBALE,63.040001,63.040001,63.040001,63.040001,1729.0,-5.003013788381348,-5.010019968365016
4,2024-09-02,NSE:GLOBALE,60.0,60.0,59.880001,59.880001,2048.0,-5.0126902758139185,-5.003013788381348
5,2024-09-03,NSE:GLOBALE,56.880001,56.880001,56.880001,56.880001,669.0,-5.010019956412492,-5.0126902758139185
6,2024-09-04,NSE:GLOBALE,54.03,54.03,54.03,54.03,2866.0,-5.010550193204109,-5.010019956412492
7,2024-09-05,NSE:GLOBALE,51.32,51.32,51.32,51.32,2896.0,-5.015732000740331,-5.010550193204109
8,2024-09-06,NSE:GLOBALE,48.75,48.75,48.75,48.75,3349.0,-5.007794232268123,-5.015732000740331
9,2024-09-09,NSE:GLOBALE,46.31,46.31,46.31,46.31,1134.0,-5.0051282051282,-5.007794232268123
10,2024-09-10,NSE:GLOBALE,41.67,50.94,41.67,41.86,163367.0,-9.609155689915791,-5.0051282051282
11,2024-09-11,NSE:GLOBALE,41.86,42.09,38.53,38.9,77545.0,-7.071189679885334,-9.609155689915791
12,2024-09-12,NSE:GLOBALE,38.25,40.0,37.25,38.13,8067.0,-1.979434447300761,-7.071189679885334
13,2024-09-13,NSE:GLOBALE,37.83,38.98,37.3,37.57,5292.0,-1.4686598478888073,-1.979434447300761
14,2024-09-16,NSE:GLOBALE,38.99,38.99,36.01,37.29,8104.0,-0.7452754857599178,-1.4686598478888073
15,2024-09-17,NSE:GLOBALE,39.0,39.0,35.42,36.75,13942.0,-1.4481094127111804,-0.7452754857599178
16,2024-09-18,NSE:GLOBALE,36.75,37.5,34.91,36.14,14063.0,-1.65986394557823,-1.4481094127111804
17,2024-09-19,NSE:GLOBALE,36.95,37.94,35.1,37.48,10057.0,3.7078029883785177,-1.65986394557823
18,2024-09-20,NSE:GLOBALE,37.0,38.0,36.7,37.83,2331.0,0.9338313767342621,3.7078029883785177
19,2024-09-23,NSE:GLOBALE,37.0,39.29,36.25,38.75,8945.0,2.43193232883955,0.9338313767342621
20,2024-09-24,NSE:GLOBALE,38.5,38.5,36.81,37.53,5266.0,-3.1483870967741905,2.43193232883955
21,2024-09-25,NSE:GLOBALE,38.0,38.0,36.01,36.58,3432.0,-2.5313082867039776,-3.1483870967741905
22,2024-09-26,NSE:GLOBALE,36.0,38.4,36.0,37.87,7288.0,3.5265172225259684,-2.5313082867039776
23,2024-09-27,NSE:GLOBALE,38.1,38.14,35.97,36.01,6643.0,-4.9115394771586995,3.5265172225259684
24,2024-09-30,NSE:GLOBALE,37.0,37.0,34.2,36.7,4722.0,1.9161344071091497,-4.9115394771586995
25,2024-10-01,NSE:GLOBALE,36.4,36.99,34.9,36.24,3733.0,-1.253405994550411,1.9161344071091497
26,2024-10-03,NSE:GLOBALE,36.24,37.0,34.86,36.18,3982.0,-0.16556291390729103,-1.253405994550411
27,2024-10-04,NSE:GLOBALE,36.99,36.99,35.01,35.45,1931.0,-2.0176893311221584,-0.16556291390729103
28,2024-10-07,NSE:GLOBALE,36.7,36.7,34.99,34.99,4807.0,-1.297602256699579,-2.0176893311221584
29,2024-10-08,NSE:GLOBALE,33.24,36.0,33.24,35.53,1683.0,1.543298085167188,-1.297602256699579
30,2024-10-09,NSE:GLOBALE,35.0,36.99,33.9,36.12,1225.0,1.6605685336335385,1.543298085167188
31,2024-10-10,NSE:GLOBALE,36.9,36.9,34.85,35.93,1675.0,-0.5260243632336593,1.6605685336335385
