,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2016-07-01,NSE:INCREDIBLE,93.800003,93.800003,89.0,92.050003,55939.0,,
1,2016-07-04,NSE:INCREDIBLE,93.0,94.0,85.099998,93.699997,36488.0,1.792497497256999,
2,2016-07-05,NSE:INCREDIBLE,94.0,97.5,93.0,97.099998,31022.0,3.628603104437669,1.792497497256999
3,2016-07-07,NSE:INCREDIBLE,97.5,99.5,93.599998,98.550003,31102.0,1.4933110503256697,3.628603104437669
4,2016-07-08,NSE:INCREDIBLE,96.0,98.5,93.599998,97.75,32636.0,-0.8117736942128797,1.4933110503256697
5,2016-07-11,NSE:INCREDIBLE,98.0,98.75,92.0,92.800003,30463.0,-5.063935549872118,-0.8117736942128797
6,2016-07-12,NSE:INCREDIBLE,94.0,102.0,93.0,99.800003,36154.0,7.543103204425543,-5.063935549872118
7,2016-07-13,NSE:INCREDIBLE,99.099998,100.0,93.0,93.050003,30912.0,-6.7635268507957855,7.543103204425543
8,2016-07-14,NSE:INCREDIBLE,95.0,97.849998,93.0,93.550003,34040.0,0.5373454958405536,-6.7635268507957855
9,2016-07-15,NSE:INCREDIBLE,94.0,98.5,93.0,93.599998,32649.0,0.05344200790671869,0.5373454958405536
10,2016-07-18,NSE:INCREDIBLE,94.0,98.949997,92.0,94.949997,30685.0,1.4423066547501389,0.05344200790671869
11,2016-07-19,NSE:INCREDIBLE,95.0,95.800003,90.0,91.699997,30489.0,-3.4228542419016614,1.4423066547501389
12,2016-07-20,NSE:INCREDIBLE,93.0,97.0,91.150002,92.0,30829.0,0.3271570445089587,-3.4228542419016614
13,2016-07-21,NSE:INCREDIBLE,92.5,96.0,90.0,91.349998,31070.0,-0.706523913043479,0.3271570445089587
14,2016-07-22,NSE:INCREDIBLE,92.0,96.0,91.400002,95.349998,31219.0,4.378763095320483,-0.706523913043479
15,2016-07-25,NSE:INCREDIBLE,94.5,95.900002,94.0,94.0,30754.0,-1.4158343244013485,4.378763095320483
16,2016-07-26,NSE:INCREDIBLE,94.599998,97.0,92.800003,92.800003,32586.0,-1.2765925531914852,-1.4158343244013485
17,2016-07-27,NSE:INCREDIBLE,94.5,96.0,94.050003,95.650002,41384.0,3.071119512787081,-1.2765925531914852
18,2016-07-28,NSE:INCREDIBLE,95.25,95.300003,92.900002,94.099998,42857.0,-1.620495522833341,3.071119512787081
19,2016-07-29,NSE:INCREDIBLE,94.199997,98.5,93.050003,93.050003,41741.0,-1.115828929135573,-1.620495522833341
20,2016-08-01,NSE:INCREDIBLE,95.0,96.199997,93.75,94.400002,44304.0,1.4508317640784996,-1.115828929135573
21,2016-08-02,NSE:INCREDIBLE,96.0,97.0,88.199997,92.099998,43115.0,-2.436444863634644,1.4508317640784996
22,2016-08-03,NSE:INCREDIBLE,98.0,101.3,98.0,101.3,52995.0,9.989144625171434,-2.436444863634644
23,2016-08-04,NSE:INCREDIBLE,111.0,111.4,108.35,111.4,715.0,9.970384995064174,9.989144625171434
24,2016-08-05,NSE:INCREDIBLE,123.7,133.64999,123.7,133.64999,3811.0,19.973061041292635,9.970384995064174
25,2016-08-08,NSE:INCREDIBLE,154.0,160.35001,140.10001,160.35001,64639.0,19.97756977011371,19.973061041292635
26,2016-08-09,NSE:INCREDIBLE,175.0,176.35001,173.14999,176.35001,15736.0,9.978172124841151,19.97756977011371
27,2016-08-10,NSE:INCREDIBLE,193.8,193.95,160.10001,177.64999,44028.0,0.7371590168891995,9.978172124841151
28,2016-08-11,NSE:INCREDIBLE,179.95,182.0,159.89999,160.2,35217.0,-9.82267997876049,0.7371590168891995
29,2016-08-12,NSE:INCREDIBLE,160.0,160.2,144.2,144.2,35029.0,-9.987515605493135,-9.82267997876049
30,2016-08-16,NSE:INCREDIBLE,131.5,136.7,129.8,132.95,28328.0,-7.801664355062414,-9.987515605493135
31,2016-08-17,NSE:INCREDIBLE,127.15,146.2,123.05,146.2,12270.0,9.966152688980822,-7.801664355062414
32,2016-08-18,NSE:INCREDIBLE,159.89999,160.8,145.0,149.25,58379.0,2.0861833105335235,9.966152688980822
33,2016-08-19,NSE:INCREDIBLE,152.0,159.0,150.0,151.95,33186.0,1.8090452261306456,2.0861833105335235
34,2016-08-22,NSE:INCREDIBLE,142.05,157.64999,136.8,141.3,35334.0,-7.008884501480736,1.8090452261306456
35,2016-08-23,NSE:INCREDIBLE,140.05,140.05,130.14999,135.85001,29448.0,-3.857034677990102,-7.008884501480736
36,2016-08-24,NSE:INCREDIBLE,132.25,148.0,132.25,143.60001,35522.0,5.704821074359876,-3.857034677990102
37,2016-08-25,NSE:INCREDIBLE,144.60001,145.0,136.5,139.5,33824.0,-2.8551599683036217,5.704821074359876
38,2016-08-26,NSE:INCREDIBLE,140.5,144.45,135.05,138.75,18127.0,-0.5376344086021506,-2.8551599683036217
39,2016-08-29,NSE:INCREDIBLE,138.75,138.75,132.0,132.55,15135.0,-4.46846846846846,-0.5376344086021506
40,2016-08-30,NSE:INCREDIBLE,128.2,133.55,124.0,124.95,17722.0,-5.7336854017352,-4.46846846846846
41,2016-08-31,NSE:INCREDIBLE,121.1,128.85001,116.5,122.75,14504.0,-1.7607042817126872,-5.7336854017352
42,2016-09-01,NSE:INCREDIBLE,122.3,124.8,117.7,120.45,32762.0,-1.8737270875763725,-1.7607042817126872
43,2016-09-02,NSE:INCREDIBLE,121.0,122.45,117.0,119.5,18048.0,-0.7887090078870925,-1.8737270875763725
44,2016-09-06,NSE:INCREDIBLE,116.2,122.45,115.6,117.95,13069.0,-1.2970711297071107,-0.7887090078870925
45,2016-09-07,NSE:INCREDIBLE,118.0,121.55,114.0,115.25,22975.0,-2.289105553200511,-1.2970711297071107
46,2016-09-08,NSE:INCREDIBLE,113.1,115.1,110.25,111.45,14009.0,-3.2971800433839453,-2.289105553200511
47,2016-09-09,NSE:INCREDIBLE,109.1,112.0,107.1,108.25,29567.0,-2.8712427097353097,-3.2971800433839453
48,2016-09-12,NSE:INCREDIBLE,108.0,108.05,103.25,104.35,27164.0,-3.6027713625866107,-2.8712427097353097
49,2016-09-14,NSE:INCREDIBLE,101.0,109.55,101.0,109.55,26991.0,4.983229516051752,-3.6027713625866107
50,2016-09-15,NSE:INCREDIBLE,114.7,114.9,108.0,111.9,27174.0,2.145139205842089,4.983229516051752
51,2016-09-16,NSE:INCREDIBLE,112.5,113.8,108.45,109.25,25905.0,-2.3681858802502282,2.145139205842089
52,2016-09-19,NSE:INCREDIBLE,106.05,110.3,104.6,107.8,26217.0,-1.3272311212814671,-2.3681858802502282
