,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2022-09-28,NSE:KANDARP,30.0,30.0,28.5,28.5,108000.0,,
1,2022-09-29,NSE:KANDARP,27.1,27.1,27.1,27.1,4000.0,-4.912280701754381,
2,2022-09-30,NSE:KANDARP,25.75,25.75,25.75,25.75,8000.0,-4.98154981549816,-4.912280701754381
3,2022-10-03,NSE:KANDARP,24.5,24.5,24.5,24.5,4000.0,-4.854368932038835,-4.98154981549816
4,2022-10-04,NSE:KANDARP,23.299999,23.299999,23.299999,23.299999,12000.0,-4.897963265306124,-4.854368932038835
5,2022-10-06,NSE:KANDARP,22.15,22.15,22.15,22.15,28000.0,-4.9356182375801865,-4.897963265306124
6,2022-10-07,NSE:KANDARP,21.049999,21.049999,21.049999,21.049999,212000.0,-4.966144469525955,-4.9356182375801865
7,2022-10-10,NSE:KANDARP,20.0,21.5,20.0,20.0,228000.0,-4.988119001810878,-4.966144469525955
8,2022-10-11,NSE:KANDARP,19.0,19.0,19.0,19.0,4000.0,-5.0,-4.988119001810878
9,2022-10-12,NSE:KANDARP,18.049999,18.049999,18.049999,18.049999,12000.0,-5.000005263157896,-5.0
10,2022-10-13,NSE:KANDARP,16.25,19.4,16.25,16.25,336000.0,-9.972294181290534,-5.000005263157896
11,2022-10-14,NSE:KANDARP,16.35,17.85,16.35,17.85,336000.0,9.846153846153854,-9.972294181290534
12,2022-10-17,NSE:KANDARP,17.85,18.0,16.1,16.35,232000.0,-8.403361344537814,9.846153846153854
13,2022-10-18,NSE:KANDARP,16.75,16.950001,16.4,16.549999,68000.0,1.2232354740061055,-8.403361344537814
14,2022-10-19,NSE:KANDARP,16.85,17.0,16.0,16.0,32000.0,-3.3232569983841067,1.2232354740061055
15,2022-10-20,NSE:KANDARP,16.4,16.4,15.1,15.4,20000.0,-3.749999999999998,-3.3232569983841067
16,2022-10-21,NSE:KANDARP,15.7,15.7,14.15,15.2,180000.0,-1.2987012987013056,-3.749999999999998
17,2022-10-24,NSE:KANDARP,15.0,15.0,15.0,15.0,4000.0,-1.315789473684206,-1.2987012987013056
18,2022-10-25,NSE:KANDARP,14.4,14.5,14.05,14.25,100000.0,-5.0,-1.315789473684206
19,2022-10-27,NSE:KANDARP,15.35,15.35,14.4,15.2,84000.0,6.666666666666661,-5.0
20,2022-10-28,NSE:KANDARP,15.25,15.4,14.6,14.7,68000.0,-3.289473684210526,6.666666666666661
21,2022-10-31,NSE:KANDARP,15.05,16.15,14.65,16.15,84000.0,9.863945578231288,-3.289473684210526
22,2022-11-01,NSE:KANDARP,17.0,17.0,15.45,15.65,36000.0,-3.0959752321981315,9.863945578231288
23,2022-11-02,NSE:KANDARP,15.95,15.95,15.0,15.45,72000.0,-1.2779552715655018,-3.0959752321981315
24,2022-11-03,NSE:KANDARP,15.8,15.8,15.3,15.3,8000.0,-0.9708737864077579,-1.2779552715655018
25,2022-11-04,NSE:KANDARP,15.05,15.05,15.0,15.0,20000.0,-1.9607843137254948,-0.9708737864077579
26,2022-11-07,NSE:KANDARP,15.2,15.55,15.2,15.55,16000.0,3.6666666666666714,-1.9607843137254948
27,2022-11-09,NSE:KANDARP,16.25,16.25,15.9,16.049999,16000.0,3.215427652733112,3.6666666666666714
28,2022-11-10,NSE:KANDARP,15.35,16.0,15.35,16.0,16000.0,-0.31152026863054433,3.215427652733112
29,2022-11-11,NSE:KANDARP,16.25,16.950001,16.25,16.950001,16000.0,5.937506250000002,-0.31152026863054433
30,2022-11-14,NSE:KANDARP,16.1,16.25,16.0,16.200001,28000.0,-4.424778500013068,5.937506250000002
31,2022-11-15,NSE:KANDARP,16.4,17.0,16.4,16.700001,36000.0,3.0864195625666935,-4.424778500013068
32,2022-11-16,NSE:KANDARP,16.799999,16.799999,16.75,16.75,20000.0,0.2993951916529806,3.0864195625666935
33,2022-11-17,NSE:KANDARP,16.5,18.0,16.5,17.4,36000.0,3.880597014925365,0.2993951916529806
34,2022-11-18,NSE:KANDARP,17.5,18.0,17.5,18.0,8000.0,3.4482758620689737,3.880597014925365
35,2022-11-21,NSE:KANDARP,17.299999,17.65,16.35,17.0,12000.0,-5.555555555555555,3.4482758620689737
36,2022-11-22,NSE:KANDARP,15.85,15.85,15.85,15.85,4000.0,-6.764705882352944,-5.555555555555555
37,2022-11-23,NSE:KANDARP,16.0,16.0,16.0,16.0,4000.0,0.9463722397476363,-6.764705882352944
38,2022-11-24,NSE:KANDARP,16.35,16.799999,16.35,16.799999,8000.0,4.999993749999998,0.9463722397476363
39,2022-11-25,NSE:KANDARP,17.0,17.0,16.4,16.5,12000.0,-1.7857084396255007,4.999993749999998
40,2022-11-28,NSE:KANDARP,16.1,16.1,16.1,16.1,20000.0,-2.4242424242424154,-1.7857084396255007
41,2022-11-29,NSE:KANDARP,16.0,16.6,16.0,16.6,8000.0,3.105590062111801,-2.4242424242424154
42,2022-11-30,NSE:KANDARP,17.799999,17.799999,16.549999,16.950001,20000.0,2.108439759036138,3.105590062111801
43,2022-12-01,NSE:KANDARP,16.4,16.85,16.4,16.6,8000.0,-2.064902533044092,2.108439759036138
44,2022-12-02,NSE:KANDARP,16.0,16.4,16.0,16.4,8000.0,-1.2048192771084507,-2.064902533044092
45,2022-12-05,NSE:KANDARP,16.0,16.5,16.0,16.5,8000.0,0.6097560975609843,-1.2048192771084507
46,2022-12-06,NSE:KANDARP,16.0,16.0,15.6,15.8,16000.0,-4.242424242424238,0.6097560975609843
47,2022-12-07,NSE:KANDARP,15.7,15.7,15.7,15.7,4000.0,-0.6329113924050722,-4.242424242424238
48,2022-12-08,NSE:KANDARP,15.6,15.6,15.0,15.05,12000.0,-4.140127388535023,-0.6329113924050722
49,2022-12-09,NSE:KANDARP,15.2,15.4,15.2,15.25,16000.0,1.328903654485045,-4.140127388535023
50,2022-12-12,NSE:KANDARP,16.5,16.5,16.5,16.5,4000.0,8.19672131147541,1.328903654485045
51,2022-12-14,NSE:KANDARP,16.4,16.4,16.4,16.4,4000.0,-0.6060606060606146,8.19672131147541
52,2022-12-19,NSE:KANDARP,15.05,16.0,15.05,15.95,12000.0,-2.743902439024386,-0.6060606060606146
53,2022-12-20,NSE:KANDARP,14.5,16.200001,14.5,16.200001,12000.0,1.56740438871474,-2.743902439024386
54,2022-12-21,NSE:KANDARP,14.8,14.8,14.8,14.8,4000.0,-8.641980948025866,1.56740438871474
55,2022-12-22,NSE:KANDARP,16.200001,16.200001,14.25,15.25,16000.0,3.0405405405405355,-8.641980948025866
56,2022-12-23,NSE:KANDARP,13.8,15.7,13.8,15.0,44000.0,-1.639344262295082,3.0405405405405355
57,2022-12-26,NSE:KANDARP,15.0,15.05,14.55,15.05,12000.0,0.3333333333333381,-1.639344262295082
58,2022-12-30,NSE:KANDARP,15.0,15.0,15.0,15.0,4000.0,-0.33222591362126713,0.3333333333333381
59,2023-01-02,NSE:KANDARP,15.0,15.0,15.0,15.0,12000.0,0.0,-0.33222591362126713
60,2023-01-03,NSE:KANDARP,15.8,16.6,15.5,16.1,48000.0,7.333333333333343,0.0
61,2023-01-04,NSE:KANDARP,16.35,18.549999,16.049999,18.450001,140000.0,14.596279503105583,7.333333333333343
62,2023-01-05,NSE:KANDARP,18.450001,19.9,17.75,19.85,120000.0,7.588070049427103,14.596279503105583
63,2023-01-06,NSE:KANDARP,19.5,20.950001,19.0,19.950001,180000.0,0.5037833753148558,7.588070049427103
64,2023-01-09,NSE:KANDARP,20.15,21.4,18.299999,18.85,252000.0,-5.513789197303795,0.5037833753148558
65,2023-01-10,NSE:KANDARP,18.75,20.299999,18.25,19.75,176000.0,4.77453580901856,-5.513789197303795
66,2023-01-11,NSE:KANDARP,19.85,21.700001,19.799999,20.200001,200000.0,2.2784860759493686,4.77453580901856
67,2023-01-12,NSE:KANDARP,20.4,23.5,19.799999,23.5,392000.0,16.33662790412733,2.2784860759493686
68,2023-01-13,NSE:KANDARP,25.799999,26.549999,24.25,25.25,88000.0,7.446808510638298,16.33662790412733
69,2023-01-17,NSE:KANDARP,25.25,25.299999,24.0,24.0,12000.0,-4.9504950495049505,7.446808510638298
70,2023-01-18,NSE:KANDARP,22.0,22.5,21.6,22.5,24000.0,-6.25,-4.9504950495049505
71,2023-01-19,NSE:KANDARP,23.0,23.0,21.75,22.0,28000.0,-2.2222222222222223,-6.25
72,2023-01-20,NSE:KANDARP,21.299999,22.200001,21.299999,22.200001,12000.0,0.909095454545456,-2.2222222222222223
73,2023-01-23,NSE:KANDARP,22.0,22.0,22.0,22.0,4000.0,-0.9009053648240841,0.909095454545456
74,2023-01-24,NSE:KANDARP,22.0,22.0,22.0,22.0,8000.0,0.0,-0.9009053648240841
75,2023-01-25,NSE:KANDARP,20.700001,22.700001,20.700001,22.700001,8000.0,3.181822727272729,0.0
76,2023-01-30,NSE:KANDARP,23.0,23.0,20.549999,21.0,16000.0,-7.488990859515822,3.181822727272729
77,2023-01-31,NSE:KANDARP,20.5,21.0,20.5,20.950001,12000.0,-0.2380904761904747,-7.488990859515822
78,2023-02-02,NSE:KANDARP,21.5,21.5,19.0,20.0,20000.0,-4.534610762071087,-0.2380904761904747
79,2023-02-06,NSE:KANDARP,18.200001,20.5,18.200001,20.5,12000.0,2.5,-4.534610762071087
80,2023-02-08,NSE:KANDARP,18.5,20.5,18.5,20.5,8000.0,0.0,2.5
81,2023-02-10,NSE:KANDARP,20.0,21.450001,20.0,21.450001,20000.0,4.634151219512197,0.0
82,2023-02-13,NSE:KANDARP,21.450001,23.299999,20.700001,21.65,108000.0,0.9323962269279068,4.634151219512197
83,2023-02-14,NSE:KANDARP,22.950001,22.950001,21.0,21.85,16000.0,0.9237875288683735,0.9323962269279068
84,2023-02-16,NSE:KANDARP,21.450001,23.700001,21.450001,22.950001,16000.0,5.034329519450796,0.9237875288683735
85,2023-02-17,NSE:KANDARP,22.25,22.25,22.25,22.25,8000.0,-3.0501131568578157,5.034329519450796
86,2023-02-21,NSE:KANDARP,22.0,22.0,20.0,20.0,12000.0,-10.112359550561797,-3.0501131568578157
87,2023-02-23,NSE:KANDARP,18.0,18.0,18.0,18.0,8000.0,-10.0,-10.112359550561797
88,2023-02-24,NSE:KANDARP,18.0,20.950001,18.0,20.950001,12000.0,16.388894444444446,-10.0
89,2023-02-28,NSE:KANDARP,20.0,20.0,20.0,20.0,4000.0,-4.534610762071087,16.388894444444446
90,2023-03-06,NSE:KANDARP,18.0,20.9,18.0,20.0,28000.0,0.0,-4.534610762071087
91,2023-03-13,NSE:KANDARP,17.549999,19.950001,17.549999,19.85,16000.0,-0.7499999999999929,0.0
92,2023-03-14,NSE:KANDARP,18.799999,18.799999,18.799999,18.799999,4000.0,-5.289677581863988,-0.7499999999999929
93,2023-03-16,NSE:KANDARP,18.5,18.950001,18.5,18.950001,8000.0,0.7978830211639939,-5.289677581863988
94,2023-03-22,NSE:KANDARP,16.1,18.700001,16.1,18.700001,8000.0,-1.3192611441023143,0.7978830211639939
95,2023-03-23,NSE:KANDARP,16.4,16.4,16.4,16.4,4000.0,-12.29946993050964,-1.3192611441023143
96,2023-03-24,NSE:KANDARP,19.4,19.4,19.4,19.4,8000.0,18.292682926829272,-12.29946993050964
97,2023-03-27,NSE:KANDARP,19.0,19.0,18.0,18.0,12000.0,-7.216494845360819,18.292682926829272
98,2023-03-28,NSE:KANDARP,16.549999,18.5,16.0,17.5,24000.0,-2.7777777777777777,-7.216494845360819
99,2023-03-29,NSE:KANDARP,18.5,18.5,18.5,18.5,8000.0,5.714285714285714,-2.7777777777777777
100,2023-03-31,NSE:KANDARP,16.450001,17.85,16.450001,17.0,16000.0,-8.108108108108109,5.714285714285714
101,2023-04-06,NSE:KANDARP,18.0,18.0,18.0,18.0,4000.0,5.88235294117647,-8.108108108108109
102,2023-04-17,NSE:KANDARP,17.5,18.5,17.299999,17.75,16000.0,-1.3888888888888888,5.88235294117647
103,2023-04-20,NSE:KANDARP,18.950001,18.950001,18.950001,18.950001,4000.0,6.760569014084508,-1.3888888888888888
104,2023-04-28,NSE:KANDARP,18.75,19.0,18.75,19.0,8000.0,0.26384695177588474,6.760569014084508
105,2023-05-02,NSE:KANDARP,19.0,19.0,18.0,18.0,8000.0,-5.263157894736842,0.26384695177588474
106,2023-05-04,NSE:KANDARP,16.9,18.950001,16.9,18.950001,8000.0,5.277783333333335,-5.263157894736842
107,2023-05-08,NSE:KANDARP,19.0,19.0,18.5,18.5,12000.0,-2.374675336428744,5.277783333333335
108,2023-05-09,NSE:KANDARP,19.0,19.0,19.0,19.0,8000.0,2.7027027027027026,-2.374675336428744
109,2023-05-10,NSE:KANDARP,18.5,19.950001,18.5,19.950001,8000.0,5.000005263157896,2.7027027027027026
110,2023-05-12,NSE:KANDARP,19.950001,19.950001,19.950001,19.950001,4000.0,0.0,5.000005263157896
111,2023-05-15,NSE:KANDARP,20.0,20.0,19.0,19.700001,32000.0,-1.2531327692665277,0.0
112,2023-05-16,NSE:KANDARP,19.5,20.0,19.1,20.0,16000.0,1.5228374861503797,-1.2531327692665277
113,2023-05-17,NSE:KANDARP,19.5,19.85,19.0,19.65,24000.0,-1.750000000000007,1.5228374861503797
114,2023-05-19,NSE:KANDARP,19.4,20.0,19.0,19.65,24000.0,0.0,-1.750000000000007
115,2023-05-22,NSE:KANDARP,19.1,19.950001,19.0,19.950001,16000.0,1.5267226463104415,0.0
116,2023-05-23,NSE:KANDARP,19.1,19.1,19.0,19.0,24000.0,-4.761909535743884,1.5267226463104415
117,2023-05-24,NSE:KANDARP,19.75,20.25,19.0,19.299999,36000.0,1.5789421052631565,-4.761909535743884
118,2023-05-25,NSE:KANDARP,19.049999,19.450001,18.75,19.4,52000.0,0.5181399232196795,1.5789421052631565
