,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2021-11-17,NSE:KOTYARK,67.900002,73.599998,67.900002,73.599998,130000.0,,
1,2021-11-18,NSE:KOTYARK,88.0,88.300003,88.0,88.300003,74000.0,19.972833423174826,
2,2021-11-22,NSE:KOTYARK,97.099998,97.099998,97.099998,97.099998,48000.0,9.966018913951787,19.972833423174826
3,2021-11-23,NSE:KOTYARK,106.8,106.8,87.400002,91.699997,312000.0,-5.561278178399142,9.966018913951787
4,2021-11-24,NSE:KOTYARK,83.5,96.300003,82.550003,94.650002,176000.0,3.2170175534465986,-5.561278178399142
5,2021-11-25,NSE:KOTYARK,91.650002,92.0,90.0,90.0,34000.0,-4.912838776273878,3.2170175534465986
6,2021-11-26,NSE:KOTYARK,85.0,88.849998,85.0,86.0,34000.0,-4.444444444444445,-4.912838776273878
7,2021-11-29,NSE:KOTYARK,82.0,94.599998,77.449997,90.300003,158000.0,5.000003488372098,-4.444444444444445
8,2021-11-30,NSE:KOTYARK,93.900002,99.300003,83.25,99.300003,106000.0,9.966777077515712,5.000003488372098
9,2021-12-01,NSE:KOTYARK,100.5,109.2,100.1,104.25,166000.0,4.984891088069752,9.966777077515712
10,2021-12-02,NSE:KOTYARK,97.0,110.0,97.0,108.5,36000.0,4.07673860911271,4.984891088069752
11,2021-12-03,NSE:KOTYARK,108.5,112.6,108.0,108.05,18000.0,-0.4147465437788045,4.07673860911271
12,2021-12-06,NSE:KOTYARK,101.0,106.0,97.25,102.25,82000.0,-5.367885238315592,-0.4147465437788045
13,2021-12-07,NSE:KOTYARK,100.0,101.95,94.150002,94.150002,12000.0,-7.921758435207823,-5.367885238315592
14,2021-12-08,NSE:KOTYARK,89.550003,96.699997,89.550003,96.599998,24000.0,2.602226179453505,-7.921758435207823
15,2021-12-09,NSE:KOTYARK,96.0,96.0,86.949997,87.25,102000.0,-9.679087156916918,2.602226179453505
16,2021-12-10,NSE:KOTYARK,86.5,93.0,82.099998,88.550003,38000.0,1.489974785100291,-9.679087156916918
17,2021-12-13,NSE:KOTYARK,95.599998,97.400002,95.0,97.400002,34000.0,9.994352004708567,1.489974785100291
18,2021-12-14,NSE:KOTYARK,102.5,106.95,96.099998,106.5,144000.0,9.34291356585393,9.994352004708567
19,2021-12-15,NSE:KOTYARK,106.95,109.7,101.05,101.7,46000.0,-4.507042253521124,9.34291356585393
20,2021-12-16,NSE:KOTYARK,100.0,102.9,97.0,100.0,134000.0,-1.6715830875122937,-4.507042253521124
21,2021-12-17,NSE:KOTYARK,97.199997,101.8,97.199997,100.95,24000.0,0.950000000000003,-1.6715830875122937
22,2021-12-20,NSE:KOTYARK,94.199997,99.900002,91.050003,92.199997,42000.0,-8.667660227835569,0.950000000000003
23,2021-12-21,NSE:KOTYARK,98.349998,101.4,96.0,101.2,28000.0,9.761391857745947,-8.667660227835569
24,2021-12-22,NSE:KOTYARK,106.4,108.5,102.25,107.75,58000.0,6.472332015810274,9.761391857745947
25,2021-12-23,NSE:KOTYARK,114.6,118.5,112.1,118.5,74000.0,9.976798143851507,6.472332015810274
26,2021-12-24,NSE:KOTYARK,130.35001,130.35001,130.35001,130.35001,20000.0,10.000008438818565,9.976798143851507
27,2021-12-27,NSE:KOTYARK,136.85001,136.85001,136.85001,136.85001,4000.0,4.986574224275088,10.000008438818565
28,2021-12-28,NSE:KOTYARK,143.64999,143.64999,143.64999,143.64999,2000.0,4.9689291217443134,4.986574224275088
29,2021-12-29,NSE:KOTYARK,150.8,150.8,150.8,150.8,102000.0,4.977382873469054,4.9689291217443134
30,2021-12-30,NSE:KOTYARK,158.3,158.3,158.3,158.3,12000.0,4.973474801061008,4.977382873469054
31,2021-12-31,NSE:KOTYARK,166.2,166.2,166.2,166.2,4000.0,4.990524320909651,4.973474801061008
32,2022-01-03,NSE:KOTYARK,174.5,174.5,174.5,174.5,8000.0,4.9939831528279255,4.990524320909651
33,2022-01-04,NSE:KOTYARK,183.2,183.2,183.2,183.2,8000.0,4.985673352435524,4.9939831528279255
34,2022-01-05,NSE:KOTYARK,192.35001,192.35001,192.35001,192.35001,10000.0,4.994546943231446,4.985673352435524
35,2022-01-06,NSE:KOTYARK,201.95,201.95,201.95,201.95,16000.0,4.9908965432338634,4.994546943231446
36,2022-01-07,NSE:KOTYARK,212.0,212.0,191.89999,212.0,94000.0,4.976479326565988,4.9908965432338634
37,2022-01-10,NSE:KOTYARK,222.60001,222.60001,222.60001,222.60001,4000.0,5.000004716981131,4.976479326565988
38,2022-01-11,NSE:KOTYARK,233.7,233.7,233.7,233.7,26000.0,4.986518194675728,5.000004716981131
39,2022-01-12,NSE:KOTYARK,245.35001,245.35001,245.35001,245.35001,20000.0,4.985027813436034,4.986518194675728
40,2022-01-13,NSE:KOTYARK,254.0,257.60001,254.0,257.60001,60000.0,4.99286712888253,4.985027813436034
41,2022-01-14,NSE:KOTYARK,270.45001,270.45001,270.45001,270.45001,4000.0,4.988353843619813,4.99286712888253
42,2022-01-17,NSE:KOTYARK,283.95001,283.95001,283.95001,283.95001,20000.0,4.991680347876489,4.988353843619813
43,2022-01-18,NSE:KOTYARK,298.10001,298.10001,272.5,298.10001,112000.0,4.983271527266358,4.991680347876489
44,2022-01-19,NSE:KOTYARK,313.0,313.0,313.0,313.0,20000.0,4.998319188248266,4.983271527266358
45,2022-01-20,NSE:KOTYARK,328.5,328.64999,328.5,328.64999,10000.0,4.999996805111822,4.998319188248266
46,2022-01-21,NSE:KOTYARK,345.04999,345.04999,345.04999,345.04999,6000.0,4.9901112122352345,4.999996805111822
47,2022-01-24,NSE:KOTYARK,362.29999,362.29999,327.79999,353.10001,138000.0,2.333001081959173,4.9901112122352345
48,2022-01-25,NSE:KOTYARK,358.0,366.79999,335.64999,342.54999,62000.0,-2.9878277262014286,2.333001081959173
49,2022-01-27,NSE:KOTYARK,325.45001,339.95001,325.45001,325.45001,40000.0,-4.991966282060018,-2.9878277262014286
50,2022-01-28,NSE:KOTYARK,325.45001,325.45001,309.20001,309.20001,32000.0,-4.99308634220045,-4.991966282060018
51,2022-01-31,NSE:KOTYARK,293.75,293.75,293.75,293.75,10000.0,-4.9967689198975185,-4.99308634220045
52,2022-02-01,NSE:KOTYARK,279.10001,305.0,279.10001,279.10001,104000.0,-4.987230638297873,-4.9967689198975185
53,2022-02-02,NSE:KOTYARK,265.14999,284.0,265.14999,270.0,98000.0,-3.2604835807780868,-4.987230638297873
54,2022-02-03,NSE:KOTYARK,260.29999,283.5,256.5,283.5,74000.0,5.0,-3.2604835807780868
55,2022-02-04,NSE:KOTYARK,297.64999,297.64999,297.64999,297.64999,14000.0,4.991178130511464,5.0
56,2022-02-07,NSE:KOTYARK,312.5,312.5,312.5,312.5,54000.0,4.98908466282831,4.991178130511464
57,2022-02-08,NSE:KOTYARK,328.10001,328.10001,296.89999,328.10001,108000.0,4.992003199999999,4.98908466282831
58,2022-02-09,NSE:KOTYARK,328.10001,338.0,312.10001,330.54999,22000.0,0.7467174414289053,4.992003199999999
59,2022-02-10,NSE:KOTYARK,347.04999,347.04999,321.10001,338.5,40000.0,2.4050855363813564,0.7467174414289053
60,2022-02-11,NSE:KOTYARK,349.79999,354.5,330.10001,353.60001,28000.0,4.460859675036927,2.4050855363813564
61,2022-02-14,NSE:KOTYARK,371.25,371.25,342.0,365.39999,70000.0,3.3370983219146417,4.460859675036927
62,2022-02-15,NSE:KOTYARK,350.0,350.0,347.14999,347.14999,14000.0,-4.994526682937238,3.3370983219146417
63,2022-02-16,NSE:KOTYARK,329.79999,329.79999,329.79999,329.79999,2000.0,-4.997839694594266,-4.994526682937238
64,2022-02-17,NSE:KOTYARK,326.79999,326.79999,326.79999,326.79999,2000.0,-0.9096422349800557,-4.997839694594266
65,2022-02-18,NSE:KOTYARK,310.5,310.5,310.5,310.5,2000.0,-4.98775719056784,-0.9096422349800557
66,2022-02-21,NSE:KOTYARK,295.0,295.0,295.0,295.0,4000.0,-4.99194847020934,-4.98775719056784
67,2022-02-22,NSE:KOTYARK,280.25,309.75,280.25,280.25,82000.0,-5.0,-4.99194847020934
68,2022-02-23,NSE:KOTYARK,272.70001,272.70001,266.25,266.25,30000.0,-4.9955396966993755,-5.0
69,2022-02-24,NSE:KOTYARK,252.95,252.95,252.95,252.95,6000.0,-4.995305164319253,-4.9955396966993755
70,2022-02-25,NSE:KOTYARK,240.35001,263.95001,240.35001,253.85001,62000.0,0.3558054951571492,-4.995305164319253
