,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2024-11-14,NSE:KPEL,544.95,549.0,526.0,534.45,66906.0,,
1,2024-11-18,NSE:KPEL,557.0,561.15,541.0,561.15,109333.0,4.99579006455233,
2,2024-11-19,NSE:KPEL,572.45,589.2,565.55,578.65,236812.0,3.1185957408892455,4.99579006455233
3,2024-11-21,NSE:KPEL,574.7,589.0,551.55,562.5,134114.0,-2.790979002851461,3.1185957408892455
4,2024-11-22,NSE:KPEL,567.55,574.1,545.65,566.9,122616.0,0.7822222222222182,-2.790979002851461
5,2024-11-25,NSE:KPEL,582.95,595.2,572.0,592.05,178330.0,4.436408537660959,0.7822222222222182
6,2024-11-26,NSE:KPEL,592.55,608.7,583.0,589.9,121682.0,-0.36314500464487415,4.436408537660959
7,2024-11-27,NSE:KPEL,593.95,599.7,580.05,591.35,99395.0,0.24580437362265564,-0.36314500464487415
8,2024-11-28,NSE:KPEL,597.95,602.95,590.05,596.75,114892.0,0.9131647924241105,0.24580437362265564
9,2024-11-29,NSE:KPEL,598.45,626.55,580.55,620.05,246852.0,3.9044826141600257,0.9131647924241105
10,2024-12-02,NSE:KPEL,619.9,641.5,610.55,628.6,185668.0,1.3789210547536601,3.9044826141600257
11,2024-12-03,NSE:KPEL,633.0,640.15,620.55,633.8,149172.0,0.8272351256760948,1.3789210547536601
12,2024-12-04,NSE:KPEL,639.8,655.6,611.1,618.3,231333.0,-2.4455664247396656,0.8272351256760948
13,2024-12-05,NSE:KPEL,610.75,624.45,601.0,607.95,130583.0,-1.6739446870451091,-2.4455664247396656
14,2024-12-06,NSE:KPEL,613.95,617.5,604.0,612.6,79034.0,0.7648655317049061,-1.6739446870451091
15,2024-12-09,NSE:KPEL,610.0,673.85,610.0,654.8,484714.0,6.8886712373489924,0.7648655317049061
16,2024-12-10,NSE:KPEL,675.0,675.0,646.4,661.35,185405.0,1.0003054367745983,6.8886712373489924
17,2024-12-11,NSE:KPEL,665.8,669.85,638.0,642.9,136637.0,-2.789748242231805,1.0003054367745983
18,2024-12-12,NSE:KPEL,648.2,648.2,620.0,621.5,140764.0,-3.3286669777570355,-2.789748242231805
19,2024-12-13,NSE:KPEL,622.0,630.95,605.0,609.7,131074.0,-1.89863234111021,-3.3286669777570355
20,2024-12-16,NSE:KPEL,601.0,670.65,590.0,607.75,931285.0,-0.3198294243070437,-1.89863234111021
21,2024-12-17,NSE:KPEL,610.95,621.45,595.95,605.85,198918.0,-0.3126285479226618,-0.3198294243070437
22,2024-12-18,NSE:KPEL,607.0,614.95,585.0,587.55,175321.0,-3.0205496410002586,-0.3126285479226618
23,2024-12-19,NSE:KPEL,555.7,592.0,555.7,577.95,161255.0,-1.633903497574659,-3.0205496410002586
24,2024-12-20,NSE:KPEL,577.5,589.9,544.85,553.2,319531.0,-4.282377368284453,-1.633903497574659
25,2024-12-23,NSE:KPEL,558.0,566.1,549.5,553.0,83421.0,-0.03615328994939361,-4.282377368284453
26,2024-12-24,NSE:KPEL,552.95,566.0,535.1,538.25,158521.0,-2.667269439421338,-0.03615328994939361
27,2024-12-26,NSE:KPEL,542.8,554.9,537.0,540.95,121942.0,0.5016256386437614,-2.667269439421338
28,2024-12-27,NSE:KPEL,543.9,547.0,522.35,528.75,111858.0,-2.2552916166004335,0.5016256386437614
29,2024-12-30,NSE:KPEL,534.8,572.45,525.85,536.85,254320.0,1.5319148936170255,-2.2552916166004335
30,2024-12-31,NSE:KPEL,540.0,556.15,526.35,536.65,149543.0,-0.037254354102644216,1.5319148936170255
31,2025-01-01,NSE:KPEL,540.0,553.85,532.7,541.1,83701.0,0.8292182987049374,-0.037254354102644216
32,2025-01-02,NSE:KPEL,545.0,548.8,535.1,546.3,110447.0,0.9610053594529535,0.8292182987049374
33,2025-01-03,NSE:KPEL,549.8,559.9,540.1,540.95,122424.0,-0.9793153944718852,0.9610053594529535
