,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2018-04-05,NSE:MAHAPEXLTD,150.0,155.64999,150.0,155.64999,1046.0,,
1,2018-04-06,NSE:MAHAPEXLTD,163.39999,163.39999,163.39999,163.39999,2132.0,4.979120140001294,
2,2018-04-09,NSE:MAHAPEXLTD,171.55,171.55,171.55,171.55,1305.0,4.987766523119132,4.979120140001294
3,2018-04-10,NSE:MAHAPEXLTD,180.10001,180.10001,180.10001,180.10001,1862.0,4.983975517341874,4.987766523119132
4,2018-04-11,NSE:MAHAPEXLTD,189.0,189.10001,189.0,189.10001,2116.0,4.997223487105859,4.983975517341874
5,2018-04-12,NSE:MAHAPEXLTD,198.5,198.55,198.5,198.55,819.0,4.997350343873601,4.997223487105859
6,2018-04-13,NSE:MAHAPEXLTD,208.45,208.45,193.0,201.7,17701.0,1.5865021405187494,4.997350343873601
7,2018-04-16,NSE:MAHAPEXLTD,192.0,204.7,192.0,201.8,2360.0,0.04957858205256457,1.5865021405187494
8,2018-04-17,NSE:MAHAPEXLTD,206.89999,207.5,201.0,207.25,2736.0,2.700693756194246,0.04957858205256457
9,2018-04-18,NSE:MAHAPEXLTD,201.05,213.39999,201.05,202.0,7587.0,-2.5331724969843186,2.700693756194246
10,2018-04-19,NSE:MAHAPEXLTD,212.0,212.10001,201.05,212.10001,4150.0,5.000004950495049,-2.5331724969843186
11,2018-04-20,NSE:MAHAPEXLTD,219.39999,222.7,219.39999,222.7,5952.0,4.997637671021322,5.000004950495049
12,2018-04-23,NSE:MAHAPEXLTD,233.8,233.8,225.0,233.8,3087.0,4.984283789851829,4.997637671021322
13,2018-04-24,NSE:MAHAPEXLTD,235.0,245.45,235.0,245.45,7508.0,4.9828913601368585,4.984283789851829
14,2018-04-25,NSE:MAHAPEXLTD,254.0,257.70001,250.0,257.70001,3424.0,4.9908372377266375,4.9828913601368585
