,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2024-08-09,NSE:MIEL,87.349998,96.449997,87.349998,91.150002,712000.0,,
1,2024-08-12,NSE:MIEL,86.599998,92.400002,86.599998,86.599998,544000.0,-4.991776083559494,
2,2024-08-13,NSE:MIEL,89.699997,89.699997,82.550003,85.349998,184000.0,-1.4434180471921028,-4.991776083559494
3,2024-08-14,NSE:MIEL,84.5,85.800003,77.050003,80.75,196000.0,-5.389570132151614,-1.4434180471921028
4,2024-08-16,NSE:MIEL,79.5,92.0,79.5,89.599998,280000.0,10.959749845201237,-5.389570132151614
5,2024-08-19,NSE:MIEL,93.949997,93.949997,84.5,86.699997,130000.0,-3.236608331174297,10.959749845201237
6,2024-08-20,NSE:MIEL,86.25,86.25,80.0,82.5,200000.0,-4.84428736485423,-3.236608331174297
7,2024-08-21,NSE:MIEL,81.099998,84.400002,81.099998,82.599998,78000.0,0.1212096969696962,-4.84428736485423
8,2024-08-22,NSE:MIEL,83.0,83.099998,79.0,79.650002,178000.0,-3.571423815288711,0.1212096969696962
9,2024-08-23,NSE:MIEL,79.25,87.699997,79.25,81.900002,208000.0,2.8248586861303533,-3.571423815288711
10,2024-08-26,NSE:MIEL,82.050003,85.0,80.199997,82.900002,86000.0,1.221001191184342,2.8248586861303533
11,2024-08-27,NSE:MIEL,83.25,83.800003,75.800003,78.199997,166000.0,-5.669487197358577,1.221001191184342
12,2024-08-28,NSE:MIEL,81.0,81.400002,76.349998,76.800003,156000.0,-1.7902737259695707,-5.669487197358577
13,2024-08-29,NSE:MIEL,76.349998,76.349998,67.5,70.0,796000.0,-8.854170227050647,-1.7902737259695707
14,2024-08-30,NSE:MIEL,70.0,70.900002,66.5,67.050003,226000.0,-4.214281428571423,-8.854170227050647
15,2024-09-02,NSE:MIEL,68.0,76.0,68.0,70.650002,710000.0,5.369125785124867,-4.214281428571423
16,2024-09-03,NSE:MIEL,70.400002,71.0,66.599998,66.900002,172000.0,-5.307855476069201,5.369125785124867
17,2024-09-04,NSE:MIEL,67.150002,71.25,65.0,69.550003,188000.0,3.9611374002649553,-5.307855476069201
18,2024-09-05,NSE:MIEL,70.949997,71.949997,69.0,69.0,66000.0,-0.790802266392431,3.9611374002649553
19,2024-09-06,NSE:MIEL,72.099998,74.0,68.0,69.449997,238000.0,0.6521695652173859,-0.790802266392431
20,2024-09-09,NSE:MIEL,68.5,70.0,67.0,67.95,102000.0,-2.1598229874653465,0.6521695652173859
21,2024-09-10,NSE:MIEL,71.9,71.9,67.0,68.05,100000.0,0.14716703458424477,-2.1598229874653465
22,2024-09-11,NSE:MIEL,68.25,68.4,65.05,67.0,136000.0,-1.5429831006612744,0.14716703458424477
23,2024-09-12,NSE:MIEL,66.35,67.3,65.0,65.95,90000.0,-1.5671641791044733,-1.5429831006612744
24,2024-09-13,NSE:MIEL,68.0,70.25,66.25,67.7,124000.0,2.6535253980288096,-1.5671641791044733
25,2024-09-16,NSE:MIEL,68.1,69.85,67.0,67.05,74000.0,-0.960118168389964,2.6535253980288096
26,2024-09-17,NSE:MIEL,66.5,68.2,66.1,66.4,52000.0,-0.9694258016405541,-0.960118168389964
27,2024-09-18,NSE:MIEL,65.0,67.0,64.1,64.45,74000.0,-2.9367469879518113,-0.9694258016405541
28,2024-09-19,NSE:MIEL,65.0,71.0,63.05,68.55,242000.0,6.361520558572528,-2.9367469879518113
29,2024-09-20,NSE:MIEL,69.85,72.8,68.3,68.5,194000.0,-0.07293946024799003,6.361520558572528
30,2024-09-23,NSE:MIEL,70.0,71.0,66.5,69.5,242000.0,1.4598540145985401,-0.07293946024799003
31,2024-09-24,NSE:MIEL,69.45,69.7,67.05,68.0,50000.0,-2.158273381294964,1.4598540145985401
32,2024-09-25,NSE:MIEL,67.1,68.0,66.0,66.5,38000.0,-2.2058823529411766,-2.158273381294964
33,2024-09-26,NSE:MIEL,67.0,67.0,65.15,65.6,48000.0,-1.3533834586466251,-2.2058823529411766
34,2024-09-27,NSE:MIEL,65.6,65.6,63.9,64.25,40000.0,-2.057926829268284,-1.3533834586466251
35,2024-09-30,NSE:MIEL,64.5,64.5,63.5,63.5,6000.0,-1.1673151750972763,-2.057926829268284
36,2024-10-01,NSE:MIEL,63.05,63.5,61.0,62.2,66000.0,-2.0472440944881845,-1.1673151750972763
37,2024-10-03,NSE:MIEL,60.6,63.95,60.6,61.85,34000.0,-0.5627009646302273,-2.0472440944881845
38,2024-10-04,NSE:MIEL,62.05,63.8,60.0,60.5,74000.0,-2.1827000808407457,-0.5627009646302273
39,2024-10-07,NSE:MIEL,59.9,60.5,53.05,54.35,106000.0,-10.165289256198346,-2.1827000808407457
40,2024-10-08,NSE:MIEL,56.95,58.5,55.95,58.0,34000.0,6.715731370745168,-10.165289256198346
41,2024-10-09,NSE:MIEL,60.0,60.0,57.6,57.85,22000.0,-0.25862068965517,6.715731370745168
42,2024-10-11,NSE:MIEL,55.4,57.95,55.2,57.95,34000.0,0.17286084701815285,-0.25862068965517
43,2024-10-14,NSE:MIEL,58.5,58.5,55.3,55.3,10000.0,-4.572907679033659,0.17286084701815285
44,2024-10-15,NSE:MIEL,56.1,58.0,56.0,57.85,24000.0,4.611211573236897,-4.572907679033659
45,2024-10-16,NSE:MIEL,56.0,58.0,56.0,58.0,10000.0,0.2592912705272231,4.611211573236897
46,2024-10-17,NSE:MIEL,57.0,57.3,56.0,56.9,18000.0,-1.8965517241379335,0.2592912705272231
47,2024-10-18,NSE:MIEL,56.6,57.5,55.0,57.25,24000.0,0.6151142355008812,-1.8965517241379335
48,2024-10-21,NSE:MIEL,58.5,59.0,55.5,55.55,14000.0,-2.9694323144104855,0.6151142355008812
49,2024-10-22,NSE:MIEL,54.0,56.4,54.0,54.3,24000.0,-2.25022502250225,-2.9694323144104855
50,2024-10-23,NSE:MIEL,51.65,54.5,51.65,52.55,18000.0,-3.2228360957642725,-2.25022502250225
51,2024-10-24,NSE:MIEL,55.0,55.0,49.95,51.0,66000.0,-2.9495718363463315,-3.2228360957642725
52,2024-10-25,NSE:MIEL,50.5,51.5,48.5,51.0,26000.0,0.0,-2.9495718363463315
53,2024-10-28,NSE:MIEL,49.0,52.0,48.45,48.45,104000.0,-4.999999999999995,0.0
54,2024-10-29,NSE:MIEL,46.15,50.0,46.05,49.9,180000.0,2.9927760577915286,-4.999999999999995
55,2024-10-30,NSE:MIEL,48.0,51.3,47.4,49.15,102000.0,-1.5030060120240483,2.9927760577915286
56,2024-10-31,NSE:MIEL,51.4,51.4,48.2,51.3,32000.0,4.374364191251269,-1.5030060120240483
57,2024-11-01,NSE:MIEL,52.7,52.7,51.25,51.3,12000.0,0.0,4.374364191251269
58,2024-11-04,NSE:MIEL,49.0,50.0,48.75,48.75,52000.0,-4.970760233918123,0.0
59,2024-11-05,NSE:MIEL,47.85,47.85,46.35,46.8,128000.0,-4.000000000000005,-4.970760233918123
