,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2024-03-11,NSE:NIRAJISPAT,182.3,182.3,182.3,182.3,1.0,,
1,2024-03-14,NSE:NIRAJISPAT,191.39999,191.39999,191.39999,191.39999,12.0,4.991766319253972,
2,2024-09-04,NSE:NIRAJISPAT,210.54,210.54,185.65,185.81,893.0,-2.9205800898944667,4.991766319253972
3,2024-09-12,NSE:NIRAJISPAT,185.65,185.65,185.65,185.65,18.0,-0.08610946665948904,-2.9205800898944667
4,2024-10-07,NSE:NIRAJISPAT,204.21,204.21,204.21,204.21,18.0,9.99730676003232,-0.08610946665948904
5,2024-10-08,NSE:NIRAJISPAT,214.42,214.42,214.42,214.42,12.0,4.999755154008119,9.99730676003232
6,2024-10-09,NSE:NIRAJISPAT,225.14,225.14,225.14,225.14,5.0,4.999533625594627,4.999755154008119
7,2024-10-10,NSE:NIRAJISPAT,236.39,236.39,236.39,236.39,1.0,4.996890823487608,4.999533625594627
8,2024-12-19,NSE:NIRAJISPAT,248.2,248.2,229.29,233.49,18.0,-1.2267862430728784,4.996890823487608
9,2024-12-20,NSE:NIRAJISPAT,245.16,245.16,234.8,245.16,389.0,4.998072722600535,-1.2267862430728784
10,2024-12-23,NSE:NIRAJISPAT,245.18,245.18,245.18,245.18,1.0,0.008157937673360349,4.998072722600535
