,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2024-02-16,NSE:POLYSIL,56.0,58.799999,53.5,54.25,886000.0,,
1,2024-02-19,NSE:POLYSIL,52.0,54.200001,51.549999,51.549999,98000.0,-4.976960368663595,
2,2024-02-20,NSE:POLYSIL,49.0,49.0,49.0,49.0,26000.0,-4.946651890332722,-4.976960368663595
3,2024-02-21,NSE:POLYSIL,46.549999,46.549999,46.549999,46.549999,46000.0,-5.0000020408163275,-4.946651890332722
4,2024-02-22,NSE:POLYSIL,44.25,44.25,44.25,44.25,28000.0,-4.940921695830756,-5.0000020408163275
5,2024-02-23,NSE:POLYSIL,42.049999,42.049999,42.049999,42.049999,54000.0,-4.971753672316384,-4.940921695830756
6,2024-02-26,NSE:POLYSIL,40.0,44.150002,40.0,44.150002,224000.0,4.994061949918241,-4.971753672316384
7,2024-02-27,NSE:POLYSIL,46.349998,46.349998,45.049999,46.349998,54000.0,4.983003171777883,4.994061949918241
8,2024-02-28,NSE:POLYSIL,48.650002,48.650002,44.049999,44.049999,118000.0,-4.962241853818418,4.983003171777883
9,2024-02-29,NSE:POLYSIL,41.950001,44.5,41.849998,44.5,70000.0,1.021568695154795,-4.962241853818418
10,2024-03-01,NSE:POLYSIL,45.5,46.599998,42.599998,43.0,82000.0,-3.3707865168539324,1.021568695154795
11,2024-03-02,NSE:POLYSIL,43.0,43.950001,42.650002,43.900002,12000.0,2.0930279069767455,-3.3707865168539324
12,2024-03-04,NSE:POLYSIL,44.25,44.950001,40.549999,41.299999,66000.0,-5.922557816739965,2.0930279069767455
13,2024-03-05,NSE:POLYSIL,41.200001,41.549999,40.049999,40.5,40000.0,-1.937043630436891,-5.922557816739965
14,2024-03-06,NSE:POLYSIL,39.5,39.549999,37.099998,37.950001,66000.0,-6.296293827160493,-1.937043630436891
15,2024-03-07,NSE:POLYSIL,39.25,39.25,36.049999,37.450001,70000.0,-1.3175230219361522,-6.296293827160493
