,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2024-07-22,NSE:PRIZOR,165.3,173.55,165.3,173.55,544000.0,,
1,2024-07-23,NSE:PRIZOR,182.2,182.2,174.0,182.2,1345600.0,4.9841544223566565,
2,2024-07-24,NSE:PRIZOR,173.14999,190.95,173.10001,188.95,689600.0,3.7047200878155877,4.9841544223566565
3,2024-07-25,NSE:PRIZOR,186.5,198.35001,179.5,198.35001,488000.0,4.974866366763699,3.7047200878155877
4,2024-07-26,NSE:PRIZOR,203.0,208.25,192.0,208.14999,313600.0,4.940750948285813,4.974866366763699
5,2024-07-29,NSE:PRIZOR,218.55,218.55,218.0,218.55,128000.0,4.996401873475953,4.940750948285813
6,2024-07-30,NSE:PRIZOR,229.45,229.45,208.8,223.5,420800.0,2.264927934111182,4.996401873475953
7,2024-07-31,NSE:PRIZOR,223.0,225.7,212.35001,212.35001,86400.0,-4.988809843400448,2.264927934111182
8,2024-08-01,NSE:PRIZOR,201.75,201.75,201.75,201.75,9600.0,-4.991763362761319,-4.988809843400448
9,2024-08-02,NSE:PRIZOR,191.7,201.0,191.7,193.95,312000.0,-3.866171003717478,-4.991763362761319
10,2024-08-05,NSE:PRIZOR,176.0,191.0,170.0,173.7,169600.0,-10.440835266821347,-3.866171003717478
11,2024-08-06,NSE:PRIZOR,180.0,189.0,165.2,167.45,68800.0,-3.598157743235464,-10.440835266821347
12,2024-08-07,NSE:PRIZOR,166.5,166.5,150.0,160.0,134400.0,-4.449089280382197,-3.598157743235464
13,2024-08-08,NSE:PRIZOR,159.0,164.95,154.35001,154.95,36800.0,-3.156250000000007,-4.449089280382197
14,2024-08-09,NSE:PRIZOR,178.89999,178.89999,157.89999,164.60001,204800.0,6.227821878025176,-3.156250000000007
15,2024-08-12,NSE:PRIZOR,161.95,166.95,158.10001,166.95,44800.0,1.427697361622269,6.227821878025176
16,2024-08-13,NSE:PRIZOR,166.95,167.0,158.05,166.0,36800.0,-0.5690326445043359,1.427697361622269
17,2024-08-14,NSE:PRIZOR,161.2,172.0,161.2,164.45,43200.0,-0.933734939759043,-0.5690326445043359
18,2024-08-16,NSE:PRIZOR,164.45,180.0,160.0,170.0,120000.0,3.3748859835816427,-0.933734939759043
19,2024-08-19,NSE:PRIZOR,174.39999,174.39999,163.14999,165.60001,30400.0,-2.5882294117647073,3.3748859835816427
20,2024-08-20,NSE:PRIZOR,163.5,165.0,157.7,158.8,48000.0,-4.10628598391992,-2.5882294117647073
21,2024-08-21,NSE:PRIZOR,158.0,161.0,155.5,156.55,28800.0,-1.4168765743073046,-4.10628598391992
22,2024-08-22,NSE:PRIZOR,162.0,163.8,146.25,149.3,296000.0,-4.631108272117534,-1.4168765743073046
23,2024-08-23,NSE:PRIZOR,146.55,155.5,145.0,145.8,129600.0,-2.3442732752846616,-4.631108272117534
24,2024-08-26,NSE:PRIZOR,147.0,150.0,141.25,143.0,115200.0,-1.9204389574760024,-2.3442732752846616
25,2024-08-27,NSE:PRIZOR,145.0,154.0,141.05,147.39999,180800.0,3.0769160839160854,-1.9204389574760024
26,2024-08-28,NSE:PRIZOR,155.95,155.95,145.5,146.39999,57600.0,-0.6784260975865738,3.0769160839160854
27,2024-08-29,NSE:PRIZOR,146.39999,149.0,139.25,140.89999,75200.0,-3.7568308577070253,-0.6784260975865738
28,2024-08-30,NSE:PRIZOR,142.0,142.0,140.0,141.60001,16000.0,0.4968204752888875,-3.7568308577070253
29,2024-09-02,NSE:PRIZOR,141.7,141.7,135.0,137.0,52800.0,-3.2485944033478513,0.4968204752888875
30,2024-09-03,NSE:PRIZOR,138.0,138.0,132.0,135.0,20800.0,-1.4598540145985401,-3.2485944033478513
31,2024-09-04,NSE:PRIZOR,133.0,137.6,128.1,132.0,38400.0,-2.2222222222222223,-1.4598540145985401
32,2024-09-05,NSE:PRIZOR,133.60001,136.0,128.55,130.25,33600.0,-1.3257575757575757,-2.2222222222222223
33,2024-09-06,NSE:PRIZOR,132.0,132.5,126.7,126.7,30400.0,-2.7255278310940474,-1.3257575757575757
34,2024-09-09,NSE:PRIZOR,125.15,128.7,115.0,126.85,80000.0,0.11838989739541553,-2.7255278310940474
35,2024-09-10,NSE:PRIZOR,125.05,136.2,125.0,129.1,54400.0,1.7737485218762319,0.11838989739541553
36,2024-09-11,NSE:PRIZOR,129.1,131.95,124.0,125.5,59200.0,-2.7885360185902357,1.7737485218762319
37,2024-09-12,NSE:PRIZOR,125.05,129.0,123.0,126.6,76800.0,0.876494023904378,-2.7885360185902357
38,2024-09-13,NSE:PRIZOR,130.8,151.9,123.5,151.9,425600.0,19.984202211690373,0.876494023904378
39,2024-09-16,NSE:PRIZOR,170.8,179.85,159.45,170.35,297600.0,12.146148782093475,19.984202211690373
40,2024-09-17,NSE:PRIZOR,172.0,172.0,155.0,160.65,75200.0,-5.694159084238326,12.146148782093475
41,2024-09-18,NSE:PRIZOR,161.0,161.0,147.2,150.7,73600.0,-6.193588546529734,-5.694159084238326
42,2024-09-19,NSE:PRIZOR,150.2,152.95,140.25,142.1,67200.0,-5.706702057067018,-6.193588546529734
43,2024-09-20,NSE:PRIZOR,150.6,162.4,149.75,160.7,100800.0,13.089373680506682,-5.706702057067018
44,2024-09-23,NSE:PRIZOR,156.5,183.95,156.5,180.45,342400.0,12.289981331673927,13.089373680506682
45,2024-09-24,NSE:PRIZOR,185.95,192.5,172.95,175.4,225600.0,-2.798559157661393,12.289981331673927
46,2024-09-25,NSE:PRIZOR,174.5,196.9,166.3,194.05,384000.0,10.632839224629421,-2.798559157661393
47,2024-09-26,NSE:PRIZOR,197.5,201.35,190.0,191.65,180800.0,-1.2367946405565604,10.632839224629421
48,2024-09-27,NSE:PRIZOR,189.4,199.95,185.2,188.2,140800.0,-1.800156535350909,-1.2367946405565604
49,2024-09-30,NSE:PRIZOR,194.95,221.0,194.95,211.0,576000.0,12.114771519659943,-1.800156535350909
50,2024-10-01,NSE:PRIZOR,215.0,217.9,201.5,211.8,132800.0,0.37914691943128503,12.114771519659943
51,2024-10-03,NSE:PRIZOR,210.9,210.9,192.1,193.85,145600.0,-8.474976392823425,0.37914691943128503
52,2024-10-04,NSE:PRIZOR,191.0,201.05,181.0,183.45,89600.0,-5.364972917204027,-8.474976392823425
53,2024-10-07,NSE:PRIZOR,185.0,187.0,165.1,165.1,92800.0,-10.002725538293811,-5.364972917204027
54,2024-10-08,NSE:PRIZOR,170.95,170.95,157.0,162.0,56000.0,-1.8776499091459689,-10.002725538293811
55,2024-10-09,NSE:PRIZOR,167.0,170.1,163.5,170.1,36800.0,4.9999999999999964,-1.8776499091459689
56,2024-10-10,NSE:PRIZOR,178.6,178.6,175.0,178.6,56000.0,4.997060552616108,4.9999999999999964
57,2024-10-11,NSE:PRIZOR,178.7,183.0,172.05,177.0,27200.0,-0.8958566629339274,4.997060552616108
58,2024-10-14,NSE:PRIZOR,177.0,177.0,168.85,175.35,32000.0,-0.9322033898305117,-0.8958566629339274
59,2024-10-15,NSE:PRIZOR,174.5,176.7,167.1,170.45,32000.0,-2.794411177644714,-0.9322033898305117
60,2024-10-16,NSE:PRIZOR,174.0,176.5,167.0,167.0,25600.0,-2.024053974772654,-2.794411177644714
61,2024-10-17,NSE:PRIZOR,172.8,172.8,159.1,160.0,78400.0,-4.191616766467066,-2.024053974772654
62,2024-10-18,NSE:PRIZOR,160.0,160.0,152.0,153.25,64000.0,-4.21875,-4.191616766467066
63,2024-10-21,NSE:PRIZOR,157.9,160.9,155.0,156.8,38400.0,2.316476345840138,-4.21875
64,2024-10-22,NSE:PRIZOR,157.5,157.5,149.0,151.0,24000.0,-3.6989795918367414,2.316476345840138
65,2024-10-23,NSE:PRIZOR,151.0,154.0,145.65,146.05,11200.0,-3.278145695364231,-3.6989795918367414
66,2024-10-24,NSE:PRIZOR,146.05,149.9,143.0,147.0,16000.0,0.6504621704895506,-3.278145695364231
67,2024-10-25,NSE:PRIZOR,147.0,147.0,139.65,140.45,44800.0,-4.455782312925178,0.6504621704895506
68,2024-10-28,NSE:PRIZOR,134.1,147.45,134.1,147.45,70400.0,4.983980064079744,-4.455782312925178
69,2024-10-29,NSE:PRIZOR,147.45,152.7,145.0,151.55,14400.0,2.7806035944388086,4.983980064079744
70,2024-10-30,NSE:PRIZOR,151.55,157.8,149.05,149.5,30400.0,-1.3526888815572493,2.7806035944388086
71,2024-10-31,NSE:PRIZOR,146.0,154.9,146.0,153.3,20000.0,2.5418060200668973,-1.3526888815572493
72,2024-11-01,NSE:PRIZOR,153.5,160.95,153.5,160.35,11200.0,4.598825831702532,2.5418060200668973
73,2024-11-04,NSE:PRIZOR,153.85,154.0,152.35,152.35,42400.0,-4.989086373557843,4.598825831702532
74,2024-11-05,NSE:PRIZOR,151.35,159.9,150.0,158.0,20000.0,3.708565802428622,-4.989086373557843
75,2024-11-06,NSE:PRIZOR,164.8,165.9,158.05,165.9,21600.0,5.0000000000000036,3.708565802428622
76,2024-11-07,NSE:PRIZOR,172.5,174.15,172.0,174.05,59200.0,4.912597950572637,5.0000000000000036
77,2024-11-08,NSE:PRIZOR,179.5,179.5,165.35,165.35,13600.0,-4.998563631140486,4.912597950572637
78,2024-11-11,NSE:PRIZOR,157.5,165.0,157.5,162.1,9600.0,-1.9655276685817964,-4.998563631140486
79,2024-11-12,NSE:PRIZOR,167.0,167.0,159.0,163.0,5600.0,0.5552128315854445,-1.9655276685817964
80,2024-11-13,NSE:PRIZOR,168.95,168.95,154.85,154.85,14400.0,-5.0000000000000036,0.5552128315854445
81,2024-11-14,NSE:PRIZOR,162.0,162.55,157.95,162.55,83200.0,4.972554084598009,-5.0000000000000036
82,2024-11-18,NSE:PRIZOR,170.65,170.65,169.8,170.65,97600.0,4.983082128575819,4.972554084598009
