,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2000-02-09,NSE:RAJESHEXPO,7.73348789,8.20849738,7.73348789,8.20849738,26999.4604,,
1,2000-02-10,NSE:RAJESHEXPO,8.86517751,8.86517751,8.86351014,8.86517751,11999.76017778,8.000004137176198,
2,2000-02-11,NSE:RAJESHEXPO,9.57519136,9.57519136,9.57519136,9.57519136,2999.94004444,8.009020114928294,8.000004137176198
3,2000-02-14,NSE:RAJESHEXPO,10.34187335,10.34187335,10.34187335,10.34187335,2999.94004444,8.006962588787369,8.009020114928294
4,2000-02-15,NSE:RAJESHEXPO,11.17022357,11.17022357,11.17022357,11.17022357,5999.88008889,8.009672831663512,8.006962588787369
5,2000-02-16,NSE:RAJESHEXPO,12.06524146,12.06524146,12.06524146,12.06524146,2999.94004444,8.012533360601305,8.009672831663512
6,2000-02-17,NSE:RAJESHEXPO,13.03192745,13.03192745,13.03192745,13.03192745,2999.94004444,8.01215618605614,8.012533360601305
7,2000-02-18,NSE:RAJESHEXPO,14.0752813,14.0752813,14.0752813,14.0752813,2999.94004444,8.006136114577593,8.01215618605614
8,2000-02-21,NSE:RAJESHEXPO,15.00029978,15.20197015,14.66695979,14.86696379,107997.84160002,5.624629967430914,8.006136114577593
9,2000-02-22,NSE:RAJESHEXPO,14.33361979,14.46695579,14.1669498,14.25028479,50998.98075556,-4.147982121371667,5.624629967430914
10,2000-02-23,NSE:RAJESHEXPO,15.33363978,15.33363978,14.50028979,14.50028979,26999.4604,1.7543859907658717,-4.147982121371667
11,2000-02-24,NSE:RAJESHEXPO,14.46695579,14.56695779,13.9669458,13.97194557,134997.30200002,-3.6436804205414384,1.7543859907658717
12,2000-02-25,NSE:RAJESHEXPO,13.96861217,14.29695206,13.6669398,13.6669398,26999.4604,-2.1829871042075712,-3.6436804205414384
13,2000-02-28,NSE:RAJESHEXPO,13.43360181,13.5669378,13.43360181,13.5669378,26999.4604,-0.7317073277808682,-2.1829871042075712
14,2000-02-29,NSE:RAJESHEXPO,13.33359981,13.33359981,13.00025981,13.08359481,17999.64026667,-3.5626535414646083,-0.7317073277808682
15,2000-03-01,NSE:RAJESHEXPO,13.50026981,14.1002818,13.50026981,14.1002818,5999.88008889,7.7707006733572195,-3.5626535414646083
16,2000-03-02,NSE:RAJESHEXPO,14.0002798,14.0002798,13.33359981,13.33359981,8999.82013333,-5.437352252066328,7.7707006733572195
17,2000-03-06,NSE:RAJESHEXPO,13.16692981,13.16692981,13.16692981,13.16692981,2999.94004444,-1.2500000178121564,-5.437352252066328
18,2000-03-08,NSE:RAJESHEXPO,12.50024982,12.50024982,12.50024982,12.50024982,2999.94004444,-5.0632911363564,-1.2500000178121564
19,2000-03-31,NSE:RAJESHEXPO,11.50022983,11.50022983,11.50022983,11.50022983,2999.94004444,-8.000000035199298,-5.0632911363564
20,2001-07-04,NSE:RAJESHEXPO,1.96670597,2.00003997,1.96670597,2.00003997,299.99400444,-82.60869565595456,-8.000000035199298
21,2001-07-05,NSE:RAJESHEXPO,2.03337397,2.40004797,2.03337397,2.40004797,3299.93404889,20.00000029999401,-82.60869565595456
22,2001-07-06,NSE:RAJESHEXPO,2.36671397,2.36671397,2.10004197,2.10004197,36749.26554445,-12.500000156246886,20.00000029999401
23,2001-07-13,NSE:RAJESHEXPO,1.93337197,1.93337197,1.93337197,1.93337197,1499.97002222,-7.93650804988435,-12.500000156246886
