,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2024-08-06,NSE:RAJINDLTD,72.199997,75.800003,72.199997,75.800003,1167000.0,,
1,2024-08-07,NSE:RAJINDLTD,79.550003,79.550003,79.550003,79.550003,195000.0,4.947229355650553,
2,2024-08-08,NSE:RAJINDLTD,83.5,83.5,83.5,83.5,219000.0,4.965426588356,4.947229355650553
3,2024-08-09,NSE:RAJINDLTD,87.650002,87.650002,87.650002,87.650002,147000.0,4.970062275449102,4.965426588356
4,2024-08-12,NSE:RAJINDLTD,92.0,92.0,87.650002,92.0,2649000.0,4.962918312312188,4.970062275449102
5,2024-08-13,NSE:RAJINDLTD,92.599998,94.949997,88.050003,89.699997,1206000.0,-2.5000032608695695,4.962918312312188
6,2024-08-14,NSE:RAJINDLTD,89.5,94.150002,89.5,94.150002,315000.0,4.960986787992875,-2.5000032608695695
7,2024-08-16,NSE:RAJINDLTD,98.849998,98.849998,98.849998,98.849998,111000.0,4.992029633732773,4.960986787992875
8,2024-08-19,NSE:RAJINDLTD,103.75,103.75,103.75,103.75,78000.0,4.957007687546945,4.992029633732773
9,2024-08-20,NSE:RAJINDLTD,108.9,108.9,108.9,108.9,48000.0,4.963855421686753,4.957007687546945
10,2024-08-21,NSE:RAJINDLTD,115.1,120.0,102.5,108.35,1812000.0,-0.5050505050505155,4.963855421686753
11,2024-08-22,NSE:RAJINDLTD,111.95,111.95,101.0,103.45,921000.0,-4.522381172127357,-0.5050505050505155
12,2024-08-23,NSE:RAJINDLTD,102.8,103.45,93.550003,98.449997,936000.0,-4.833255679072022,-4.522381172127357
13,2024-08-26,NSE:RAJINDLTD,99.900002,100.0,95.550003,97.75,279000.0,-0.7110177971869276,-4.833255679072022
14,2024-08-27,NSE:RAJINDLTD,98.5,103.95,95.0,101.95,456000.0,4.29667519181586,-0.7110177971869276
15,2024-08-28,NSE:RAJINDLTD,103.85,105.95,99.0,100.15,624000.0,-1.7655713585090702,4.29667519181586
16,2024-08-29,NSE:RAJINDLTD,99.400002,100.0,91.550003,92.550003,486000.0,-7.58861407888168,-1.7655713585090702
17,2024-08-30,NSE:RAJINDLTD,94.0,94.0,88.349998,89.0,207000.0,-3.8357675688027837,-7.58861407888168
18,2024-09-02,NSE:RAJINDLTD,87.349998,94.150002,87.349998,88.75,132000.0,-0.2808988764044944,-3.8357675688027837
19,2024-09-03,NSE:RAJINDLTD,88.75,90.0,82.199997,84.75,192000.0,-4.507042253521127,-0.2808988764044944
20,2024-09-04,NSE:RAJINDLTD,83.0,84.0,80.25,82.7,141000.0,-2.418879056047194,-4.507042253521127
21,2024-09-05,NSE:RAJINDLTD,82.699997,86.75,81.449997,84.349998,117000.0,1.9951608222490889,-2.418879056047194
22,2024-09-06,NSE:RAJINDLTD,85.0,85.0,81.050003,81.800003,114000.0,-3.023112104875208,1.9951608222490889
23,2024-09-09,NSE:RAJINDLTD,81.6,86.2,81.6,83.6,75000.0,2.200485249370945,-3.023112104875208
24,2024-09-10,NSE:RAJINDLTD,84.25,84.35,81.8,82.05,84000.0,-1.8540669856459298,2.200485249370945
25,2024-09-11,NSE:RAJINDLTD,82.05,83.95,81.2,82.35,159000.0,0.36563071297988686,-1.8540669856459298
26,2024-09-12,NSE:RAJINDLTD,84.85,93.8,82.6,88.1,369000.0,6.982392228293868,0.36563071297988686
27,2024-09-13,NSE:RAJINDLTD,88.5,94.95,88.5,91.2,225000.0,3.5187287173666384,6.982392228293868
28,2024-09-16,NSE:RAJINDLTD,91.0,92.7,89.1,91.15,96000.0,-0.05482456140350566,3.5187287173666384
29,2024-09-17,NSE:RAJINDLTD,90.05,90.05,85.1,85.2,66000.0,-6.527701590784424,-0.05482456140350566
30,2024-09-18,NSE:RAJINDLTD,85.35,89.85,85.35,87.35,39000.0,2.5234741784037458,-6.527701590784424
31,2024-09-19,NSE:RAJINDLTD,89.85,91.5,84.0,85.0,66000.0,-2.6903262736118996,2.5234741784037458
32,2024-09-20,NSE:RAJINDLTD,85.0,88.65,85.0,85.5,15000.0,0.5882352941176471,-2.6903262736118996
33,2024-09-23,NSE:RAJINDLTD,84.6,88.8,84.6,86.25,24000.0,0.8771929824561403,0.5882352941176471
34,2024-09-24,NSE:RAJINDLTD,86.25,87.95,86.15,86.55,30000.0,0.34782608695651845,0.8771929824561403
35,2024-09-25,NSE:RAJINDLTD,91.5,91.5,87.4,89.0,30000.0,2.8307336799537874,0.34782608695651845
36,2024-09-26,NSE:RAJINDLTD,87.25,87.35,86.15,86.15,30000.0,-3.2022471910112293,2.8307336799537874
37,2024-09-27,NSE:RAJINDLTD,86.15,86.15,86.0,86.0,15000.0,-0.17411491584446392,-3.2022471910112293
38,2024-09-30,NSE:RAJINDLTD,81.3,84.9,81.3,82.8,93000.0,-3.720930232558143,-0.17411491584446392
39,2024-10-01,NSE:RAJINDLTD,85.0,86.7,83.5,86.3,45000.0,4.2270531400966185,-3.720930232558143
40,2024-10-03,NSE:RAJINDLTD,83.4,86.0,82.35,85.25,48000.0,-1.2166859791425229,4.2270531400966185
41,2024-10-04,NSE:RAJINDLTD,85.25,85.25,83.15,84.35,27000.0,-1.0557184750733204,-1.2166859791425229
42,2024-10-07,NSE:RAJINDLTD,80.5,82.5,79.0,80.35,60000.0,-4.742145820983996,-1.0557184750733204
43,2024-10-08,NSE:RAJINDLTD,80.05,81.75,80.05,81.0,30000.0,0.808960796515253,-4.742145820983996
44,2024-10-09,NSE:RAJINDLTD,83.0,83.0,78.5,81.5,78000.0,0.6172839506172839,0.808960796515253
45,2024-10-10,NSE:RAJINDLTD,81.5,83.9,81.5,83.9,9000.0,2.9447852760736266,0.6172839506172839
46,2024-10-11,NSE:RAJINDLTD,83.25,83.9,82.1,82.5,21000.0,-1.6686531585220568,2.9447852760736266
47,2024-10-14,NSE:RAJINDLTD,82.05,83.4,80.4,81.65,30000.0,-1.0303030303030234,-1.6686531585220568
48,2024-10-15,NSE:RAJINDLTD,81.65,83.75,80.1,82.45,45000.0,0.9797917942437198,-1.0303030303030234
49,2024-10-16,NSE:RAJINDLTD,83.2,87.45,83.2,87.4,75000.0,6.003638568829596,0.9797917942437198
50,2024-10-17,NSE:RAJINDLTD,84.25,84.25,80.0,81.95,72000.0,-6.235697940503435,6.003638568829596
51,2024-10-18,NSE:RAJINDLTD,82.5,83.95,82.5,83.95,6000.0,2.440512507626601,-6.235697940503435
52,2024-10-21,NSE:RAJINDLTD,85.0,88.0,84.0,86.55,99000.0,3.0970815961882003,2.440512507626601
53,2024-10-22,NSE:RAJINDLTD,83.05,83.75,81.6,82.25,30000.0,-4.968226458694393,3.0970815961882003
54,2024-10-23,NSE:RAJINDLTD,82.25,87.0,82.25,86.5,12000.0,5.167173252279635,-4.968226458694393
