,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2001-01-29,NSE:RUBYMILLS,15.875,17.5,15.875,17.5,48000.0,,
1,2002-05-28,NSE:RUBYMILLS,16.5,16.5,16.5,16.5,80.0,-5.714285714285714,
2,2002-06-13,NSE:RUBYMILLS,16.25,16.25,16.25,16.25,160.0,-1.5151515151515151,-5.714285714285714
3,2002-07-04,NSE:RUBYMILLS,15.625,15.625,15.625,15.625,400.0,-3.8461538461538463,-1.5151515151515151
4,2002-07-05,NSE:RUBYMILLS,15.625,15.625,15.625,15.625,8.0,0.0,-3.8461538461538463
5,2003-09-11,NSE:RUBYMILLS,8.91250038,8.91250038,8.91250038,8.91250038,152.0,-42.959997568,0.0
6,2003-10-09,NSE:RUBYMILLS,8.60000038,8.60000038,8.60000038,8.60000038,400.0,-3.5063112109511065,-42.959997568
7,2003-11-06,NSE:RUBYMILLS,15.875,15.875,15.61875,15.61875,400.0,81.61336406824668,-3.5063112109511065
8,2003-11-13,NSE:RUBYMILLS,15.6875,15.6875,15.6875,15.6875,1600.0,0.440176070428169,81.61336406824668
9,2003-12-01,NSE:RUBYMILLS,13.75,13.75,13.5,13.73125,864.0,-12.470119521912356,0.440176070428169
10,2003-12-02,NSE:RUBYMILLS,13.25625,13.25625,13.25,13.25,120.0,-3.5047792444242094,-12.470119521912356
11,2003-12-03,NSE:RUBYMILLS,13.75,13.75,13.75,13.75,800.0,3.7735849056603774,-3.5047792444242094
12,2003-12-09,NSE:RUBYMILLS,13.3375,13.3375,13.3375,13.3375,80.0,-2.9999999999999973,3.7735849056603774
13,2003-12-11,NSE:RUBYMILLS,12.75625,12.75625,12.75625,12.75625,800.0,-4.358013120899724,-2.9999999999999973
14,2003-12-16,NSE:RUBYMILLS,13.25,13.25,13.25,13.25,16.0,3.870651641352281,-4.358013120899724
15,2003-12-31,NSE:RUBYMILLS,11.95625025,12.75,11.95625025,12.75,1384.0,-3.7735849056603774,3.870651641352281
16,2004-01-05,NSE:RUBYMILLS,12.14375025,12.14375025,12.14375025,12.14375025,200.0,-4.754899999999999,-3.7735849056603774
17,2004-01-27,NSE:RUBYMILLS,9.625,9.625,9.625,9.625,200.0,-20.74112360800569,-4.754899999999999
18,2004-01-29,NSE:RUBYMILLS,9.625,9.625,9.625,9.625,800.0,0.0,-20.74112360800569
19,2004-02-18,NSE:RUBYMILLS,10.625,10.625,10.625,10.625,160.0,10.38961038961039,0.0
20,2004-02-25,NSE:RUBYMILLS,10.09375,10.25,10.09375,10.25,1600.0,-3.5294117647058822,10.38961038961039
21,2004-03-01,NSE:RUBYMILLS,10.25,10.25,10.25,10.25,440.0,0.0,-3.5294117647058822
22,2004-03-11,NSE:RUBYMILLS,10.375,10.375,10.34375,10.34375,800.0,0.9146341463414633,0.0
23,2004-03-15,NSE:RUBYMILLS,10.625,10.625,10.625,10.625,800.0,2.719033232628399,0.9146341463414633
24,2004-03-16,NSE:RUBYMILLS,10.625,10.625,10.09375,10.625,4008.0,0.0,2.719033232628399
25,2004-03-18,NSE:RUBYMILLS,10.625,10.625,10.625,10.625,4000.0,0.0,0.0
26,2004-03-24,NSE:RUBYMILLS,10.25,10.25,10.25,10.25,1600.0,-3.5294117647058822,0.0
27,2004-03-25,NSE:RUBYMILLS,10.25,10.25,10.25,10.25,800.0,0.0,-3.5294117647058822
28,2004-03-26,NSE:RUBYMILLS,10.25,10.25,10.25,10.25,4000.0,0.0,0.0
29,2004-03-29,NSE:RUBYMILLS,10.25,10.25,10.0,10.0,8000.0,-2.4390243902439024,0.0
30,2004-03-31,NSE:RUBYMILLS,9.78125,9.78125,9.75,9.75,400.0,-2.5,-2.4390243902439024
31,2004-04-01,NSE:RUBYMILLS,10.22500038,10.22500038,10.22500038,10.22500038,40.0,4.871798769230779,-2.5
32,2004-04-02,NSE:RUBYMILLS,10.25,10.25,10.25,10.25,8000.0,0.24449505203831698,4.871798769230779
33,2004-04-05,NSE:RUBYMILLS,10.25,10.25,10.25,10.25,6000.0,0.0,0.24449505203831698
34,2004-04-06,NSE:RUBYMILLS,10.25,10.25,10.25,10.25,4000.0,0.0,0.0
35,2004-04-07,NSE:RUBYMILLS,9.73750025,9.73750025,9.73750025,9.73750025,4800.0,-4.999997560975609,0.0
36,2004-04-12,NSE:RUBYMILLS,9.75,9.75,9.50625038,9.75,2024.0,0.12836713405989306,-4.999997560975609
37,2004-04-13,NSE:RUBYMILLS,9.98750025,9.98750025,9.98750025,9.98750025,400.0,2.435900000000001,0.12836713405989306
38,2004-04-15,NSE:RUBYMILLS,9.51875025,9.625,9.51875025,9.625,880.0,-3.6295393334283026,2.435900000000001
39,2004-04-16,NSE:RUBYMILLS,9.52499962,9.52499962,9.5,9.5,1280.0,-1.2987012987012987,-3.6295393334283026
40,2004-04-21,NSE:RUBYMILLS,9.625,9.88125038,9.52499962,9.625,4024.0,1.3157894736842104,-1.2987012987012987
41,2004-04-22,NSE:RUBYMILLS,9.5,9.5625,9.5,9.5,3200.0,-1.2987012987012987,1.3157894736842104
42,2004-04-27,NSE:RUBYMILLS,9.50625038,9.50625038,9.50625038,9.50625038,40.0,0.06579347368421987,-1.2987012987012987
43,2004-05-04,NSE:RUBYMILLS,9.03125,9.75,9.03125,9.75,408.0,2.564098464235897,0.06579347368421987
44,2004-05-07,NSE:RUBYMILLS,9.75,9.75,9.75,9.75,240.0,0.0,2.564098464235897
45,2004-05-12,NSE:RUBYMILLS,10.23750025,10.23750025,10.23750025,10.23750025,8.0,5.000002564102565,0.0
46,2004-05-21,NSE:RUBYMILLS,9.75,9.75,9.75,9.75,8.0,-4.761907087621317,5.000002564102565
47,2004-06-03,NSE:RUBYMILLS,10.125,10.125,10.125,10.125,8.0,3.8461538461538463,-4.761907087621317
48,2004-06-04,NSE:RUBYMILLS,10.18124963,10.18124963,10.18124963,10.18124963,8.0,0.5555519012345673,3.8461538461538463
49,2004-06-07,NSE:RUBYMILLS,10.69375038,10.69375038,10.69375038,10.69375038,80.0,5.033770594229119,0.5555519012345673
50,2004-06-08,NSE:RUBYMILLS,11.22500038,11.22500038,10.16250038,11.0625,32.0,3.448272186057882,5.033770594229119
51,2004-06-09,NSE:RUBYMILLS,11.61874963,11.61874963,11.61874963,11.61874963,40.0,5.028245242937852,3.448272186057882
52,2004-06-10,NSE:RUBYMILLS,12.19999975,12.19999975,12.19999975,12.19999975,40.0,5.002690810198653,5.028245242937852
53,2004-06-15,NSE:RUBYMILLS,12.80625,12.80625,12.80625,12.80625,40.0,4.969264446091488,5.002690810198653
54,2004-06-17,NSE:RUBYMILLS,13.44375,13.44375,13.44375,13.44375,40.0,4.978038067349921,4.969264446091488
55,2004-06-18,NSE:RUBYMILLS,12.8,12.875,12.775,12.875,48.0,-4.23059042305904,4.978038067349921
56,2004-06-30,NSE:RUBYMILLS,10.0,10.0,10.0,10.0,8.0,-22.330097087378643,-4.23059042305904
57,2004-07-09,NSE:RUBYMILLS,9.9375,10.3125,9.9375,10.14375025,120.0,1.4375025000000008,-22.330097087378643
58,2004-07-12,NSE:RUBYMILLS,9.76249975,10.3125,9.76249975,10.3125,200.0,1.6635834463688608,1.4375025000000008
59,2004-07-13,NSE:RUBYMILLS,9.80000025,9.80000025,9.80000025,9.80000025,440.0,-4.969694545454545,1.6635834463688608
60,2004-07-14,NSE:RUBYMILLS,10.25,10.25,10.25,10.25,40.0,4.591834066534845,-4.969694545454545
61,2004-07-16,NSE:RUBYMILLS,10.75,10.76249975,10.75,10.75625038,48.0,4.939028097560985,4.591834066534845
62,2004-07-19,NSE:RUBYMILLS,11.29374975,11.29374975,11.29374975,11.29374975,8.0,4.997088678778031,4.939028097560985
63,2004-07-20,NSE:RUBYMILLS,11.25,11.5,10.73750025,10.73750025,2128.0,-4.92528621860069,4.997088678778031
64,2004-07-23,NSE:RUBYMILLS,10.73750025,10.73750025,10.73750025,10.73750025,8.0,0.0,-4.92528621860069
65,2004-07-30,NSE:RUBYMILLS,10.73750025,10.73750025,10.73750025,10.73750025,8.0,0.0,0.0
66,2004-08-05,NSE:RUBYMILLS,11.25625038,11.26249975,11.25625038,11.26249975,16.0,4.889401515962711,0.0
67,2004-08-10,NSE:RUBYMILLS,11.8125,11.82499975,11.8125,11.82499975,24.0,4.994450721297463,4.889401515962711
68,2004-08-11,NSE:RUBYMILLS,12.125,12.125,12.125,12.125,32.0,2.5370000536363655,4.994450721297463
69,2004-08-13,NSE:RUBYMILLS,12.36874963,12.46249963,12.36874963,12.46249963,16.0,2.783502103092783,2.5370000536363655
70,2004-08-19,NSE:RUBYMILLS,13.0,13.0,12.625,12.625,16.0,1.3039147428243498,2.783502103092783
71,2004-08-24,NSE:RUBYMILLS,13.15,13.15625,13.15,13.15,16.0,4.158415841584161,1.3039147428243498
72,2004-08-25,NSE:RUBYMILLS,13.75,13.75,12.5,12.5,32.0,-4.942965779467683,4.158415841584161
73,2004-08-30,NSE:RUBYMILLS,13.1125,13.1125,13.10625,13.10625,16.0,4.849999999999994,-4.942965779467683
74,2004-08-31,NSE:RUBYMILLS,13.725,13.725,12.5125,13.55625,32.0,3.4334763948497935,4.849999999999994
75,2004-09-01,NSE:RUBYMILLS,14.21875,14.21875,12.88125,12.88125,16.0,-4.9792531120332,3.4334763948497935
76,2004-09-02,NSE:RUBYMILLS,12.5,13.4875,12.26249975,12.27499963,592.0,-4.70645605046094,-4.9792531120332
77,2004-09-03,NSE:RUBYMILLS,11.875,11.875,11.6875,11.71875,224.0,-4.531565350442295,-4.70645605046094
78,2004-09-06,NSE:RUBYMILLS,11.63749975,12.23750025,11.625,11.64375025,1872.0,-0.639997866666666,-4.531565350442295
79,2004-09-07,NSE:RUBYMILLS,12.125,12.125,12.125,12.125,8.0,4.133116390056545,-0.639997866666666
80,2004-09-08,NSE:RUBYMILLS,12.5,12.73125,12.5,12.73125,2776.0,4.999999999999994,4.133116390056545
81,2004-09-09,NSE:RUBYMILLS,12.875,13.36875,12.65,12.9375,2640.0,1.6200294550810073,4.999999999999994
82,2004-09-10,NSE:RUBYMILLS,13.5,13.5,13.5,13.5,8.0,4.3478260869565215,1.6200294550810073
83,2004-09-13,NSE:RUBYMILLS,12.8875,13.375,12.875,12.875,1232.0,-4.62962962962963,4.3478260869565215
84,2004-09-14,NSE:RUBYMILLS,12.5,12.8375,12.23124975,12.8375,7600.0,-0.2912621359223273,-4.62962962962963
85,2004-09-15,NSE:RUBYMILLS,12.625,12.625,12.625,12.625,800.0,-1.6553067185978605,-0.2912621359223273
86,2004-09-16,NSE:RUBYMILLS,12.25,12.25,12.25,12.25,1600.0,-2.9702970297029703,-1.6553067185978605
87,2004-09-17,NSE:RUBYMILLS,12.5625,12.5625,12.5625,12.5625,48.0,2.5510204081632653,-2.9702970297029703
88,2004-09-22,NSE:RUBYMILLS,12.5,12.5,12.5,12.5,1600.0,-0.4975124378109453,2.5510204081632653
89,2004-09-24,NSE:RUBYMILLS,11.88749975,11.88749975,11.88125037,11.88125037,800.0,-4.9499970399999995,-0.4975124378109453
90,2004-09-27,NSE:RUBYMILLS,12.46875,12.46875,12.46875,12.46875,40.0,4.944762644539742,-4.9499970399999995
91,2004-09-28,NSE:RUBYMILLS,12.80625,12.99375,12.8,12.99375,2360.0,4.210526315789476,4.944762644539742
92,2004-09-29,NSE:RUBYMILLS,13.13125,13.64375,13.13125,13.64375,496.0,5.002405002405005,4.210526315789476
93,2004-09-30,NSE:RUBYMILLS,14.33125,14.33125,14.33125,14.33125,2720.0,5.038937242327073,5.002405002405005
94,2004-10-01,NSE:RUBYMILLS,14.875,15.0,14.63125,15.0,3176.0,4.666375926733532,5.038937242327073
95,2004-10-04,NSE:RUBYMILLS,15.0,15.0,15.0,15.0,1208.0,0.0,4.666375926733532
96,2004-10-05,NSE:RUBYMILLS,15.0,15.0,15.0,15.0,800.0,0.0,0.0
97,2004-10-07,NSE:RUBYMILLS,15.375,15.46875,15.0,15.425,4800.0,2.833333333333338,0.0
98,2004-10-08,NSE:RUBYMILLS,14.75,15.60625,14.75,15.60625,4800.0,1.1750405186385644,2.833333333333338
99,2004-10-11,NSE:RUBYMILLS,16.0625,16.125,15.1875,15.1875,2424.0,-2.6832198638365994,1.1750405186385644
100,2004-10-12,NSE:RUBYMILLS,15.5,15.5,15.5,15.5,1600.0,2.05761316872428,-2.6832198638365994
101,2004-10-15,NSE:RUBYMILLS,15.0125,15.0125,15.0125,15.0125,520.0,-3.1451612903225854,2.05761316872428
102,2004-10-18,NSE:RUBYMILLS,14.75,14.75,14.75,14.75,160.0,-1.7485428809325516,-3.1451612903225854
103,2004-10-19,NSE:RUBYMILLS,14.75,14.7625,14.75,14.75,1728.0,0.0,-1.7485428809325516
104,2004-10-20,NSE:RUBYMILLS,14.8125,14.8125,14.75,14.75,3320.0,0.0,0.0
105,2004-10-25,NSE:RUBYMILLS,14.375,15.5,14.375,15.1125,768.0,2.457627118644073,0.0
106,2004-10-26,NSE:RUBYMILLS,14.75,14.75,14.75,14.75,360.0,-2.3986765922249838,2.457627118644073
107,2004-10-28,NSE:RUBYMILLS,16.0,16.125,15.875,16.125,5080.0,9.322033898305085,-2.3986765922249838
108,2004-10-29,NSE:RUBYMILLS,16.86249875,16.875,16.86249875,16.86875,840.0,4.612403100775185,9.322033898305085
109,2004-11-01,NSE:RUBYMILLS,16.8125,17.6875,16.8125,17.36249875,56.0,2.927002593553178,4.612403100775185
110,2004-11-02,NSE:RUBYMILLS,17.5,17.5,16.25,16.875,2080.0,-2.80776838068887,2.927002593553178
111,2004-11-03,NSE:RUBYMILLS,16.625,16.625,16.25,16.25,5600.0,-3.7037037037037033,-2.80776838068887
112,2004-11-04,NSE:RUBYMILLS,16.25,16.5,16.25,16.4375,12000.0,1.153846153846154,-3.7037037037037033
113,2004-11-05,NSE:RUBYMILLS,16.25,16.25,16.25,16.25,4000.0,-1.1406844106463878,1.153846153846154
114,2004-11-16,NSE:RUBYMILLS,16.25,16.375,16.25,16.375,12000.0,0.7692307692307693,-1.1406844106463878
115,2004-11-17,NSE:RUBYMILLS,17.75,17.75,16.75,17.1875,7608.0,4.961832061068702,0.7692307692307693
116,2004-11-18,NSE:RUBYMILLS,17.1875,18.90625,17.1875,18.88750125,112448.0,9.890916363636363,4.961832061068702
117,2004-11-19,NSE:RUBYMILLS,20.61249875,20.78125,20.61249875,20.78125,151736.0,10.026465253046643,9.890916363636363
118,2004-11-22,NSE:RUBYMILLS,21.82500125,21.82500125,21.71875,21.82500125,126560.0,5.0225624060150365,10.026465253046643
119,2004-11-23,NSE:RUBYMILLS,22.91875125,22.91875125,22.275,22.775,44400.0,4.352800437983934,5.0225624060150365
120,2004-11-24,NSE:RUBYMILLS,23.125,23.91875125,23.125,23.65625,44592.0,3.869374313940731,4.352800437983934
121,2004-11-25,NSE:RUBYMILLS,24.61249875,24.8375,22.5,23.1625,31024.0,-2.0871862615587786,3.869374313940731
122,2004-11-29,NSE:RUBYMILLS,23.375,23.75,22.8125,23.29375125,12624.0,0.5666540744738188,-2.0871862615587786
123,2004-11-30,NSE:RUBYMILLS,22.75,22.75,22.13125,22.13125,37656.0,-4.99061416739392,0.5666540744738188
124,2004-12-01,NSE:RUBYMILLS,23.0,23.0,21.025,21.025,18920.0,-4.998587969500154,-4.99061416739392
125,2004-12-02,NSE:RUBYMILLS,20.625,22.0,20.06875,20.10625125,9528.0,-4.369791914387629,-4.998587969500154
126,2004-12-03,NSE:RUBYMILLS,20.0,20.46875,19.19375,19.26874875,22696.0,-4.165383639080902,-4.369791914387629
127,2004-12-06,NSE:RUBYMILLS,18.6,19.98749875,18.30625,18.55625,3432.0,-3.6976908010179006,-4.165383639080902
128,2004-12-07,NSE:RUBYMILLS,18.55625,18.55625,17.63125,17.63125,2592.0,-4.984843381609955,-3.6976908010179006
129,2004-12-08,NSE:RUBYMILLS,18.125,18.5,17.375,17.7125,12144.0,0.46082949308754145,-4.984843381609955
130,2004-12-09,NSE:RUBYMILLS,17.625,18.59375,17.625,18.59375,26040.0,4.975299929428378,0.46082949308754145
131,2004-12-10,NSE:RUBYMILLS,18.75,19.48749875,17.4375,17.5625,29152.0,-5.546218487394958,4.975299929428378
132,2004-12-13,NSE:RUBYMILLS,17.98749875,18.125,17.42499875,17.50625,9736.0,-0.32028469750888866,-5.546218487394958
133,2004-12-14,NSE:RUBYMILLS,18.3125,18.3125,17.38750125,17.4375,11096.0,-0.3927168868261416,-0.32028469750888866
134,2004-12-15,NSE:RUBYMILLS,17.75,17.75,17.32500125,17.5875,10432.0,0.8602150537634327,-0.3927168868261416
135,2004-12-16,NSE:RUBYMILLS,17.39374875,17.86875,17.38750125,17.57500125,8792.0,-0.07106609808101717,0.8602150537634327
136,2004-12-17,NSE:RUBYMILLS,17.44375,17.64374875,17.25,17.61249875,4296.0,0.21335702607702872,-0.07106609808101717
137,2004-12-20,NSE:RUBYMILLS,17.375,17.84375,17.25,17.26250125,1872.0,-1.9872109288297357,0.21335702607702872
138,2004-12-21,NSE:RUBYMILLS,17.375,17.875,17.25,17.74375,4544.0,2.787827459244928,-1.9872109288297357
139,2004-12-22,NSE:RUBYMILLS,18.0,18.5,17.75,18.06875,26240.0,1.8316308559352048,2.787827459244928
140,2004-12-23,NSE:RUBYMILLS,18.73749875,18.75,17.625,17.81875,7176.0,-1.3836042891732963,1.8316308559352048
141,2004-12-24,NSE:RUBYMILLS,18.48749875,18.48749875,17.6875,18.125,31336.0,1.7186951946685292,-1.3836042891732963
142,2004-12-27,NSE:RUBYMILLS,18.125,18.125,17.875,18.125,27080.0,0.0,1.7186951946685292
143,2004-12-28,NSE:RUBYMILLS,18.25,18.25,17.75,17.78125,16224.0,-1.896551724137931,0.0
144,2004-12-29,NSE:RUBYMILLS,18.01874875,18.21875,17.5375,17.79375125,20832.0,0.07030579964850439,-1.896551724137931
145,2004-12-30,NSE:RUBYMILLS,18.21875,18.75,18.125,18.4625,3808.0,3.7583348255472484,0.07030579964850439
146,2004-12-31,NSE:RUBYMILLS,19.0,19.74375,18.625,18.75,30256.0,1.5572105619499061,3.7583348255472484
147,2005-01-03,NSE:RUBYMILLS,18.75,19.5,18.75,18.8125,8160.0,0.33333333333333337,1.5572105619499061
148,2005-01-04,NSE:RUBYMILLS,19.375,19.375,19.0,19.0,4968.0,0.9966777408637874,0.33333333333333337
149,2005-01-05,NSE:RUBYMILLS,19.125,19.375,18.5,19.375,8712.0,1.9736842105263157,0.9966777408637874
150,2005-01-06,NSE:RUBYMILLS,18.78125,19.0,18.26250125,18.7875,5568.0,-3.032258064516122,1.9736842105263157
151,2005-01-07,NSE:RUBYMILLS,19.0,19.0,18.5,18.875,3536.0,0.46573519627411086,-3.032258064516122
152,2005-01-10,NSE:RUBYMILLS,19.11249875,19.36875,18.78125,18.9125,3520.0,0.19867549668874926,0.46573519627411086
153,2005-01-11,NSE:RUBYMILLS,18.78125,19.25,18.78125,18.875,8528.0,-0.19828155981494472,0.19867549668874926
154,2005-01-12,NSE:RUBYMILLS,17.875,18.98749875,17.875,18.45000125,8120.0,-2.251649006622518,-0.19828155981494472
155,2005-01-13,NSE:RUBYMILLS,18.625,18.625,18.39374875,18.39374875,3176.0,-0.3048915782593748,-2.251649006622518
156,2005-01-14,NSE:RUBYMILLS,19.25,19.375,18.38750125,18.38750125,3400.0,-0.033965343796492964,-0.3048915782593748
157,2005-01-17,NSE:RUBYMILLS,17.875,20.0,17.5,18.68125,4672.0,1.5975457785488874,-0.033965343796492964
158,2005-01-18,NSE:RUBYMILLS,19.33124875,19.33124875,18.5,18.5,288.0,-0.9702241552358573,1.5975457785488874
159,2005-01-19,NSE:RUBYMILLS,18.3125,18.3125,18.3125,18.3125,800.0,-1.0135135135135136,-0.9702241552358573
160,2005-01-24,NSE:RUBYMILLS,18.28125,18.28125,18.25,18.25,72.0,-0.3412969283276451,-1.0135135135135136
161,2005-01-25,NSE:RUBYMILLS,18.75,18.75,17.75,18.125,432.0,-0.684931506849315,-0.3412969283276451
162,2005-01-27,NSE:RUBYMILLS,18.13125,19.875,17.0,19.01250125,80160.0,4.896558620689653,-0.684931506849315
163,2005-01-28,NSE:RUBYMILLS,19.35,19.375,19.35,19.375,4000.0,1.9066336682029161,4.896558620689653
164,2005-01-31,NSE:RUBYMILLS,19.54999875,19.54999875,19.5,19.5,400.0,0.6451612903225806,1.9066336682029161
165,2005-02-01,NSE:RUBYMILLS,19.74375,19.74375,19.0625,19.3375,9000.0,-0.8333333333333406,0.6451612903225806
166,2005-02-02,NSE:RUBYMILLS,19.125,19.5,18.875,19.23749875,6352.0,-0.5171363930187369,-0.8333333333333406
167,2005-02-03,NSE:RUBYMILLS,18.9375,18.9375,18.86875,18.875,47704.0,-1.8843341055447778,-0.5171363930187369
168,2005-02-04,NSE:RUBYMILLS,18.5,19.34375,18.5,19.34375,16.0,2.4834437086092715,-1.8843341055447778
169,2005-02-07,NSE:RUBYMILLS,18.875,19.11249875,18.75,18.75,5608.0,-3.0694668820678515,2.4834437086092715
170,2005-02-08,NSE:RUBYMILLS,18.875,19.34375,18.78125,18.8125,7960.0,0.33333333333333337,-3.0694668820678515
171,2005-02-09,NSE:RUBYMILLS,18.125,18.65625,18.125,18.4625,13152.0,-1.8604651162790773,0.33333333333333337
172,2005-02-10,NSE:RUBYMILLS,18.75,18.75,18.5,18.70624875,7808.0,1.320236966824654,-1.8604651162790773
173,2005-02-11,NSE:RUBYMILLS,18.75,20.58124875,18.75,20.58124875,166320.0,10.023388574900673,1.320236966824654
174,2005-02-14,NSE:RUBYMILLS,21.23749875,21.23749875,19.875,20.0375,222768.0,-2.6419618974771826,10.023388574900673
175,2005-02-15,NSE:RUBYMILLS,20.19375,20.55625,20.1875,20.32500125,62336.0,1.434815970056136,-2.6419618974771826
176,2005-02-16,NSE:RUBYMILLS,20.0,20.0,19.625,19.70000125,41648.0,-3.0750305611912325,1.434815970056136
177,2005-02-17,NSE:RUBYMILLS,20.34375,21.67499875,19.96875,20.60625125,958784.0,4.60025351521234,-3.0750305611912325
178,2005-02-18,NSE:RUBYMILLS,20.75,22.5,20.75,21.0875,219904.0,2.3354502677919107,4.60025351521234
