,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2024-09-27,NSE:SDREAMS,145.0,152.25,144.0,150.9,2337000.0,,
1,2024-09-30,NSE:SDREAMS,158.4,158.4,158.4,158.4,285000.0,4.970178926441352,
2,2024-10-01,NSE:SDREAMS,166.3,166.3,166.3,166.3,44000.0,4.9873737373737415,4.970178926441352
3,2024-10-03,NSE:SDREAMS,174.6,174.6,158.15,173.2,859000.0,4.149128081779902,4.9873737373737415
4,2024-10-04,NSE:SDREAMS,165.2,167.5,164.55,164.55,106000.0,-4.99422632794456,4.149128081779902
5,2024-10-07,NSE:SDREAMS,156.35,156.35,156.35,156.35,9000.0,-4.983287754481931,-4.99422632794456
6,2024-10-08,NSE:SDREAMS,148.55,162.5,148.55,156.55,312000.0,0.12791813239527794,-4.983287754481931
7,2024-10-09,NSE:SDREAMS,153.4,163.25,148.75,155.25,186000.0,-0.8304056212072893,0.12791813239527794
8,2024-10-10,NSE:SDREAMS,152.0,152.9,147.5,147.85,187000.0,-4.766505636070857,-0.8304056212072893
9,2024-10-11,NSE:SDREAMS,144.45,154.0,140.45,149.65,305000.0,1.2174501183632136,-4.766505636070857
10,2024-10-15,NSE:SDREAMS,137.55,142.0,131.0,132.3,179000.0,-11.593718676912793,1.2174501183632136
11,2024-10-16,NSE:SDREAMS,133.0,148.45,133.0,147.25,326000.0,11.300075585789862,-11.593718676912793
12,2024-10-17,NSE:SDREAMS,152.95,174.9,152.95,157.5,241000.0,6.960950764006792,11.300075585789862
13,2024-10-18,NSE:SDREAMS,159.9,162.9,153.0,156.05,95000.0,-0.9206349206349135,6.960950764006792
14,2024-10-21,NSE:SDREAMS,157.95,158.0,138.0,142.5,177000.0,-8.683114386414617,-0.9206349206349135
15,2024-10-22,NSE:SDREAMS,140.15,142.5,137.1,140.5,75000.0,-1.4035087719298245,-8.683114386414617
16,2024-10-23,NSE:SDREAMS,140.0,148.0,137.0,141.3,59000.0,0.5693950177936025,-1.4035087719298245
17,2024-10-24,NSE:SDREAMS,141.3,142.0,137.0,139.45,56000.0,-1.3092710544940003,0.5693950177936025
18,2024-10-25,NSE:SDREAMS,138.6,138.6,131.85,134.05,72000.0,-3.8723556830405,-1.3092710544940003
19,2024-10-28,NSE:SDREAMS,133.7,142.8,131.0,142.3,88000.0,6.154419992540096,-3.8723556830405
20,2024-10-29,NSE:SDREAMS,144.5,144.5,137.1,143.4,32000.0,0.7730147575544583,6.154419992540096
21,2024-10-30,NSE:SDREAMS,147.5,148.0,131.0,136.05,224000.0,-5.125523012552297,0.7730147575544583
22,2024-10-31,NSE:SDREAMS,137.0,138.95,135.8,137.65,34000.0,1.176038221242186,-5.125523012552297
23,2024-11-01,NSE:SDREAMS,140.0,145.0,140.0,143.65,28000.0,4.358881220486741,1.176038221242186
24,2024-11-04,NSE:SDREAMS,141.0,143.0,136.6,139.0,28000.0,-3.2370344587539193,4.358881220486741
25,2024-11-05,NSE:SDREAMS,138.05,143.0,136.0,139.4,46000.0,0.28776978417266597,-3.2370344587539193
26,2024-11-06,NSE:SDREAMS,140.0,143.5,140.0,141.4,31000.0,1.4347202295552368,0.28776978417266597
27,2024-11-07,NSE:SDREAMS,144.0,156.0,140.0,151.5,318000.0,7.142857142857138,1.4347202295552368
28,2024-11-08,NSE:SDREAMS,155.0,171.9,153.0,166.8,238000.0,10.099009900990106,7.142857142857138
29,2024-11-11,NSE:SDREAMS,169.0,171.4,150.0,152.95,89000.0,-8.303357314148695,10.099009900990106
30,2024-11-12,NSE:SDREAMS,152.0,160.0,152.0,158.1,62000.0,3.3671134357633257,-8.303357314148695
31,2024-11-13,NSE:SDREAMS,150.0,154.0,143.25,146.5,194000.0,-7.337128399746992,3.3671134357633257
32,2024-11-14,NSE:SDREAMS,146.0,150.0,146.0,148.0,10000.0,1.023890784982935,-7.337128399746992
33,2024-11-18,NSE:SDREAMS,148.0,158.0,148.0,154.85,35000.0,4.6283783783783745,1.023890784982935
34,2024-11-19,NSE:SDREAMS,154.45,154.45,149.0,149.3,14000.0,-3.584113658379066,4.6283783783783745
35,2024-11-21,NSE:SDREAMS,146.05,146.05,144.0,144.0,25000.0,-3.549899531145352,-3.584113658379066
36,2024-11-22,NSE:SDREAMS,149.0,150.85,145.2,149.25,19000.0,3.6458333333333335,-3.549899531145352
37,2024-11-25,NSE:SDREAMS,149.0,154.9,149.0,154.15,27000.0,3.2830820770519296,3.6458333333333335
38,2024-11-26,NSE:SDREAMS,152.3,152.85,148.5,150.45,18000.0,-2.4002594875121743,3.2830820770519296
39,2024-11-27,NSE:SDREAMS,152.75,152.75,145.3,148.75,11000.0,-1.1299435028248512,-2.4002594875121743
40,2024-11-28,NSE:SDREAMS,153.0,157.55,152.5,156.2,55000.0,5.00840336134453,-1.1299435028248512
41,2024-11-29,NSE:SDREAMS,158.0,162.0,155.0,156.15,76000.0,-0.032010243277837996,5.00840336134453
42,2024-12-02,NSE:SDREAMS,160.0,187.35,160.0,185.55,345000.0,18.828049951969263,-0.032010243277837996
43,2024-12-03,NSE:SDREAMS,184.85,215.0,184.85,205.65,384000.0,10.832659660468872,18.828049951969263
44,2024-12-04,NSE:SDREAMS,207.0,213.0,200.0,202.95,94000.0,-1.3129102844639033,10.832659660468872
45,2024-12-05,NSE:SDREAMS,205.0,207.85,199.95,201.65,34000.0,-0.6405518600640469,-1.3129102844639033
