,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2015-12-09,NSE:TIJARIA,4.7,4.7,4.7,4.7,8000.0,,
1,2015-12-11,NSE:TIJARIA,4.85,4.85,4.5,4.5,1500.0,-4.255319148936174,
2,2015-12-14,NSE:TIJARIA,4.7,4.7,4.7,4.7,1.0,4.444444444444448,-4.255319148936174
3,2015-12-15,NSE:TIJARIA,4.6,4.6,4.6,4.6,1000.0,-2.1276595744680966,4.444444444444448
4,2015-12-16,NSE:TIJARIA,4.8,4.8,4.8,4.8,1000.0,4.347826086956526,-2.1276595744680966
5,2015-12-29,NSE:TIJARIA,4.6,4.6,4.6,4.6,100.0,-4.1666666666666705,4.347826086956526
6,2016-01-04,NSE:TIJARIA,4.8,4.8,4.8,4.8,2651.0,4.347826086956526,-4.1666666666666705
7,2016-01-05,NSE:TIJARIA,5.0,5.0,5.0,5.0,850.0,4.1666666666666705,4.347826086956526
8,2016-01-06,NSE:TIJARIA,5.0,5.25,5.0,5.25,2750.0,5.0,4.1666666666666705
9,2016-01-07,NSE:TIJARIA,5.5,5.5,5.5,5.5,300.0,4.761904761904762,5.0
10,2016-01-08,NSE:TIJARIA,5.75,5.75,5.75,5.75,3651.0,4.545454545454546,4.761904761904762
11,2016-01-11,NSE:TIJARIA,6.0,6.0,6.0,6.0,3922.0,4.3478260869565215,4.545454545454546
12,2016-01-12,NSE:TIJARIA,6.3,6.3,6.3,6.3,4045.0,4.9999999999999964,4.3478260869565215
13,2016-01-13,NSE:TIJARIA,6.6,6.6,6.6,6.6,11931.0,4.761904761904759,4.9999999999999964
14,2016-01-14,NSE:TIJARIA,6.9,6.9,6.9,6.9,4872.0,4.5454545454545565,4.761904761904759
15,2016-01-15,NSE:TIJARIA,7.2,7.2,7.2,7.2,2899.0,4.347826086956519,4.5454545454545565
16,2016-01-18,NSE:TIJARIA,7.2,7.55,6.85,6.85,32769.0,-4.861111111111118,4.347826086956519
17,2016-01-19,NSE:TIJARIA,6.55,7.15,6.55,7.15,31087.0,4.379562043795631,-4.861111111111118
18,2016-01-20,NSE:TIJARIA,7.5,7.5,6.8,7.05,38122.0,-1.398601398601406,4.379562043795631
19,2016-01-21,NSE:TIJARIA,7.0,7.2,6.7,6.85,17296.0,-2.8368794326241162,-1.398601398601406
20,2016-01-22,NSE:TIJARIA,6.55,7.15,6.55,7.15,4412.0,4.379562043795631,-2.8368794326241162
21,2016-01-25,NSE:TIJARIA,7.5,7.5,6.85,7.45,18381.0,4.195804195804193,4.379562043795631
22,2016-01-27,NSE:TIJARIA,7.75,7.8,7.45,7.8,177873.0,4.6979865771812035,4.195804195804193
23,2016-01-28,NSE:TIJARIA,8.1,8.15,7.45,7.75,48904.0,-0.6410256410256387,4.6979865771812035
24,2016-01-29,NSE:TIJARIA,7.9,8.1,7.8,8.1,97979.0,4.5161290322580605,-0.6410256410256387
