,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,1995-01-23,NSE:3MINDIA,210.0,210.0,210.0,210.0,100.0,,
1,1995-02-07,NSE:3MINDIA,217.5,217.5,217.5,217.5,100.0,3.571428571428571,
2,1995-02-08,NSE:3MINDIA,215.0,215.0,215.0,215.0,100.0,-1.1494252873563218,3.571428571428571
3,1995-02-09,NSE:3MINDIA,215.0,215.0,215.0,215.0,300.0,0.0,-1.1494252873563218
4,1995-02-10,NSE:3MINDIA,210.0,210.0,210.0,210.0,100.0,-2.3255813953488373,0.0
5,1995-02-16,NSE:3MINDIA,205.0,205.0,200.0,200.0,800.0,-4.761904761904762,-2.3255813953488373
6,1995-02-17,NSE:3MINDIA,200.0,200.0,200.0,200.0,100.0,0.0,-4.761904761904762
7,1995-02-24,NSE:3MINDIA,190.0,195.0,190.0,195.0,300.0,-2.5,0.0
8,1995-02-28,NSE:3MINDIA,195.0,195.0,195.0,195.0,100.0,0.0,-2.5
9,1995-03-01,NSE:3MINDIA,205.0,205.0,205.0,205.0,100.0,5.128205128205128,0.0
10,1995-03-02,NSE:3MINDIA,220.0,220.0,210.0,210.0,500.0,2.4390243902439024,5.128205128205128
11,1995-03-03,NSE:3MINDIA,215.0,217.5,215.0,216.15,900.0,2.9285714285714315,2.4390243902439024
12,1995-03-06,NSE:3MINDIA,220.0,220.0,220.0,220.0,100.0,1.781170483460557,2.9285714285714315
13,1995-03-07,NSE:3MINDIA,220.0,225.0,220.0,225.0,200.0,2.272727272727273,1.781170483460557
14,1995-03-10,NSE:3MINDIA,206.0,210.0,205.0,210.0,600.0,-6.666666666666667,2.272727272727273
15,1995-03-13,NSE:3MINDIA,205.0,205.0,205.0,205.0,200.0,-2.380952380952381,-6.666666666666667
16,1995-03-20,NSE:3MINDIA,206.0,206.0,206.0,206.0,100.0,0.4878048780487805,-2.380952380952381
17,1995-03-21,NSE:3MINDIA,200.0,200.0,200.0,200.0,600.0,-2.912621359223301,0.4878048780487805
18,1995-03-27,NSE:3MINDIA,210.0,210.0,210.0,210.0,500.0,5.0,-2.912621359223301
19,1995-03-30,NSE:3MINDIA,203.0,203.0,203.0,203.0,400.0,-3.3333333333333335,5.0
20,1995-04-03,NSE:3MINDIA,195.1,197.5,195.0,195.0,600.0,-3.9408866995073892,-3.3333333333333335
21,1995-04-04,NSE:3MINDIA,190.5,195.0,190.5,195.0,200.0,0.0,-3.9408866995073892
22,1995-04-05,NSE:3MINDIA,200.0,205.5,200.0,200.0,2100.0,2.564102564102564,0.0
23,1995-04-06,NSE:3MINDIA,205.0,205.0,205.0,205.0,1400.0,2.5,2.564102564102564
24,1995-04-10,NSE:3MINDIA,211.0,211.0,211.0,211.0,200.0,2.9268292682926833,2.5
