,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,1999-01-01,NSE:AEGISLOG,0.6,0.63,0.597,0.597,45000.0,,
1,1999-01-04,NSE:AEGISLOG,0.615,0.615,0.612,0.615,8333.33333333,3.015075376884425,
2,1999-01-05,NSE:AEGISLOG,0.615,0.615,0.615,0.615,833.33333333,0.0,3.015075376884425
3,1999-01-06,NSE:AEGISLOG,0.627,0.627,0.627,0.627,833.33333333,1.9512195121951237,0.0
4,1999-01-08,NSE:AEGISLOG,0.558,0.558,0.558,0.558,1666.66666667,-11.004784688995208,1.9512195121951237
5,1999-01-11,NSE:AEGISLOG,0.6,0.687,0.6,0.657,50000.0,17.741935483870964,-11.004784688995208
6,1999-01-12,NSE:AEGISLOG,0.717,0.717,0.63,0.66,47500.0,0.45662100456621046,17.741935483870964
7,1999-01-13,NSE:AEGISLOG,0.615,0.618,0.615,0.618,20000.0,-6.363636363636369,0.45662100456621046
8,1999-01-14,NSE:AEGISLOG,0.54,0.6,0.54,0.6,16666.66666667,-2.9126213592233037,-6.363636363636369
9,1999-01-15,NSE:AEGISLOG,0.57,0.582,0.57,0.582,47500.0,-3.0000000000000027,-2.9126213592233037
10,1999-01-18,NSE:AEGISLOG,0.585,0.585,0.549,0.555,50000.0,-4.639175257731944,-3.0000000000000027
11,1999-01-19,NSE:AEGISLOG,0.564,0.57,0.54,0.54,28333.33333333,-2.702702702702705,-4.639175257731944
12,1999-01-21,NSE:AEGISLOG,0.516,0.54,0.516,0.54,31666.66666667,0.0,-2.702702702702705
13,1999-01-22,NSE:AEGISLOG,0.543,0.567,0.54,0.567,25833.33333333,4.999999999999984,0.0
14,1999-01-25,NSE:AEGISLOG,0.543,0.543,0.543,0.543,833.33333333,-4.2328042328042175,4.999999999999984
15,1999-01-27,NSE:AEGISLOG,0.525,0.561,0.525,0.561,20000.0,3.314917127071826,-4.2328042328042175
16,1999-01-28,NSE:AEGISLOG,0.555,0.567,0.549,0.549,9166.66666667,-2.1390374331550817,3.314917127071826
17,1999-01-29,NSE:AEGISLOG,0.54,0.54,0.531,0.531,20833.33333333,-3.2786885245901667,-2.1390374331550817
18,1999-02-01,NSE:AEGISLOG,0.528,0.528,0.525,0.528,11666.66666667,-0.5649717514124298,-3.2786885245901667
19,1999-02-02,NSE:AEGISLOG,0.525,0.54,0.525,0.54,10000.0,2.2727272727272747,-0.5649717514124298
20,1999-02-03,NSE:AEGISLOG,0.552,0.552,0.552,0.552,6666.66666667,2.222222222222224,2.2727272727272747
21,1999-02-04,NSE:AEGISLOG,0.51,0.51,0.504,0.51,10833.33333333,-7.608695652173919,2.222222222222224
22,1999-02-08,NSE:AEGISLOG,0.516,0.516,0.495,0.495,22500.0,-2.9411764705882377,-7.608695652173919
23,1999-02-09,NSE:AEGISLOG,0.495,0.495,0.495,0.495,3333.33333333,0.0,-2.9411764705882377
24,1999-02-11,NSE:AEGISLOG,0.51,0.51,0.495,0.495,8333.33333333,0.0,0.0
25,1999-02-12,NSE:AEGISLOG,0.537,0.555,0.534,0.555,33333.33333333,12.121212121212132,0.0
26,1999-02-15,NSE:AEGISLOG,0.438,0.444,0.438,0.444,9166.66666667,-20.000000000000007,12.121212121212132
27,1999-02-16,NSE:AEGISLOG,0.555,0.612,0.495,0.552,38333.33333333,24.324324324324333,-20.000000000000007
28,1999-02-17,NSE:AEGISLOG,0.525,0.57,0.525,0.567,52500.0,2.7173913043478084,24.324324324324333
29,1999-02-18,NSE:AEGISLOG,0.516,0.6,0.51,0.573,27500.0,1.0582010582010593,2.7173913043478084
30,1999-02-19,NSE:AEGISLOG,0.51,0.57,0.51,0.57,30833.33333333,-0.5235602094240842,1.0582010582010593
31,1999-02-22,NSE:AEGISLOG,0.594,0.66,0.585,0.585,25833.33333333,2.631578947368424,-0.5235602094240842
32,1999-02-23,NSE:AEGISLOG,0.615,0.66,0.585,0.585,99166.66666667,0.0,2.631578947368424
33,1999-02-24,NSE:AEGISLOG,0.63,0.63,0.63,0.63,3333.33333333,7.6923076923077,0.0
34,1999-02-25,NSE:AEGISLOG,0.615,0.66,0.6,0.6,40833.33333333,-4.761904761904765,7.6923076923077
35,1999-02-26,NSE:AEGISLOG,0.57,0.651,0.558,0.651,71666.66666667,8.500000000000007,-4.761904761904765
36,1999-03-01,NSE:AEGISLOG,0.78,0.78,0.69,0.708,85000.0,8.755760368663584,8.500000000000007
37,1999-03-03,NSE:AEGISLOG,0.66,0.705,0.63,0.705,51666.66666667,-0.42372881355932246,8.755760368663584
38,1999-03-04,NSE:AEGISLOG,0.63,0.654,0.63,0.645,15000.0,-8.510638297872333,-0.42372881355932246
39,1999-03-05,NSE:AEGISLOG,0.6,0.645,0.6,0.63,15000.0,-2.325581395348839,-8.510638297872333
40,1999-03-08,NSE:AEGISLOG,0.63,0.63,0.54,0.6,86666.66666667,-4.761904761904765,-2.325581395348839
41,1999-03-09,NSE:AEGISLOG,0.57,0.63,0.561,0.573,57500.0,-4.5000000000000036,-4.761904761904765
42,1999-03-10,NSE:AEGISLOG,0.543,0.63,0.543,0.63,35000.0,9.9476439790576,-4.5000000000000036
43,1999-03-11,NSE:AEGISLOG,0.54,0.627,0.54,0.615,24166.66666667,-2.3809523809523827,9.9476439790576
44,1999-03-12,NSE:AEGISLOG,0.645,0.72,0.63,0.681,102500.0,10.73170731707318,-2.3809523809523827
45,1999-03-15,NSE:AEGISLOG,0.627,0.849,0.627,0.819,191666.66666667,20.26431718061672,10.73170731707318
46,1999-03-16,NSE:AEGISLOG,0.825,0.921,0.78,0.852,239166.66666667,4.029304029304033,20.26431718061672
47,1999-03-17,NSE:AEGISLOG,1.02,1.065,0.96,1.065,377500.0,24.999999999999996,4.029304029304033
48,1999-03-18,NSE:AEGISLOG,1.32,1.33200006,1.155,1.326,706666.66666667,24.50704225352114,24.999999999999996
49,1999-03-19,NSE:AEGISLOG,1.434,1.434,1.38299994,1.434,420833.33333333,8.144796380090488,24.50704225352114
50,1999-03-22,NSE:AEGISLOG,1.29,1.35,1.215,1.221,391666.66666667,-14.85355648535564,8.144796380090488
51,1999-03-23,NSE:AEGISLOG,1.2,1.2,1.125,1.14,346666.66666667,-6.633906633906649,-14.85355648535564
52,1999-03-24,NSE:AEGISLOG,1.125,1.125,0.966,0.966,200833.33333333,-15.263157894736837,-6.633906633906649
53,1999-03-25,NSE:AEGISLOG,0.975,1.14,0.885,1.09200006,69166.66666667,13.043484472049688,-15.263157894736837
