,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,1994-11-07,NSE:ASIANPAINT,12.48,12.48,12.17,12.17,14400.0,,
1,1994-11-08,NSE:ASIANPAINT,12.06,12.06,11.85,11.85,50400.0,-2.6294165981922784,
2,1994-11-09,NSE:ASIANPAINT,12.06,12.06,11.65,11.65,16800.0,-1.6877637130801628,-2.6294165981922784
3,1994-11-11,NSE:ASIANPAINT,11.85,11.85,11.65,11.65,28800.0,0.0,-1.6877637130801628
4,1994-11-25,NSE:ASIANPAINT,11.44,11.44,11.13,11.13,4800.0,-4.463519313304717,0.0
5,1994-11-29,NSE:ASIANPAINT,11.6,11.6,11.6,11.6,2400.0,4.222821203953269,-4.463519313304717
6,1994-12-01,NSE:ASIANPAINT,11.23,11.44,11.23,11.44,4800.0,-1.3793103448275874,4.222821203953269
7,1994-12-05,NSE:ASIANPAINT,11.02,11.23,11.02,11.02,36000.0,-3.6713286713286704,-1.3793103448275874
8,1994-12-06,NSE:ASIANPAINT,11.44,11.44,11.44,11.44,14400.0,3.8112522686025407,-3.6713286713286704
9,1994-12-07,NSE:ASIANPAINT,11.02,11.02,11.02,11.02,2400.0,-3.6713286713286704,3.8112522686025407
10,1994-12-08,NSE:ASIANPAINT,10.92,10.92,10.92,10.92,7200.0,-0.907441016333935,-3.6713286713286704
11,1994-12-09,NSE:ASIANPAINT,11.13,11.13,11.13,11.13,105600.0,1.923076923076931,-0.907441016333935
12,1994-12-12,NSE:ASIANPAINT,10.92,10.92,10.81,10.81,4800.0,-2.8751123090745754,1.923076923076931
13,1994-12-13,NSE:ASIANPAINT,10.81,10.81,10.63,10.63,12000.0,-1.6651248843663247,-2.8751123090745754
14,1994-12-14,NSE:ASIANPAINT,10.92,11.13,10.92,11.13,33600.0,4.703668861712136,-1.6651248843663247
15,1994-12-15,NSE:ASIANPAINT,11.02,11.02,11.02,11.02,2400.0,-0.9883198562443953,4.703668861712136
16,1994-12-16,NSE:ASIANPAINT,11.13,11.13,11.13,11.13,2400.0,0.9981851179673431,-0.9883198562443953
17,1994-12-19,NSE:ASIANPAINT,10.92,11.13,10.86,10.86,16800.0,-2.4258760107816832,0.9981851179673431
18,1994-12-20,NSE:ASIANPAINT,10.84,10.84,10.84,10.84,2400.0,-0.18416206261509738,-2.4258760107816832
19,1994-12-21,NSE:ASIANPAINT,11.33,11.33,11.33,11.33,2400.0,4.520295202952031,-0.18416206261509738
20,1994-12-22,NSE:ASIANPAINT,11.52,11.52,11.52,11.52,2400.0,1.6769638128861386,4.520295202952031
21,1994-12-23,NSE:ASIANPAINT,11.13,11.13,11.13,11.13,2400.0,-3.385416666666656,1.6769638128861386
22,1994-12-26,NSE:ASIANPAINT,10.92,10.92,10.92,10.92,4800.0,-1.8867924528301963,-3.385416666666656
23,1994-12-28,NSE:ASIANPAINT,11.02,11.02,11.02,11.02,2400.0,0.9157509157509125,-1.8867924528301963
24,1995-01-02,NSE:ASIANPAINT,10.81,10.81,10.81,10.81,2400.0,-1.905626134301262,0.9157509157509125
25,1995-01-03,NSE:ASIANPAINT,10.61,11.13,10.61,11.13,7200.0,2.9602220166512514,-1.905626134301262
26,1995-01-06,NSE:ASIANPAINT,10.71,10.71,10.71,10.71,4800.0,-3.7735849056603765,2.9602220166512514
27,1995-01-09,NSE:ASIANPAINT,10.86,10.86,10.81,10.81,52800.0,0.9337068160597539,-3.7735849056603765
28,1995-01-11,NSE:ASIANPAINT,10.5,10.61,10.5,10.61,7200.0,-1.8501387604070403,0.9337068160597539
29,1995-01-12,NSE:ASIANPAINT,10.61,10.61,10.5,10.5,7200.0,-1.0367577756833124,-1.8501387604070403
30,1995-01-17,NSE:ASIANPAINT,10.61,10.76,10.61,10.76,7200.0,2.476190476190474,-1.0367577756833124
31,1995-01-18,NSE:ASIANPAINT,11.21,11.21,11.21,11.21,2400.0,4.1821561338290065,2.476190476190474
32,1995-01-19,NSE:ASIANPAINT,10.71,10.71,10.71,10.71,2400.0,-4.460303300624442,4.1821561338290065
33,1995-01-23,NSE:ASIANPAINT,10.61,10.61,10.61,10.61,2400.0,-0.9337068160597704,-4.460303300624442
34,1995-01-24,NSE:ASIANPAINT,10.61,11.02,10.61,11.02,7200.0,3.864278982092367,-0.9337068160597704
35,1995-01-25,NSE:ASIANPAINT,10.81,11.02,10.81,11.02,12000.0,0.0,3.864278982092367
36,1995-01-27,NSE:ASIANPAINT,11.02,11.02,10.81,10.96,50400.0,-0.5444646098003514,0.0
37,1995-01-30,NSE:ASIANPAINT,10.71,11.02,10.71,11.02,9600.0,0.5474452554744409,-0.5444646098003514
38,1995-01-31,NSE:ASIANPAINT,11.02,11.44,11.02,11.44,7200.0,3.8112522686025407,0.5474452554744409
39,1995-02-02,NSE:ASIANPAINT,11.42,11.42,11.36,11.42,7200.0,-0.1748251748251711,3.8112522686025407
