,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,1995-02-09,NSE:BAJFINANCE,1.41999998,1.43699999,1.40200005,1.404,56300.0,,
1,1995-02-10,NSE:BAJFINANCE,1.33100004,1.36700001,1.33100004,1.36700001,33800.0,-2.6353269230769216,
2,1995-02-13,NSE:BAJFINANCE,1.35799999,1.35799999,1.32200003,1.32200003,67600.0,-3.29187854212231,-2.6353269230769216
3,1995-02-14,NSE:BAJFINANCE,1.33100004,1.33100004,1.31300001,1.31300001,56300.0,-0.6807881842483768,-3.29187854212231
4,1995-02-15,NSE:BAJFINANCE,1.26899996,1.31300001,1.26899996,1.31300001,191500.0,0.0,-0.6807881842483768
5,1995-02-16,NSE:BAJFINANCE,1.304,1.34899998,1.304,1.34899998,202800.0,2.7418103370768434,0.0
6,1995-02-20,NSE:BAJFINANCE,1.304,1.33100004,1.304,1.33100004,45000.0,-1.3343172918357018,2.7418103370768434
7,1995-02-21,NSE:BAJFINANCE,1.296,1.296,1.24200001,1.24200001,123900.0,-6.686703781015665,-1.3343172918357018
8,1995-02-22,NSE:BAJFINANCE,1.225,1.28699999,1.19799995,1.23800001,45000.0,-0.3220611890333241,-6.686703781015665
9,1995-02-23,NSE:BAJFINANCE,1.24300003,1.29499998,1.24300003,1.28699999,90100.0,3.9579951215024676,-0.3220611890333241
10,1995-02-24,NSE:BAJFINANCE,1.33100004,1.33100004,1.3,1.304,112600.0,1.3209021081655226,3.9579951215024676
11,1995-02-28,NSE:BAJFINANCE,1.28699999,1.28699999,1.27799997,1.28100004,169000.0,-1.7638006134969444,1.3209021081655226
12,1995-03-01,NSE:BAJFINANCE,1.33100004,1.33100004,1.31800003,1.31800003,45000.0,2.8883675913078197,-1.7638006134969444
13,1995-03-02,NSE:BAJFINANCE,1.31400003,1.36700001,1.31400003,1.34300003,1329800.0,1.8968133103911926,2.8883675913078197
14,1995-03-03,NSE:BAJFINANCE,1.35799999,1.41099997,1.35799999,1.41099997,45000.0,5.063286558526732,1.8968133103911926
