,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2011-08-22,NSE:BODALCHEM,27.4,28.6,24.6,27.549999,206920.0,,
1,2011-08-23,NSE:BODALCHEM,27.9,27.9,24.6,25.75,112146.0,-6.533571924993535,
2,2011-08-24,NSE:BODALCHEM,26.0,27.0,25.1,26.65,176826.0,3.4951456310679556,-6.533571924993535
3,2011-08-25,NSE:BODALCHEM,26.35,26.35,22.5,24.6,108408.0,-7.692307692307682,3.4951456310679556
4,2011-08-26,NSE:BODALCHEM,23.950001,24.0,19.700001,20.450001,185268.0,-16.869914634146348,-7.692307692307682
5,2011-08-29,NSE:BODALCHEM,22.200001,23.299999,17.5,18.450001,358709.0,-9.779950622007304,-16.869914634146348
6,2011-08-30,NSE:BODALCHEM,18.65,19.1,16.65,16.799999,147656.0,-8.943099786281858,-9.779950622007304
7,2011-09-02,NSE:BODALCHEM,16.0,16.799999,15.15,16.049999,105921.0,-4.4642859800170225,-8.943099786281858
8,2011-09-05,NSE:BODALCHEM,15.8,17.700001,15.8,17.700001,39067.0,10.280386933357445,-4.4642859800170225
9,2011-09-06,NSE:BODALCHEM,18.25,19.5,18.25,19.5,24470.0,10.169485301159021,10.280386933357445
10,2011-09-07,NSE:BODALCHEM,21.299999,21.450001,20.6,21.450001,258014.0,10.00000512820513,10.169485301159021
11,2011-09-08,NSE:BODALCHEM,23.4,23.6,21.15,21.549999,97102.0,0.46619112045728744,10.00000512820513
12,2011-09-09,NSE:BODALCHEM,22.0,22.0,20.5,20.6,25364.0,-4.408348232405943,0.46619112045728744
13,2011-09-12,NSE:BODALCHEM,19.6,21.25,19.6,19.6,6472.0,-4.854368932038835,-4.408348232405943
14,2011-09-13,NSE:BODALCHEM,19.700001,19.700001,18.65,19.15,8211.0,-2.295918367346953,-4.854368932038835
15,2011-09-14,NSE:BODALCHEM,18.35,18.700001,18.200001,18.200001,4485.0,-4.9608302872062575,-2.295918367346953
16,2011-09-15,NSE:BODALCHEM,18.0,18.0,17.299999,17.299999,9961.0,-4.945065662359033,-4.9608302872062575
17,2011-09-16,NSE:BODALCHEM,18.0,18.0,16.450001,16.950001,14050.0,-2.023109943532363,-4.945065662359033
18,2011-09-19,NSE:BODALCHEM,16.549999,17.0,16.1,16.299999,26284.0,-3.834819832753996,-2.023109943532363
19,2011-09-20,NSE:BODALCHEM,15.7,17.15,15.7,17.15,9609.0,5.214730381271796,-3.834819832753996
20,2011-09-21,NSE:BODALCHEM,17.0,17.799999,16.75,16.9,6654.0,-1.457725947521866,5.214730381271796
21,2011-09-22,NSE:BODALCHEM,16.25,17.15,16.25,16.950001,482.0,0.2958639053254541,-1.457725947521866
22,2011-09-23,NSE:BODALCHEM,16.299999,16.799999,16.299999,16.549999,4276.0,-2.3598936660829732,0.2958639053254541
23,2011-09-26,NSE:BODALCHEM,16.15,17.1,16.1,16.799999,3969.0,1.5105741094002483,-2.3598936660829732
24,2011-09-27,NSE:BODALCHEM,17.549999,17.65,17.0,17.35,3084.0,3.273815671060467,1.5105741094002483
25,2011-09-28,NSE:BODALCHEM,17.0,17.5,16.75,16.85,8002.0,-2.881844380403458,3.273815671060467
26,2011-09-29,NSE:BODALCHEM,16.75,17.700001,16.75,17.700001,2188.0,5.044516320474771,-2.881844380403458
27,2011-09-30,NSE:BODALCHEM,18.299999,18.299999,17.5,17.5,1905.0,-1.1299490887034431,5.044516320474771
