,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2025-05-27,NSE:BORANA,243.0,255.15,243.0,255.15,2004551.0,,
1,2025-05-28,NSE:BORANA,267.0,267.0,242.39,244.53,1624383.0,-4.162257495590831,
2,2025-05-29,NSE:BORANA,232.3,232.3,232.3,232.3,85603.0,-5.001431317220787,-4.162257495590831
3,2025-05-30,NSE:BORANA,220.68,229.9,220.68,224.01,849305.0,-3.5686612139474905,-5.001431317220787
4,2025-06-02,NSE:BORANA,221.7,227.0,216.51,220.03,411760.0,-1.776706397035842,-3.5686612139474905
5,2025-06-03,NSE:BORANA,222.9,224.0,216.26,218.79,207736.0,-0.563559514611648,-1.776706397035842
6,2025-06-04,NSE:BORANA,219.0,225.0,216.46,223.88,183642.0,2.3264317381964457,-0.563559514611648
7,2025-06-05,NSE:BORANA,225.05,232.5,219.0,227.99,215775.0,1.8358048954797275,2.3264317381964457
8,2025-06-06,NSE:BORANA,229.7,232.0,225.05,231.04,83187.0,1.337777972718094,1.8358048954797275
9,2025-06-09,NSE:BORANA,232.75,242.59,231.0,242.59,264844.0,4.999134349030476,1.337777972718094
10,2025-06-10,NSE:BORANA,249.0,251.5,236.2,247.71,467809.0,2.1105569067150354,4.999134349030476
11,2025-06-11,NSE:BORANA,247.71,252.0,235.0,236.77,472240.0,-4.416454725283597,2.1105569067150354
12,2025-06-12,NSE:BORANA,237.0,238.39,227.01,229.31,274649.0,-3.1507370021539924,-4.416454725283597
13,2025-06-13,NSE:BORANA,222.0,235.0,218.25,233.08,401796.0,1.6440626226505648,-3.1507370021539924
14,2025-06-16,NSE:BORANA,239.01,239.44,228.5,233.74,190574.0,0.28316457868542844,1.6440626226505648
15,2025-06-17,NSE:BORANA,234.5,235.03,225.65,226.53,166120.0,-3.0846239411311744,0.28316457868542844
16,2025-06-18,NSE:BORANA,227.0,229.0,221.79,223.57,104102.0,-1.3066701982077464,-3.0846239411311744
17,2025-06-19,NSE:BORANA,224.68,226.9,217.39,221.4,209493.0,-0.9706132307554625,-1.3066701982077464
18,2025-06-20,NSE:BORANA,219.7,222.53,217.5,218.11,273027.0,-1.4859981933152628,-0.9706132307554625
19,2025-06-23,NSE:BORANA,217.0,226.7,217.0,223.93,527036.0,2.6683783412039763,-1.4859981933152628
20,2025-06-24,NSE:BORANA,226.05,227.04,219.36,220.23,171896.0,-1.652302058679059,2.6683783412039763
21,2025-06-25,NSE:BORANA,220.05,224.9,219.0,219.93,305750.0,-0.13622122326657718,-1.652302058679059
22,2025-06-26,NSE:BORANA,220.0,223.55,218.81,219.79,166110.0,-0.06365661801482962,-0.13622122326657718
23,2025-06-27,NSE:BORANA,221.0,221.98,218.51,219.09,126006.0,-0.31848582738067643,-0.06365661801482962
24,2025-06-30,NSE:BORANA,219.99,221.0,218.5,219.13,75963.0,0.018257337167370505,-0.31848582738067643
25,2025-07-01,NSE:BORANA,221.0,222.0,217.3,218.0,221823.0,-0.5156756263405264,0.018257337167370505
26,2025-07-02,NSE:BORANA,219.59,230.2,218.73,221.12,732386.0,1.4311926605504608,-0.5156756263405264
27,2025-07-03,NSE:BORANA,222.0,225.5,221.21,222.86,125837.0,0.7869030390738102,1.4311926605504608
28,2025-07-04,NSE:BORANA,222.1,224.0,220.25,221.34,71061.0,-0.6820425379161851,0.7869030390738102
29,2025-07-07,NSE:BORANA,223.4,226.5,220.0,220.84,178101.0,-0.22589681033703804,-0.6820425379161851
30,2025-07-08,NSE:BORANA,221.5,229.9,221.5,226.92,384133.0,2.753124433979344,-0.22589681033703804
31,2025-07-09,NSE:BORANA,225.0,236.99,224.9,233.82,657181.0,3.0407191961924935,2.753124433979344
32,2025-07-10,NSE:BORANA,235.0,235.0,225.0,225.95,277200.0,-3.365836968608333,3.0407191961924935
33,2025-07-11,NSE:BORANA,225.5,229.88,222.0,227.62,224556.0,0.7391015711440655,-3.365836968608333
34,2025-07-14,NSE:BORANA,227.0,231.65,225.0,227.05,164250.0,-0.25041736227044775,0.7391015711440655
35,2025-07-15,NSE:BORANA,227.1,230.01,225.22,228.64,106650.0,0.7002862805549328,-0.25041736227044775
36,2025-07-16,NSE:BORANA,230.95,244.79,229.11,236.31,831616.0,3.354618614415682,0.7002862805549328
37,2025-07-17,NSE:BORANA,241.09,245.0,235.0,236.6,360990.0,0.12272015572764251,3.354618614415682
38,2025-07-18,NSE:BORANA,238.6,240.17,233.28,237.91,310946.0,0.5536770921386316,0.12272015572764251
39,2025-07-21,NSE:BORANA,238.08,239.71,226.5,227.82,208569.0,-4.241099575469717,0.5536770921386316
40,2025-07-22,NSE:BORANA,227.82,235.18,227.1,227.67,198637.0,-0.06584145377930194,-4.241099575469717
41,2025-07-23,NSE:BORANA,228.04,229.32,224.0,225.61,127637.0,-0.9048183774761601,-0.06584145377930194
42,2025-07-24,NSE:BORANA,225.7,227.99,222.22,223.38,93091.0,-0.9884313638579931,-0.9048183774761601
43,2025-07-25,NSE:BORANA,223.38,223.51,219.61,222.35,126247.0,-0.4610976810815656,-0.9884313638579931
44,2025-07-28,NSE:BORANA,222.9,224.9,217.06,217.84,97481.0,-2.0283337081178283,-0.4610976810815656
45,2025-07-29,NSE:BORANA,219.9,227.9,218.64,225.44,161256.0,3.488799118619167,-2.0283337081178283
46,2025-07-30,NSE:BORANA,223.21,226.73,221.0,221.88,60503.0,-1.5791341376863035,3.488799118619167
47,2025-07-31,NSE:BORANA,220.0,222.76,217.0,219.96,47596.0,-0.8653326122228175,-1.5791341376863035
48,2025-08-01,NSE:BORANA,221.9,222.98,217.5,219.5,86360.0,-0.20912893253319148,-0.8653326122228175
49,2025-08-04,NSE:BORANA,220.0,222.0,218.0,220.41,53847.0,0.4145785876993151,-0.20912893253319148
50,2025-08-05,NSE:BORANA,223.8,226.0,220.1,222.45,174495.0,0.9255478426568632,0.4145785876993151
51,2025-08-06,NSE:BORANA,223.33,223.33,218.11,220.23,121881.0,-0.9979770734996624,0.9255478426568632
52,2025-08-07,NSE:BORANA,219.6,222.0,218.54,221.26,71238.0,0.46769286654860887,-0.9979770734996624
53,2025-08-08,NSE:BORANA,222.0,223.38,219.35,220.18,111420.0,-0.4881135315917853,0.46769286654860887
54,2025-08-11,NSE:BORANA,221.5,222.59,217.08,219.62,104840.0,-0.25433736034153975,-0.4881135315917853
55,2025-08-12,NSE:BORANA,220.99,222.3,218.18,218.89,57024.0,-0.33239231399691205,-0.25433736034153975
56,2025-08-13,NSE:BORANA,220.95,220.97,218.0,218.38,23805.0,-0.23299374114851795,-0.33239231399691205
57,2025-08-14,NSE:BORANA,220.0,222.97,218.0,222.09,72363.0,1.6988735232164154,-0.23299374114851795
58,2025-08-18,NSE:BORANA,224.9,224.9,221.05,222.81,69950.0,0.32419289477238905,1.6988735232164154
59,2025-08-19,NSE:BORANA,224.81,224.81,220.0,220.48,81100.0,-1.0457340334814471,0.32419289477238905
60,2025-08-20,NSE:BORANA,221.99,221.99,218.6,219.46,43222.0,-0.46262699564585535,-1.0457340334814471
61,2025-08-21,NSE:BORANA,218.95,220.99,217.0,217.75,244774.0,-0.779185272942681,-0.46262699564585535
62,2025-08-22,NSE:BORANA,217.08,219.0,216.0,216.8,96515.0,-0.43628013777266983,-0.779185272942681
63,2025-08-25,NSE:BORANA,217.99,218.0,216.0,216.23,45196.0,-0.2629151291513015,-0.43628013777266983
64,2025-08-26,NSE:BORANA,216.0,216.23,213.0,215.39,216663.0,-0.38847523470378925,-0.2629151291513015
