,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2013-06-26,NSE:CEREBRAINT,22.85,22.85,18.1,18.15,12210.0,,
1,2013-06-27,NSE:CEREBRAINT,19.5,19.5,18.0,18.0,795.0,-0.8264462809917278,
2,2013-06-28,NSE:CEREBRAINT,18.0,18.0,18.0,18.0,1000.0,0.0,-0.8264462809917278
3,2013-07-01,NSE:CEREBRAINT,19.85,19.85,16.5,16.5,440.0,-8.333333333333332,0.0
4,2013-07-02,NSE:CEREBRAINT,16.9,17.75,15.15,17.5,62032.0,6.0606060606060606,-8.333333333333332
5,2013-07-03,NSE:CEREBRAINT,16.200001,17.950001,16.200001,16.549999,500.0,-5.4285771428571445,6.0606060606060606
6,2013-07-04,NSE:CEREBRAINT,17.049999,18.450001,16.0,16.0,5952.0,-3.3232569983841067,-5.4285771428571445
7,2013-07-05,NSE:CEREBRAINT,16.1,16.450001,15.3,16.450001,3817.0,2.812506250000002,-3.3232569983841067
8,2013-07-08,NSE:CEREBRAINT,16.0,16.0,15.6,15.6,705.0,-5.167179017192769,2.812506250000002
9,2013-07-09,NSE:CEREBRAINT,14.8,14.8,14.8,14.8,25.0,-5.1282051282051215,-5.167179017192769
10,2013-07-10,NSE:CEREBRAINT,14.0,15.85,14.0,14.6,1440.0,-1.3513513513513586,-5.1282051282051215
11,2013-07-11,NSE:CEREBRAINT,16.5,16.5,14.5,16.25,54376.0,11.3013698630137,-1.3513513513513586
12,2013-07-12,NSE:CEREBRAINT,15.05,16.75,15.0,15.75,13941.0,-3.076923076923077,11.3013698630137
13,2013-07-15,NSE:CEREBRAINT,16.0,16.0,16.0,16.0,4000.0,1.5873015873015872,-3.076923076923077
14,2013-07-16,NSE:CEREBRAINT,16.950001,17.0,16.0,16.0,3150.0,0.0,1.5873015873015872
15,2013-07-17,NSE:CEREBRAINT,16.35,16.35,15.95,15.95,380.0,-0.31250000000000444,0.0
16,2013-07-18,NSE:CEREBRAINT,15.95,15.95,15.95,15.95,750.0,0.0,-0.31250000000000444
17,2013-07-19,NSE:CEREBRAINT,15.4,15.5,15.15,15.5,4400.0,-2.8213166144200583,0.0
18,2013-07-22,NSE:CEREBRAINT,15.35,15.4,15.35,15.35,600.0,-0.9677419354838732,-2.8213166144200583
19,2013-07-23,NSE:CEREBRAINT,17.65,17.65,12.3,12.3,60829.0,-19.869706840390872,-0.9677419354838732
20,2013-07-24,NSE:CEREBRAINT,9.85,9.85,9.85,9.85,35562.0,-19.91869918699188,-19.869706840390872
21,2013-07-25,NSE:CEREBRAINT,8.9,8.9,8.9,8.9,18182.0,-9.644670050761414,-19.91869918699188
22,2013-07-26,NSE:CEREBRAINT,8.05,8.05,8.05,8.05,7044.0,-9.550561797752804,-9.644670050761414
23,2013-07-29,NSE:CEREBRAINT,7.25,8.85,7.25,8.85,297832.0,9.937888198757749,-9.550561797752804
24,2013-07-30,NSE:CEREBRAINT,8.85,9.5,8.0,8.85,59022.0,0.0,9.937888198757749
25,2013-07-31,NSE:CEREBRAINT,8.4,8.6,8.0,8.25,48025.0,-6.779661016949149,0.0
26,2013-08-01,NSE:CEREBRAINT,8.65,8.65,7.75,8.0,14221.0,-3.0303030303030303,-6.779661016949149
27,2013-08-02,NSE:CEREBRAINT,8.05,8.05,7.2,7.4,63421.0,-7.499999999999996,-3.0303030303030303
28,2013-08-05,NSE:CEREBRAINT,8.0,8.0,7.6,7.75,537.0,4.7297297297297245,-7.499999999999996
29,2013-08-06,NSE:CEREBRAINT,7.75,8.2,7.65,7.7,4679.0,-0.6451612903225784,4.7297297297297245
30,2013-08-07,NSE:CEREBRAINT,7.7,8.25,7.45,7.45,2815.0,-3.2467532467532463,-0.6451612903225784
31,2013-08-08,NSE:CEREBRAINT,8.0,8.15,7.75,8.15,4288.0,9.395973154362418,-3.2467532467532463
32,2013-08-12,NSE:CEREBRAINT,8.85,8.9,8.5,8.75,6215.0,7.361963190184044,9.395973154362418
33,2013-08-13,NSE:CEREBRAINT,9.0,9.4,8.65,9.2,10772.0,5.142857142857134,7.361963190184044
34,2013-08-14,NSE:CEREBRAINT,9.5,9.55,9.0,9.5,4647.0,3.2608695652173996,5.142857142857134
35,2013-08-16,NSE:CEREBRAINT,8.65,9.4,8.6,9.15,6516.0,-3.684210526315786,3.2608695652173996
36,2013-08-19,NSE:CEREBRAINT,8.5,8.5,8.2,8.2,456.0,-10.382513661202196,-3.684210526315786
37,2013-08-20,NSE:CEREBRAINT,8.0,8.0,7.6,7.6,3220.0,-7.317073170731704,-10.382513661202196
38,2013-08-21,NSE:CEREBRAINT,8.0,8.3,7.0,7.45,2616.0,-1.9736842105263088,-7.317073170731704
39,2013-08-22,NSE:CEREBRAINT,7.0,7.9,7.0,7.9,3119.0,6.040268456375841,-1.9736842105263088
40,2013-08-26,NSE:CEREBRAINT,8.6,8.6,8.2,8.6,6447.0,8.860759493670876,6.040268456375841
41,2013-08-27,NSE:CEREBRAINT,8.0,8.2,7.75,7.75,13494.0,-9.883720930232554,8.860759493670876
42,2013-08-28,NSE:CEREBRAINT,7.1,8.4,7.1,7.7,5224.0,-0.6451612903225784,-9.883720930232554
43,2013-08-29,NSE:CEREBRAINT,7.25,8.3,7.25,8.3,22704.0,7.792207792207799,-0.6451612903225784
44,2013-08-30,NSE:CEREBRAINT,8.5,8.5,7.65,8.2,666.0,-1.2048192771084507,7.792207792207799
45,2013-09-02,NSE:CEREBRAINT,8.5,8.5,8.4,8.4,143.0,2.4390243902439157,-1.2048192771084507
46,2013-09-03,NSE:CEREBRAINT,8.5,8.7,8.25,8.7,3105.0,3.5714285714285587,2.4390243902439157
47,2013-09-04,NSE:CEREBRAINT,8.05,8.95,7.85,8.95,1150.0,2.873563218390805,3.5714285714285587
48,2013-09-05,NSE:CEREBRAINT,8.75,8.75,8.45,8.75,1154.0,-2.234636871508372,2.873563218390805
49,2013-09-06,NSE:CEREBRAINT,8.5,8.5,8.5,8.5,501.0,-2.857142857142857,-2.234636871508372
50,2013-09-10,NSE:CEREBRAINT,8.0,9.0,8.0,8.9,207.0,4.70588235294118,-2.857142857142857
51,2013-09-11,NSE:CEREBRAINT,10.0,10.0,7.85,8.8,2930.0,-1.1235955056179736,4.70588235294118
52,2013-09-12,NSE:CEREBRAINT,9.0,9.0,8.95,8.95,285.0,1.7045454545454382,-1.1235955056179736
53,2013-09-13,NSE:CEREBRAINT,9.5,9.5,8.05,9.0,1143.0,0.5586592178771029,1.7045454545454382
54,2013-09-16,NSE:CEREBRAINT,8.75,8.75,7.7,8.7,24658.0,-3.333333333333341,0.5586592178771029
55,2013-09-17,NSE:CEREBRAINT,8.3,8.3,7.75,7.75,235.0,-10.91954022988505,-3.333333333333341
56,2013-09-18,NSE:CEREBRAINT,7.85,8.4,7.85,7.9,300.0,1.9354838709677464,-10.91954022988505
57,2013-09-19,NSE:CEREBRAINT,7.95,7.95,7.85,7.9,710.0,0.0,1.9354838709677464
58,2013-09-20,NSE:CEREBRAINT,7.9,7.9,7.9,7.9,70.0,0.0,0.0
59,2013-09-23,NSE:CEREBRAINT,8.0,8.0,7.75,7.75,501.0,-1.8987341772151944,0.0
60,2013-09-24,NSE:CEREBRAINT,8.4,8.4,8.0,8.0,45.0,3.225806451612903,-1.8987341772151944
61,2013-09-25,NSE:CEREBRAINT,8.0,8.0,8.0,8.0,200.0,0.0,3.225806451612903
62,2013-09-26,NSE:CEREBRAINT,8.0,8.0,8.0,8.0,1870.0,0.0,0.0
63,2013-09-27,NSE:CEREBRAINT,7.95,7.95,7.65,7.65,129.0,-4.374999999999996,0.0
64,2013-10-01,NSE:CEREBRAINT,7.9,8.0,7.85,8.0,2172.0,4.575163398692805,-4.374999999999996
65,2013-10-03,NSE:CEREBRAINT,7.6,8.9,7.3,7.8,5685.0,-2.500000000000002,4.575163398692805
66,2013-10-04,NSE:CEREBRAINT,7.65,7.65,7.65,7.65,334.0,-1.9230769230769162,-2.500000000000002
67,2013-10-07,NSE:CEREBRAINT,7.75,7.75,7.35,7.35,7300.0,-3.9215686274509896,-1.9230769230769162
68,2013-10-08,NSE:CEREBRAINT,8.85,8.85,8.85,8.85,56323.0,20.408163265306122,-3.9215686274509896
69,2013-10-09,NSE:CEREBRAINT,8.85,10.6,8.85,9.4,120854.0,6.214689265536731,20.408163265306122
70,2013-10-10,NSE:CEREBRAINT,9.95,11.0,9.95,10.25,104018.0,9.042553191489358,6.214689265536731
71,2013-10-11,NSE:CEREBRAINT,10.75,10.9,10.0,10.05,83548.0,-1.951219512195115,9.042553191489358
72,2013-10-14,NSE:CEREBRAINT,10.05,10.6,9.7,10.25,110330.0,1.9900497512437738,-1.951219512195115
73,2013-10-15,NSE:CEREBRAINT,10.45,10.75,10.2,10.4,18088.0,1.4634146341463448,1.9900497512437738
74,2013-10-17,NSE:CEREBRAINT,10.0,10.5,9.4,10.5,13072.0,0.9615384615384581,1.4634146341463448
75,2013-10-18,NSE:CEREBRAINT,10.1,10.3,10.05,10.05,4656.0,-4.2857142857142785,0.9615384615384581
76,2013-10-21,NSE:CEREBRAINT,10.2,11.0,10.0,10.85,18222.0,7.960199004975113,-4.2857142857142785
77,2013-10-22,NSE:CEREBRAINT,10.6,10.6,10.0,10.0,6677.0,-7.834101382488476,7.960199004975113
