,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2023-09-18,NSE:DIACABS,2.22,2.33,2.22,2.33,16010.0,,
1,2023-09-20,NSE:DIACABS,2.445,2.445,2.445,2.445,3430.0,4.935622317596557,
2,2023-09-21,NSE:DIACABS,2.565,2.565,2.565,2.565,3890.0,4.907975460122705,4.935622317596557
3,2023-09-22,NSE:DIACABS,2.69,2.69,2.69,2.69,3590.0,4.873294346978558,4.907975460122705
4,2023-09-25,NSE:DIACABS,2.82,2.82,2.82,2.82,1710.0,4.832713754646837,4.873294346978558
5,2023-09-26,NSE:DIACABS,2.96,2.96,2.96,2.96,1220.0,4.964539007092203,4.832713754646837
6,2023-09-27,NSE:DIACABS,3.105,3.105,3.105,3.105,570.0,4.898648648648649,4.964539007092203
7,2023-09-28,NSE:DIACABS,3.26,3.26,3.26,3.26,3060.0,4.9919484702093335,4.898648648648649
8,2023-09-29,NSE:DIACABS,3.42,3.42,3.42,3.42,2500.0,4.907975460122705,4.9919484702093335
9,2023-10-03,NSE:DIACABS,3.59,3.59,3.59,3.59,470.0,4.970760233918127,4.907975460122705
10,2023-10-04,NSE:DIACABS,3.945,3.945,3.945,3.945,860.0,9.88857938718663,4.970760233918127
11,2023-10-05,NSE:DIACABS,4.335,4.335,4.335,4.335,470.0,9.885931558935365,9.88857938718663
12,2023-10-06,NSE:DIACABS,4.55,4.55,4.55,4.55,850.0,4.959630911188001,9.885931558935365
13,2023-10-09,NSE:DIACABS,4.775,4.775,4.775,4.775,970.0,4.945054945054957,4.959630911188001
14,2023-10-10,NSE:DIACABS,5.01,5.01,5.01,5.01,3460.0,4.921465968586375,4.945054945054957
15,2023-10-11,NSE:DIACABS,5.26,5.26,5.26,5.26,110.0,4.990019960079841,4.921465968586375
16,2023-10-12,NSE:DIACABS,5.52,5.52,5.52,5.52,150.0,4.942965779467677,4.990019960079841
17,2023-10-13,NSE:DIACABS,5.795,5.795,5.795,5.795,1150.0,4.981884057971022,4.942965779467677
18,2023-10-16,NSE:DIACABS,5.91,5.91,5.91,5.91,1800.0,1.9844693701466818,4.981884057971022
19,2023-10-17,NSE:DIACABS,6.025,6.025,6.025,6.025,450.0,1.9458544839255534,1.9844693701466818
20,2023-10-18,NSE:DIACABS,6.145,6.145,6.145,6.145,520.0,1.991701244813265,1.9458544839255534
21,2023-10-19,NSE:DIACABS,6.265,6.265,6.265,6.265,390.0,1.952807160292923,1.991701244813265
22,2023-10-20,NSE:DIACABS,6.39,6.39,6.39,6.39,120.0,1.9952114924181963,1.952807160292923
23,2023-10-23,NSE:DIACABS,6.515,6.515,6.515,6.515,2830.0,1.9561815336463224,1.9952114924181963
24,2023-10-25,NSE:DIACABS,6.645,6.645,6.645,6.645,2620.0,1.9953952417498064,1.9561815336463224
25,2023-10-26,NSE:DIACABS,6.775,6.775,6.775,6.775,80.0,1.9563581640331194,1.9953952417498064
26,2023-10-27,NSE:DIACABS,6.91,6.91,6.91,6.91,1250.0,1.9926199261992585,1.9563581640331194
27,2023-10-30,NSE:DIACABS,7.045,7.045,7.045,7.045,1700.0,1.9536903039073774,1.9926199261992585
28,2023-10-31,NSE:DIACABS,7.185,7.185,7.185,7.185,2560.0,1.9872249822569152,1.9536903039073774
29,2023-11-01,NSE:DIACABS,7.325,7.325,7.325,7.325,1090.0,1.9485038274182405,1.9872249822569152
30,2023-11-02,NSE:DIACABS,7.47,7.47,7.47,7.47,530.0,1.9795221843003352,1.9485038274182405
31,2023-11-03,NSE:DIACABS,7.615,7.615,7.615,7.615,830.0,1.9410977242302605,1.9795221843003352
32,2023-11-06,NSE:DIACABS,7.765,7.765,7.765,7.765,1060.0,1.969796454366375,1.9410977242302605
33,2023-11-07,NSE:DIACABS,7.92,7.92,7.92,7.92,770.0,1.9961365099806858,1.969796454366375
34,2023-11-08,NSE:DIACABS,8.075,8.075,8.075,8.075,350.0,1.9570707070706987,1.9961365099806858
35,2023-11-09,NSE:DIACABS,8.235,8.235,8.235,8.235,500.0,1.981424148606813,1.9570707070706987
36,2023-11-10,NSE:DIACABS,8.3949997,8.3949997,8.3949997,8.3949997,100.0,1.9429228901032203,1.981424148606813
37,2023-11-12,NSE:DIACABS,8.56,8.56,8.56,8.56,310.0,1.9654592721426885,1.9429228901032203
38,2023-11-13,NSE:DIACABS,8.73,8.73,8.73,8.73,370.0,1.9859813084112141,1.9654592721426885
39,2023-11-15,NSE:DIACABS,8.9,8.9,8.9,8.9,470.0,1.9473081328751423,1.9859813084112141
40,2023-11-16,NSE:DIACABS,9.075,9.075,9.075,9.075,640.0,1.9662921348314484,1.9473081328751423
41,2023-11-17,NSE:DIACABS,9.255,9.255,9.255,9.255,2110.0,1.9834710743801818,1.9662921348314484
42,2023-11-20,NSE:DIACABS,9.4,9.44,9.4,9.44,1050.0,1.998919502971353,1.9834710743801818
43,2023-11-21,NSE:DIACABS,9.625,9.625,9.625,9.625,890.0,1.95974576271187,1.998919502971353
44,2023-11-22,NSE:DIACABS,9.815,9.815,9.815,9.815,16470.0,1.974025974025969,1.95974576271187
45,2023-11-23,NSE:DIACABS,10.01,10.01,10.01,10.01,790.0,1.98675496688742,1.974025974025969
46,2023-11-24,NSE:DIACABS,10.21,10.21,10.21,10.21,1420.0,1.9980019980020087,1.98675496688742
47,2023-11-28,NSE:DIACABS,10.41,10.41,10.41,10.41,430.0,1.958863858961795,1.9980019980020087
48,2023-11-29,NSE:DIACABS,10.615,10.615,10.615,10.615,1330.0,1.9692603266090305,1.958863858961795
49,2023-11-30,NSE:DIACABS,10.825,10.825,10.825,10.825,530.0,1.9783325482807261,1.9692603266090305
50,2023-12-01,NSE:DIACABS,11.04,11.04,11.04,11.04,430.0,1.9861431870669732,1.9783325482807261
51,2023-12-04,NSE:DIACABS,11.26,11.26,11.1,11.26,4200.0,1.992753623188412,1.9861431870669732
52,2023-12-05,NSE:DIACABS,11.485,11.485,11.485,11.485,1230.0,1.9982238010657163,1.992753623188412
53,2023-12-06,NSE:DIACABS,11.71,11.71,11.71,11.71,5780.0,1.9590770570309224,1.9982238010657163
54,2023-12-07,NSE:DIACABS,11.94,11.94,11.94,11.94,1010.0,1.9641332194705263,1.9590770570309224
55,2023-12-08,NSE:DIACABS,12.175,12.175,12.175,12.175,1780.0,1.968174204355119,1.9641332194705263
56,2023-12-11,NSE:DIACABS,12.415,12.415,12.415,12.415,1710.0,1.9712525667351,1.968174204355119
57,2023-12-12,NSE:DIACABS,12.66,12.66,12.66,12.66,3020.0,1.97341925090617,1.9712525667351
58,2023-12-13,NSE:DIACABS,12.825,12.91,12.825,12.91,1120.0,1.9747235387045814,1.97341925090617
59,2023-12-14,NSE:DIACABS,13.165,13.165,13.165,13.165,830.0,1.9752130131680792,1.9747235387045814
60,2023-12-15,NSE:DIACABS,13.425,13.425,13.425,13.425,2360.0,1.974933535890631,1.9752130131680792
61,2023-12-18,NSE:DIACABS,13.69,13.69,13.69,13.69,690.0,1.97392923649906,1.974933535890631
62,2023-12-19,NSE:DIACABS,13.96,13.96,13.96,13.96,890.0,1.9722425127830634,1.97392923649906
63,2023-12-20,NSE:DIACABS,14.235,14.235,14.235,14.235,14210.0,1.969914040114603,1.9722425127830634
64,2023-12-21,NSE:DIACABS,14.515,14.515,14.515,14.515,3440.0,1.966982788900605,1.969914040114603
65,2023-12-22,NSE:DIACABS,14.805,14.805,14.805,14.805,2920.0,1.9979331725800835,1.966982788900605
66,2023-12-26,NSE:DIACABS,15.1,15.1,15.1,15.1,2160.0,1.99257007767646,1.9979331725800835
67,2023-12-27,NSE:DIACABS,15.4,15.4,15.4,15.4,1380.0,1.9867549668874218,1.99257007767646
68,2023-12-28,NSE:DIACABS,15.705,15.705,15.705,15.705,2480.0,1.9805194805194788,1.9867549668874218
69,2023-12-29,NSE:DIACABS,16.015,16.015,16.015,16.015,550.0,1.97389366443808,1.9805194805194788
70,2024-01-01,NSE:DIACABS,16.335,16.335,16.335,16.335,4380.0,1.998126756166096,1.97389366443808
71,2024-01-02,NSE:DIACABS,16.66,16.66,16.66,16.66,2360.0,1.9895928986838032,1.998126756166096
72,2024-01-03,NSE:DIACABS,16.9,16.99,16.9,16.99,1050.0,1.9807923169267605,1.9895928986838032
73,2024-01-04,NSE:DIACABS,17.325,17.325,17.325,17.325,2980.0,1.97174808711007,1.9807923169267605
74,2024-01-05,NSE:DIACABS,17.67,17.67,17.67,17.67,260.0,1.9913419913420054,1.97174808711007
75,2024-01-08,NSE:DIACABS,18.02,18.02,18.02,18.02,900.0,1.980758347481595,1.9913419913420054
76,2024-01-09,NSE:DIACABS,18.38,18.38,18.38,18.38,1010.0,1.997780244173138,1.980758347481595
77,2024-01-10,NSE:DIACABS,18.7,18.745,18.7,18.745,1150.0,1.985854189336246,1.997780244173138
78,2024-01-11,NSE:DIACABS,19.115,19.115,19.115,19.115,2590.0,1.9738596959188979,1.985854189336246
79,2024-01-12,NSE:DIACABS,19.495,19.495,19.495,19.495,3840.0,1.9879675647397468,1.9738596959188979
80,2024-01-15,NSE:DIACABS,19.88,19.88,19.88,19.88,550.0,1.9748653500897564,1.9879675647397468
81,2024-01-16,NSE:DIACABS,20.275,20.275,20.275,20.275,1820.0,1.9869215291750484,1.9748653500897564
82,2024-01-17,NSE:DIACABS,20.68,20.68,20.68,20.68,2000.0,1.9975339087546298,1.9869215291750484
83,2024-01-18,NSE:DIACABS,21.09,21.09,21.09,21.09,10690.0,1.9825918762088983,1.9975339087546298
84,2024-01-19,NSE:DIACABS,21.51,21.51,21.51,21.51,1320.0,1.991465149359894,1.9825918762088983
85,2024-01-20,NSE:DIACABS,21.94,21.94,21.94,21.94,1440.0,1.9990701999070184,1.991465149359894
86,2024-01-23,NSE:DIACABS,22.375,22.375,22.375,22.375,27430.0,1.9826800364630752,1.9990701999070184
87,2024-01-24,NSE:DIACABS,22.82,22.82,22.82,22.82,4470.0,1.9888268156424593,1.9826800364630752
88,2024-01-25,NSE:DIACABS,23.275,23.275,23.275,23.275,1830.0,1.9938650306748393,1.9888268156424593
89,2024-01-29,NSE:DIACABS,23.74,23.74,23.74,23.74,4300.0,1.997851772287862,1.9938650306748393
90,2024-01-30,NSE:DIACABS,24.21,24.21,24.21,24.21,1620.0,1.9797809604043912,1.997851772287862
91,2024-01-31,NSE:DIACABS,24.69,24.69,24.69,24.69,750.0,1.9826517967781925,1.9797809604043912
92,2024-02-01,NSE:DIACABS,25.18,25.18,25.18,25.18,2260.0,1.9846091535034365,1.9826517967781925
93,2024-02-02,NSE:DIACABS,25.68,25.68,25.68,25.68,3390.0,1.9857029388403495,1.9846091535034365
94,2024-02-05,NSE:DIACABS,26.19,26.19,26.19,26.19,1840.0,1.985981308411221,1.9857029388403495
95,2024-02-06,NSE:DIACABS,26.71,26.71,26.71,26.71,1200.0,1.985490645284458,1.985981308411221
96,2024-02-07,NSE:DIACABS,27.24,27.24,27.24,27.24,4090.0,1.9842755522276208,1.985490645284458
97,2024-02-08,NSE:DIACABS,27.78,27.78,27.78,27.78,14680.0,1.9823788546255605,1.9842755522276208
98,2024-02-09,NSE:DIACABS,28.335,28.335,28.335,28.335,16550.0,1.997840172786176,1.9823788546255605
99,2024-02-12,NSE:DIACABS,28.9,28.9,28.9,28.9,2920.0,1.9940003529204084,1.997840172786176
100,2024-02-13,NSE:DIACABS,29.475,29.475,29.475,29.475,33410.0,1.9896193771626398,1.9940003529204084
101,2024-02-14,NSE:DIACABS,30.06,30.06,30.06,30.06,2230.0,1.9847328244274716,1.9896193771626398
102,2024-02-15,NSE:DIACABS,30.66,30.66,30.66,30.66,3920.0,1.996007984031941,1.9847328244274716
103,2024-02-16,NSE:DIACABS,31.27,31.27,31.27,31.27,1070.0,1.9895629484670563,1.996007984031941
104,2024-02-19,NSE:DIACABS,31.895,31.895,31.895,31.895,2960.0,1.9987208186760475,1.9895629484670563
105,2024-02-20,NSE:DIACABS,32.53,32.53,32.53,32.53,5880.0,1.9909076657783402,1.9987208186760475
106,2024-02-21,NSE:DIACABS,33.18,33.18,33.18,33.18,6510.0,1.9981555487242502,1.9909076657783402
107,2024-02-22,NSE:DIACABS,33.84,33.84,33.84,33.84,1390.0,1.9891500904159243,1.9981555487242502
108,2024-02-23,NSE:DIACABS,34.515,34.515,34.515,34.515,1640.0,1.9946808510638212,1.9891500904159243
109,2024-02-26,NSE:DIACABS,35.205,35.205,35.205,35.205,3120.0,1.9991308126901282,1.9946808510638212
110,2024-02-27,NSE:DIACABS,35.905,35.905,35.9,35.9,5420.0,1.9741513989490138,1.9991308126901282
111,2024-02-28,NSE:DIACABS,36.615,36.615,36.615,36.615,6540.0,1.9916434540390067,1.9741513989490138
112,2024-02-29,NSE:DIACABS,37.345,37.345,37.345,37.345,3210.0,1.993718421411981,1.9916434540390067
113,2024-03-01,NSE:DIACABS,38.09,38.09,38.09,38.09,3510.0,1.994912304190667,1.993718421411981
114,2024-03-04,NSE:DIACABS,38.85,38.85,38.85,38.85,5720.0,1.9952743502231503,1.994912304190667
115,2024-03-05,NSE:DIACABS,39.625,39.625,39.625,39.625,9150.0,1.994851994851991,1.9952743502231503
116,2024-03-06,NSE:DIACABS,40.415,40.415,40.415,40.415,20950.0,1.9936908517350134,1.994851994851991
117,2024-03-07,NSE:DIACABS,41.22,41.22,41.22,41.22,910.0,1.9918347148336006,1.9936908517350134
118,2024-03-11,NSE:DIACABS,42.04,42.04,42.04,42.04,6560.0,1.989325570111597,1.9918347148336006
119,2024-03-12,NSE:DIACABS,42.88,42.88,42.88,42.88,4410.0,1.9980970504281719,1.989325570111597
120,2024-03-13,NSE:DIACABS,43.735,43.735,43.7,43.7,2604930.0,1.9123134328358216,1.9980970504281719
121,2024-03-14,NSE:DIACABS,44.57,44.57,44.57,44.57,1205980.0,1.9908466819221908,1.9123134328358216
122,2024-03-15,NSE:DIACABS,45.46,45.46,45.46,45.46,1010840.0,1.99685887368185,1.9908466819221908
123,2024-03-18,NSE:DIACABS,46.365,46.365,46.365,46.365,1260.0,1.9907611086669625,1.99685887368185
124,2024-03-19,NSE:DIACABS,47.29,47.29,47.29,47.29,4230.0,1.995039361587398,1.9907611086669625
125,2024-03-20,NSE:DIACABS,48.235,48.235,48.235,48.235,2520.0,1.9983083104250379,1.995039361587398
126,2024-03-21,NSE:DIACABS,49.195,49.195,49.195,49.195,3580.0,1.9902560381465757,1.9983083104250379
127,2024-03-22,NSE:DIACABS,50.175,50.175,50.175,50.175,4900.0,1.9920723650777454,1.9902560381465757
128,2024-03-26,NSE:DIACABS,51.0,51.175,51.0,51.175,256310.0,1.9930244145490783,1.9920723650777454
129,2024-03-27,NSE:DIACABS,52.195,52.195,52.195,52.195,54260.0,1.993160723009288,1.9930244145490783
130,2024-03-28,NSE:DIACABS,53.235,53.235,53.235,53.235,9860.0,1.9925280199252784,1.993160723009288
131,2024-04-01,NSE:DIACABS,54.295,54.295,54.295,54.295,9220.0,1.991171221940457,1.9925280199252784
132,2024-04-02,NSE:DIACABS,55.38,55.38,55.38,55.38,1160.0,1.998342388801917,1.991171221940457
133,2024-04-03,NSE:DIACABS,56.485,56.485,56.485,56.485,1500.0,1.995305164319243,1.998342388801917
