,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,1999-01-05,NSE:EIMCOELECO,81.5,86.0,81.5,85.0,1500.0,,
1,1999-01-07,NSE:EIMCOELECO,81.5,83.5,81.5,83.5,200.0,-1.7647058823529411,
2,1999-01-08,NSE:EIMCOELECO,80.0,80.0,80.0,80.0,300.0,-4.191616766467066,-1.7647058823529411
3,1999-01-11,NSE:EIMCOELECO,80.0,80.0,80.0,80.0,300.0,0.0,-4.191616766467066
4,1999-01-12,NSE:EIMCOELECO,79.5,79.5,79.0,79.0,300.0,-1.25,0.0
5,1999-01-13,NSE:EIMCOELECO,80.75,81.0,79.0,79.0,800.0,0.0,-1.25
6,1999-01-14,NSE:EIMCOELECO,75.0,75.0,75.0,75.0,300.0,-5.063291139240507,0.0
7,1999-01-15,NSE:EIMCOELECO,75.199997,75.199997,75.199997,75.199997,100.0,0.2666626666666616,-5.063291139240507
8,1999-01-18,NSE:EIMCOELECO,76.0,76.0,75.5,76.0,300.0,1.0638338190359289,0.2666626666666616
9,1999-01-19,NSE:EIMCOELECO,75.0,75.050003,75.0,75.0,500.0,-1.3157894736842104,1.0638338190359289
10,1999-01-22,NSE:EIMCOELECO,75.150002,75.150002,75.150002,75.150002,100.0,0.20000266666666752,-1.3157894736842104
11,1999-01-27,NSE:EIMCOELECO,76.5,78.0,76.5,78.0,600.0,3.79241240738756,0.20000266666666752
12,1999-01-28,NSE:EIMCOELECO,75.0,75.0,72.0,72.0,200.0,-7.6923076923076925,3.79241240738756
13,1999-02-01,NSE:EIMCOELECO,77.5,77.800003,75.0,75.0,900.0,4.166666666666666,-7.6923076923076925
14,1999-02-02,NSE:EIMCOELECO,74.0,80.0,74.0,77.800003,1700.0,3.7333373333333384,4.166666666666666
15,1999-02-03,NSE:EIMCOELECO,80.0,80.0,80.0,80.0,300.0,2.8277595310632524,3.7333373333333384
16,1999-02-04,NSE:EIMCOELECO,80.0,82.25,80.0,80.0,1600.0,0.0,2.8277595310632524
17,1999-02-05,NSE:EIMCOELECO,80.0,83.0,80.0,81.25,600.0,1.5625,0.0
18,1999-02-08,NSE:EIMCOELECO,80.0,80.0,80.0,80.0,400.0,-1.5384615384615385,1.5625
19,1999-02-09,NSE:EIMCOELECO,80.0,80.0,77.0,77.0,400.0,-3.75,-1.5384615384615385
20,1999-02-10,NSE:EIMCOELECO,78.0,78.0,78.0,78.0,100.0,1.2987012987012987,-3.75
21,1999-02-11,NSE:EIMCOELECO,78.0,80.0,78.0,80.0,700.0,2.564102564102564,1.2987012987012987
22,1999-02-12,NSE:EIMCOELECO,78.5,80.0,78.25,78.25,600.0,-2.1875,2.564102564102564
23,1999-02-15,NSE:EIMCOELECO,78.0,78.0,78.0,78.0,100.0,-0.3194888178913738,-2.1875
24,1999-02-16,NSE:EIMCOELECO,77.5,77.5,77.5,77.5,200.0,-0.641025641025641,-0.3194888178913738
25,1999-02-17,NSE:EIMCOELECO,75.0,75.0,74.5,74.5,200.0,-3.870967741935484,-0.641025641025641
26,1999-02-18,NSE:EIMCOELECO,75.0,75.0,75.0,75.0,400.0,0.6711409395973155,-3.870967741935484
27,1999-02-19,NSE:EIMCOELECO,75.0,77.050003,74.150002,77.050003,500.0,2.7333373333333384,0.6711409395973155
28,1999-02-22,NSE:EIMCOELECO,78.599998,83.0,78.0,78.0,700.0,1.2329616651669646,2.7333373333333384
29,1999-02-23,NSE:EIMCOELECO,77.0,77.0,77.0,77.0,100.0,-1.282051282051282,1.2329616651669646
30,1999-02-24,NSE:EIMCOELECO,73.0,73.0,73.0,73.0,100.0,-5.194805194805195,-1.282051282051282
31,1999-02-25,NSE:EIMCOELECO,75.5,75.5,75.5,75.5,100.0,3.4246575342465753,-5.194805194805195
32,1999-02-26,NSE:EIMCOELECO,77.0,77.0,77.0,77.0,200.0,1.9867549668874174,3.4246575342465753
33,1999-03-01,NSE:EIMCOELECO,77.0,77.0,73.0,73.0,300.0,-5.194805194805195,1.9867549668874174
34,1999-03-04,NSE:EIMCOELECO,77.0,77.099998,77.0,77.099998,300.0,5.6164356164383555,-5.194805194805195
35,1999-03-05,NSE:EIMCOELECO,78.0,78.0,77.0,77.0,300.0,-0.1296990954526346,5.6164356164383555
36,1999-03-08,NSE:EIMCOELECO,77.900002,78.0,76.0,76.0,500.0,-1.2987012987012987,-0.1296990954526346
37,1999-03-09,NSE:EIMCOELECO,77.0,77.0,76.5,76.5,200.0,0.6578947368421052,-1.2987012987012987
38,1999-03-10,NSE:EIMCOELECO,76.5,78.0,76.5,78.0,300.0,1.9607843137254901,0.6578947368421052
39,1999-03-11,NSE:EIMCOELECO,77.0,82.0,77.0,82.0,1600.0,5.128205128205128,1.9607843137254901
40,1999-03-12,NSE:EIMCOELECO,82.300003,82.300003,80.0,80.0,500.0,-2.4390243902439024,5.128205128205128
41,1999-03-15,NSE:EIMCOELECO,82.0,82.5,82.0,82.0,1800.0,2.5,-2.4390243902439024
42,1999-03-16,NSE:EIMCOELECO,82.0,82.5,82.0,82.0,1200.0,0.0,2.5
43,1999-03-17,NSE:EIMCOELECO,82.0,82.0,82.0,82.0,1300.0,0.0,0.0
44,1999-03-18,NSE:EIMCOELECO,82.0,82.0,82.0,82.0,100.0,0.0,0.0
45,1999-03-19,NSE:EIMCOELECO,82.0,84.0,82.0,84.0,600.0,2.4390243902439024,0.0
46,1999-03-22,NSE:EIMCOELECO,83.0,83.0,83.0,83.0,200.0,-1.1904761904761905,2.4390243902439024
47,1999-03-23,NSE:EIMCOELECO,82.5,82.5,80.0,80.0,1200.0,-3.614457831325301,-1.1904761904761905
48,1999-03-24,NSE:EIMCOELECO,82.0,82.25,82.0,82.25,300.0,2.8125,-3.614457831325301
49,1999-03-25,NSE:EIMCOELECO,82.0,82.25,82.0,82.0,1800.0,-0.303951367781155,2.8125
50,1999-03-26,NSE:EIMCOELECO,83.75,84.0,82.0,82.0,2300.0,0.0,-0.303951367781155
51,1999-03-31,NSE:EIMCOELECO,82.0,82.0,82.0,82.0,100.0,0.0,0.0
52,1999-04-01,NSE:EIMCOELECO,82.0,82.0,82.0,82.0,100.0,0.0,0.0
53,1999-04-05,NSE:EIMCOELECO,80.0,80.0,80.0,80.0,1400.0,-2.4390243902439024,0.0
54,1999-04-09,NSE:EIMCOELECO,74.150002,78.0,74.150002,78.0,400.0,-2.5,-2.4390243902439024
55,1999-04-13,NSE:EIMCOELECO,77.0,78.0,77.0,78.0,600.0,0.0,-2.5
56,1999-04-16,NSE:EIMCOELECO,79.0,79.0,79.0,79.0,100.0,1.282051282051282,0.0
57,1999-04-19,NSE:EIMCOELECO,70.0,70.0,70.0,70.0,100.0,-11.39240506329114,1.282051282051282
58,1999-04-22,NSE:EIMCOELECO,70.0,70.0,70.0,70.0,100.0,0.0,-11.39240506329114
59,1999-04-26,NSE:EIMCOELECO,70.0,70.0,70.0,70.0,100.0,0.0,0.0
60,1999-04-28,NSE:EIMCOELECO,68.0,68.0,66.0,66.0,600.0,-5.714285714285714,0.0
61,1999-04-30,NSE:EIMCOELECO,71.199997,71.199997,71.199997,71.199997,100.0,7.8787833333333275,-5.714285714285714
62,1999-05-05,NSE:EIMCOELECO,75.449997,75.5,75.449997,75.5,300.0,6.039330310645945,7.8787833333333275
63,1999-05-06,NSE:EIMCOELECO,75.0,77.900002,72.550003,77.900002,400.0,3.1788105960264907,6.039330310645945
64,1999-05-07,NSE:EIMCOELECO,73.0,73.0,73.0,73.0,100.0,-6.2901179386362545,3.1788105960264907
65,1999-05-10,NSE:EIMCOELECO,72.5,72.5,70.099998,70.099998,400.0,-3.9726054794520556,-6.2901179386362545
66,1999-05-11,NSE:EIMCOELECO,71.0,71.0,69.050003,69.75,300.0,-0.4992838944160874,-3.9726054794520556
67,1999-05-12,NSE:EIMCOELECO,70.0,70.0,69.0,69.0,600.0,-1.0752688172043012,-0.4992838944160874
68,1999-05-14,NSE:EIMCOELECO,69.5,69.5,69.5,69.5,100.0,0.7246376811594203,-1.0752688172043012
69,1999-05-17,NSE:EIMCOELECO,69.0,73.0,69.0,73.0,700.0,5.0359712230215825,0.7246376811594203
70,1999-05-18,NSE:EIMCOELECO,69.0,72.0,69.0,72.0,600.0,-1.36986301369863,5.0359712230215825
71,1999-05-19,NSE:EIMCOELECO,69.050003,72.0,69.0,72.0,1100.0,0.0,-1.36986301369863
72,1999-05-20,NSE:EIMCOELECO,68.25,71.0,68.25,71.0,300.0,-1.3888888888888888,0.0
73,1999-05-21,NSE:EIMCOELECO,68.0,70.0,68.0,70.0,200.0,-1.4084507042253522,-1.3888888888888888
74,1999-05-25,NSE:EIMCOELECO,70.0,71.0,70.0,71.0,200.0,1.4285714285714286,-1.4084507042253522
75,1999-05-26,NSE:EIMCOELECO,69.0,69.0,69.0,69.0,100.0,-2.8169014084507045,1.4285714285714286
76,1999-05-28,NSE:EIMCOELECO,70.0,70.0,69.75,69.75,600.0,1.0869565217391304,-2.8169014084507045
77,1999-05-31,NSE:EIMCOELECO,70.0,70.0,69.5,69.5,200.0,-0.35842293906810035,1.0869565217391304
78,1999-06-01,NSE:EIMCOELECO,71.0,71.0,71.0,71.0,100.0,2.158273381294964,-0.35842293906810035
79,1999-06-15,NSE:EIMCOELECO,66.050003,66.599998,66.050003,66.599998,200.0,-6.197185915492959,2.158273381294964
80,1999-06-16,NSE:EIMCOELECO,63.0,63.0,63.0,63.0,100.0,-5.405402564726803,-6.197185915492959
81,1999-06-17,NSE:EIMCOELECO,67.699997,67.699997,67.699997,67.699997,100.0,7.460312698412692,-5.405402564726803
82,1999-06-18,NSE:EIMCOELECO,66.0,68.0,64.150002,64.150002,500.0,-5.243715151124742,7.460312698412692
83,1999-06-21,NSE:EIMCOELECO,68.099998,68.349998,68.0,68.349998,1000.0,6.547148665716329,-5.243715151124742
84,1999-06-23,NSE:EIMCOELECO,69.0,69.0,69.0,69.0,100.0,0.9509905179514425,6.547148665716329
85,1999-06-24,NSE:EIMCOELECO,67.099998,67.099998,67.099998,67.099998,100.0,-2.7536260869565226,0.9509905179514425
86,1999-06-25,NSE:EIMCOELECO,67.400002,68.0,67.400002,68.0,400.0,1.3412846897551334,-2.7536260869565226
87,1999-06-28,NSE:EIMCOELECO,68.0,72.0,68.0,72.0,700.0,5.88235294117647,1.3412846897551334
88,1999-06-29,NSE:EIMCOELECO,70.0,70.0,70.0,70.0,100.0,-2.7777777777777777,5.88235294117647
89,1999-07-06,NSE:EIMCOELECO,70.0,70.0,70.0,70.0,100.0,0.0,-2.7777777777777777
90,1999-07-07,NSE:EIMCOELECO,72.699997,72.699997,72.699997,72.699997,700.0,3.8571385714285658,0.0
91,1999-07-08,NSE:EIMCOELECO,75.949997,75.949997,74.949997,74.949997,300.0,3.0949107191847616,3.8571385714285658
92,1999-07-12,NSE:EIMCOELECO,78.449997,78.449997,75.0,76.0,800.0,1.4009380147140018,3.0949107191847616
93,1999-07-13,NSE:EIMCOELECO,77.0,77.550003,77.0,77.550003,600.0,2.0394776315789525,1.4009380147140018
94,1999-07-14,NSE:EIMCOELECO,79.900002,82.0,75.0,75.0,900.0,-3.2882049018102597,2.0394776315789525
95,1999-07-15,NSE:EIMCOELECO,74.0,78.0,74.0,78.0,500.0,4.0,-3.2882049018102597
96,1999-07-16,NSE:EIMCOELECO,72.050003,72.050003,72.050003,72.050003,100.0,-7.628201282051276,4.0
97,1999-07-19,NSE:EIMCOELECO,77.800003,77.800003,76.050003,77.800003,1100.0,7.980568716978402,-7.628201282051276
98,1999-07-20,NSE:EIMCOELECO,77.5,77.5,77.5,77.5,100.0,-0.38560795428247446,7.980568716978402
99,1999-07-22,NSE:EIMCOELECO,75.900002,75.900002,73.0,73.0,300.0,-5.806451612903226,-0.38560795428247446
100,1999-07-23,NSE:EIMCOELECO,74.0,74.0,73.0,73.0,200.0,0.0,-5.806451612903226
101,1999-07-26,NSE:EIMCOELECO,72.050003,72.050003,72.050003,72.050003,100.0,-1.3013657534246523,0.0
102,1999-07-27,NSE:EIMCOELECO,70.0,70.0,70.0,70.0,100.0,-2.8452504020020704,-1.3013657534246523
103,1999-07-28,NSE:EIMCOELECO,71.0,71.0,71.0,71.0,100.0,1.4285714285714286,-2.8452504020020704
104,1999-08-02,NSE:EIMCOELECO,70.0,70.5,69.0,70.5,500.0,-0.7042253521126761,1.4285714285714286
105,1999-08-09,NSE:EIMCOELECO,68.25,70.0,68.25,70.0,700.0,-0.7092198581560284,-0.7042253521126761
106,1999-08-10,NSE:EIMCOELECO,66.5,71.0,66.5,70.0,2300.0,0.0,-0.7092198581560284
107,1999-08-12,NSE:EIMCOELECO,70.0,70.0,70.0,70.0,100.0,0.0,0.0
108,1999-08-13,NSE:EIMCOELECO,70.0,70.0,70.0,70.0,100.0,0.0,0.0
109,1999-08-16,NSE:EIMCOELECO,70.0,70.0,70.0,70.0,100.0,0.0,0.0
110,1999-08-17,NSE:EIMCOELECO,70.5,70.5,70.0,70.0,200.0,0.0,0.0
111,1999-08-18,NSE:EIMCOELECO,72.0,72.0,72.0,72.0,100.0,2.857142857142857,0.0
112,1999-08-19,NSE:EIMCOELECO,71.75,71.75,70.0,70.0,300.0,-2.7777777777777777,2.857142857142857
113,1999-08-20,NSE:EIMCOELECO,67.0,67.0,67.0,67.0,100.0,-4.285714285714286,-2.7777777777777777
114,1999-08-23,NSE:EIMCOELECO,70.0,70.0,69.5,70.0,1300.0,4.477611940298507,-4.285714285714286
115,1999-08-24,NSE:EIMCOELECO,72.5,72.5,70.050003,70.150002,400.0,0.21428857142857233,4.477611940298507
116,1999-08-25,NSE:EIMCOELECO,71.5,72.400002,71.0,72.400002,500.0,3.2074125956546657,0.21428857142857233
117,1999-08-26,NSE:EIMCOELECO,71.0,73.0,70.0,73.0,1500.0,0.8287264964440185,3.2074125956546657
118,1999-08-27,NSE:EIMCOELECO,73.449997,73.449997,73.449997,73.449997,100.0,0.6164342465753373,0.8287264964440185
119,1999-08-30,NSE:EIMCOELECO,70.400002,70.400002,70.400002,70.400002,100.0,-4.152478045710466,0.6164342465753373
120,1999-08-31,NSE:EIMCOELECO,72.0,73.0,71.550003,71.550003,1100.0,1.6335241013203425,-4.152478045710466
121,1999-09-01,NSE:EIMCOELECO,70.050003,70.050003,68.0,68.0,300.0,-4.961569323763696,1.6335241013203425
122,1999-09-03,NSE:EIMCOELECO,70.0,72.5,70.0,72.5,200.0,6.61764705882353,-4.961569323763696
123,1999-09-06,NSE:EIMCOELECO,70.0,70.0,69.0,69.099998,500.0,-4.689657931034484,6.61764705882353
124,1999-09-07,NSE:EIMCOELECO,67.199997,67.25,67.099998,67.25,400.0,-2.677276488488465,-4.689657931034484
125,1999-09-08,NSE:EIMCOELECO,67.0,71.0,67.0,71.0,400.0,5.5762081784386615,-2.677276488488465
126,1999-09-09,NSE:EIMCOELECO,69.5,70.0,69.099998,69.099998,1000.0,-2.6760591549295785,5.5762081784386615
127,1999-09-10,NSE:EIMCOELECO,69.5,70.0,69.5,70.0,400.0,1.302463134658847,-2.6760591549295785
128,1999-09-14,NSE:EIMCOELECO,68.5,68.550003,68.0,68.0,800.0,-2.857142857142857,1.302463134658847
129,1999-09-15,NSE:EIMCOELECO,67.050003,67.050003,67.050003,67.050003,100.0,-1.3970544117647004,-2.857142857142857
130,1999-09-16,NSE:EIMCOELECO,68.0,70.949997,67.300003,70.650002,700.0,5.369125785124867,-1.3970544117647004
131,1999-09-17,NSE:EIMCOELECO,69.900002,71.900002,68.550003,70.150002,600.0,-0.7077140634758935,5.369125785124867
132,1999-09-20,NSE:EIMCOELECO,70.0,70.0,68.0,68.0,200.0,-3.0648637757701,-0.7077140634758935
133,1999-09-21,NSE:EIMCOELECO,68.0,68.0,68.0,68.0,100.0,0.0,-3.0648637757701
134,1999-09-22,NSE:EIMCOELECO,67.0,69.949997,67.0,69.949997,300.0,2.867642647058818,0.0
135,1999-09-23,NSE:EIMCOELECO,70.0,71.0,70.0,71.0,800.0,1.501076547580129,2.867642647058818
136,1999-09-27,NSE:EIMCOELECO,68.050003,68.25,68.050003,68.25,300.0,-3.873239436619718,1.501076547580129
137,1999-09-28,NSE:EIMCOELECO,72.5,72.5,68.099998,68.099998,200.0,-0.21978315018315112,-3.873239436619718
