,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2025-08-14,NSE:JSWCEMENT,153.5,154.77,145.05,146.07,105274421.0,,
1,2025-08-18,NSE:JSWCEMENT,148.0,151.68,143.95,150.02,39208337.0,2.704182925994398,
2,2025-08-19,NSE:JSWCEMENT,150.0,158.2,148.12,156.55,47572618.0,4.352752966271164,2.704182925994398
3,2025-08-20,NSE:JSWCEMENT,157.0,159.0,153.25,153.83,14505613.0,-1.7374640689875431,4.352752966271164
4,2025-08-21,NSE:JSWCEMENT,154.0,156.7,151.77,153.98,10842093.0,0.0975102385750356,-1.7374640689875431
5,2025-08-22,NSE:JSWCEMENT,153.97,156.75,152.76,153.12,8536051.0,-0.5585140927393073,0.0975102385750356
6,2025-08-25,NSE:JSWCEMENT,153.89,155.4,152.92,153.48,5125690.0,0.2351097178683289,-0.5585140927393073
7,2025-08-26,NSE:JSWCEMENT,153.48,156.74,150.05,150.49,7846500.0,-1.9481365650247464,0.2351097178683289
8,2025-08-28,NSE:JSWCEMENT,150.3,151.55,147.06,148.23,8347289.0,-1.501760914346481,-1.9481365650247464
9,2025-08-29,NSE:JSWCEMENT,148.4,151.8,147.81,148.43,4448815.0,0.13492545368684955,-1.501760914346481
10,2025-09-01,NSE:JSWCEMENT,148.9,152.8,147.97,151.76,6096458.0,2.243481775921299,0.13492545368684955
11,2025-09-02,NSE:JSWCEMENT,152.68,154.8,152.32,153.73,5730595.0,1.2981022667369524,2.243481775921299
12,2025-09-03,NSE:JSWCEMENT,153.7,159.93,153.7,159.17,23333691.0,3.5386716971313326,1.2981022667369524
13,2025-09-04,NSE:JSWCEMENT,161.51,162.15,151.52,152.29,10144348.0,-4.322422567066655,3.5386716971313326
14,2025-09-05,NSE:JSWCEMENT,152.89,152.99,149.48,150.11,4553483.0,-1.4314794142753815,-4.322422567066655
15,2025-09-08,NSE:JSWCEMENT,150.49,151.14,148.51,149.21,3545942.0,-0.5995603224302216,-1.4314794142753815
16,2025-09-09,NSE:JSWCEMENT,149.95,149.99,148.21,148.54,2583143.0,-0.44903156624892154,-0.5995603224302216
17,2025-09-10,NSE:JSWCEMENT,149.3,149.94,147.8,148.01,2969890.0,-0.3568062474754283,-0.44903156624892154
18,2025-09-11,NSE:JSWCEMENT,148.0,148.4,145.31,145.69,5640167.0,-1.567461657996077,-0.3568062474754283
19,2025-09-12,NSE:JSWCEMENT,146.29,149.3,145.9,148.72,3893758.0,2.0797583911044004,-1.567461657996077
20,2025-09-15,NSE:JSWCEMENT,151.95,153.45,149.71,150.29,5357153.0,1.055675094136628,2.0797583911044004
21,2025-09-16,NSE:JSWCEMENT,151.45,151.65,148.05,148.71,2740161.0,-1.0513008184177153,1.055675094136628
22,2025-09-17,NSE:JSWCEMENT,149.44,152.9,147.33,147.77,4924836.0,-0.6321027503194121,-1.0513008184177153
23,2025-09-18,NSE:JSWCEMENT,148.5,151.85,147.5,151.21,5541105.0,2.3279420721391335,-0.6321027503194121
24,2025-09-19,NSE:JSWCEMENT,151.74,151.74,149.05,149.27,2531658.0,-1.282983929634282,2.3279420721391335
25,2025-09-22,NSE:JSWCEMENT,149.51,151.4,149.02,149.44,3324026.0,0.11388758625309003,-1.282983929634282
26,2025-09-23,NSE:JSWCEMENT,149.44,150.09,146.7,147.18,2670876.0,-1.5123126338329704,0.11388758625309003
27,2025-09-24,NSE:JSWCEMENT,147.18,148.38,146.2,146.44,1987230.0,-0.5027857045794327,-1.5123126338329704
28,2025-09-25,NSE:JSWCEMENT,146.49,147.2,143.25,143.85,2668528.0,-1.7686424474187403,-0.5027857045794327
29,2025-09-26,NSE:JSWCEMENT,143.85,144.0,139.79,141.36,3093693.0,-1.730969760166827,-1.7686424474187403
30,2025-09-29,NSE:JSWCEMENT,141.0,142.76,140.01,140.27,1774082.0,-0.7710809281267709,-1.730969760166827
31,2025-09-30,NSE:JSWCEMENT,140.75,141.2,137.45,137.89,2064210.0,-1.696727739359823,-0.7710809281267709
32,2025-10-01,NSE:JSWCEMENT,137.57,139.2,135.9,138.46,3018045.0,0.4133729784611078,-1.696727739359823
33,2025-10-03,NSE:JSWCEMENT,138.8,139.4,137.79,138.86,1601643.0,0.28889209880110184,0.4133729784611078
34,2025-10-06,NSE:JSWCEMENT,141.1,142.64,139.51,140.86,3324094.0,1.4402995823131208,0.28889209880110184
35,2025-10-07,NSE:JSWCEMENT,140.86,141.17,139.26,139.74,1136102.0,-0.7951157177339234,1.4402995823131208
