,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2018-01-29,NSE:NEWGEN,127.050005,133.350005,123.125,126.199995,28016700.0,,
1,2018-01-30,NSE:NEWGEN,125.35,130.5,117.199995,126.475,4072884.0,0.21791205300760358,
2,2018-01-31,NSE:NEWGEN,126.0,129.0,122.275,124.775,1317210.0,-1.344139157936342,0.21791205300760358
3,2018-02-01,NSE:NEWGEN,122.5,130.5,121.25,126.475,1569362.0,1.3624524143458134,-1.344139157936342
4,2018-02-02,NSE:NEWGEN,123.074995,125.9,115.824995,116.949995,967486.0,-7.531136588258544,1.3624524143458134
5,2018-02-05,NSE:NEWGEN,112.550005,118.699995,111.5,116.300005,437386.0,-0.5557845470621888,-7.531136588258544
6,2018-02-06,NSE:NEWGEN,112.0,113.975,107.5,113.300005,607310.0,-2.579535572676889,-0.5557845470621888
7,2018-02-07,NSE:NEWGEN,115.0,118.1,114.175005,116.65,415514.0,2.9567474423324227,-2.579535572676889
8,2018-02-08,NSE:NEWGEN,116.65,119.475,116.65,118.949995,318680.0,1.9717059579939953,2.9567474423324227
9,2018-02-09,NSE:NEWGEN,117.5,121.5,115.550005,118.15,264570.0,-0.6725473170469621,1.9717059579939953
10,2018-02-12,NSE:NEWGEN,118.949995,126.0,118.775,124.300005,639302.0,5.205251798561145,-0.6725473170469621
11,2018-02-14,NSE:NEWGEN,124.449995,125.9,122.775,124.65,305388.0,0.2815727963969164,5.205251798561145
12,2018-02-15,NSE:NEWGEN,125.0,125.75,119.0,119.574995,184698.0,-4.071403931006822,0.2815727963969164
13,2018-02-16,NSE:NEWGEN,120.125,122.0,115.800005,117.025,183854.0,-2.1325486988312194,-4.071403931006822
14,2018-02-19,NSE:NEWGEN,115.074995,118.4,114.1,114.9,124816.0,-1.815851313821833,-2.1325486988312194
15,2018-02-20,NSE:NEWGEN,115.199995,116.725,114.0,115.0,118974.0,0.0870322019147035,-1.815851313821833
16,2018-02-21,NSE:NEWGEN,115.5,116.525,113.625,115.1,147378.0,0.08695652173912549,0.0870322019147035
17,2018-02-22,NSE:NEWGEN,114.449995,118.824995,114.449995,118.275,187254.0,2.7584708948740326,0.08695652173912549
18,2018-02-23,NSE:NEWGEN,118.475,119.1,116.25,117.0,96720.0,-1.0779961953075508,2.7584708948740326
19,2018-02-26,NSE:NEWGEN,117.225,122.125,115.550005,119.525,227608.0,2.158119658119663,-1.0779961953075508
20,2018-02-27,NSE:NEWGEN,122.949995,124.0,120.5,122.25,392614.0,2.2798577703409277,2.158119658119663
21,2018-02-28,NSE:NEWGEN,122.4,123.0,120.0,121.75,228566.0,-0.408997955010225,2.2798577703409277
22,2018-03-01,NSE:NEWGEN,121.675005,124.0,121.675005,122.050005,344384.0,0.24641067761806876,-0.408997955010225
23,2018-03-05,NSE:NEWGEN,122.5,123.9,119.525,120.949995,213998.0,-0.9012781277641059,0.24641067761806876
24,2018-03-06,NSE:NEWGEN,121.25,122.675005,118.75,119.275,117204.0,-1.384865704211063,-0.9012781277641059
25,2018-03-07,NSE:NEWGEN,119.0,121.0,116.0,117.925005,134202.0,-1.1318339970656104,-1.384865704211063
26,2018-03-08,NSE:NEWGEN,118.125,119.9,117.5,119.125,135362.0,1.0175916464875292,-1.1318339970656104
27,2018-03-09,NSE:NEWGEN,119.125,120.199995,118.125,119.050005,101176.0,-0.06295487932843756,1.0175916464875292
28,2018-03-12,NSE:NEWGEN,119.65,122.925005,119.65,121.725,230308.0,2.246950766612732,-0.06295487932843756
29,2018-03-13,NSE:NEWGEN,121.324995,122.425005,120.15,121.525,135182.0,-0.16430478537686477,2.246950766612732
30,2018-03-14,NSE:NEWGEN,121.475,121.85,119.025,119.449995,52490.0,-1.7074717136391724,-0.16430478537686477
31,2018-03-15,NSE:NEWGEN,119.025,120.275,119.0,119.35,112524.0,-0.08371285406919184,-1.7074717136391724
32,2018-03-16,NSE:NEWGEN,119.4,120.949995,119.0,119.725,587442.0,0.31420192710515293,-0.08371285406919184
33,2018-03-19,NSE:NEWGEN,119.275,121.0,116.300005,116.949995,50194.0,-2.3178158279390213,0.31420192710515293
34,2018-03-20,NSE:NEWGEN,116.275,116.800005,114.65,114.975,173574.0,-1.6887516754489875,-2.3178158279390213
35,2018-03-21,NSE:NEWGEN,115.525,116.65,114.199995,115.225,146134.0,0.2174385736029572,-1.6887516754489875
36,2018-03-22,NSE:NEWGEN,115.300005,116.35,114.0,114.525,97958.0,-0.6075070514211227,0.2174385736029572
37,2018-03-23,NSE:NEWGEN,113.4,114.5,110.525,112.5,151792.0,-1.768172888015722,-0.6075070514211227
38,2018-03-26,NSE:NEWGEN,114.975,114.975,113.300005,114.074995,71888.0,1.3999955555555565,-1.768172888015722
39,2018-03-27,NSE:NEWGEN,114.5,115.4,110.550005,113.675005,64358.0,-0.3506377536987861,1.3999955555555565
40,2018-03-28,NSE:NEWGEN,114.35,116.9,113.75,115.9,81336.0,1.9573300216701173,-0.3506377536987861
41,2018-04-02,NSE:NEWGEN,115.9,118.775,115.0,117.675005,56316.0,1.5314969801553002,1.9573300216701173
42,2018-04-03,NSE:NEWGEN,119.35,119.35,116.5,117.324995,43690.0,-0.29743784587049515,1.5314969801553002
43,2018-04-04,NSE:NEWGEN,118.449995,120.0,116.9,118.675005,218496.0,1.1506584764823535,-0.29743784587049515
44,2018-04-05,NSE:NEWGEN,118.925005,121.0,118.0,118.4,82672.0,-0.2317295036136658,1.1506584764823535
45,2018-04-06,NSE:NEWGEN,117.5,122.275,117.5,120.65,101284.0,1.900337837837838,-0.2317295036136658
46,2018-04-09,NSE:NEWGEN,120.025,121.5,119.475,119.949995,93276.0,-0.580194778284297,1.900337837837838
47,2018-04-10,NSE:NEWGEN,120.0,120.5,119.0,119.975,213348.0,0.02084618677974356,-0.580194778284297
48,2018-04-11,NSE:NEWGEN,120.225,121.449995,119.574995,120.65,52836.0,0.5626172119191593,0.02084618677974356
49,2018-04-12,NSE:NEWGEN,120.5,121.175005,118.0,120.449995,244630.0,-0.16577289680895516,0.5626172119191593
50,2018-04-13,NSE:NEWGEN,120.0,122.5,119.25,121.625,130728.0,0.9755127013496336,-0.16577289680895516
51,2018-04-16,NSE:NEWGEN,121.5,122.0,119.525,119.875,36904.0,-1.4388489208633095,0.9755127013496336
52,2018-04-17,NSE:NEWGEN,119.975,120.625,118.25,118.65,25632.0,-1.0218978102189735,-1.4388489208633095
53,2018-04-18,NSE:NEWGEN,118.5,119.199995,116.4,116.9,47332.0,-1.4749262536873156,-1.0218978102189735
54,2018-04-19,NSE:NEWGEN,116.25,118.275,114.800005,115.425005,64816.0,-1.2617579127459426,-1.4749262536873156
55,2018-04-20,NSE:NEWGEN,115.5,117.775,115.074995,116.175005,74484.0,0.6497725514501819,-1.2617579127459426
56,2018-04-23,NSE:NEWGEN,116.5,121.725,116.5,118.65,89102.0,2.130402318467735,0.6497725514501819
57,2018-04-24,NSE:NEWGEN,118.425005,120.85,118.425005,118.725,32690.0,0.06321112515801822,2.130402318467735
58,2018-04-25,NSE:NEWGEN,118.625,119.800005,116.125,116.725,51820.0,-1.6845651716150771,0.06321112515801822
59,2018-04-26,NSE:NEWGEN,117.5,120.074995,116.025,119.375,83310.0,2.2702934247162183,-1.6845651716150771
60,2018-04-27,NSE:NEWGEN,119.0,120.275,117.25,119.65,82836.0,0.23036649214660163,2.2702934247162183
61,2018-04-30,NSE:NEWGEN,120.15,130.399995,118.324995,125.574995,785570.0,4.951938988717088,0.23036649214660163
62,2018-05-02,NSE:NEWGEN,125.975,129.850005,124.5,125.525,177010.0,-0.03981286242535432,4.951938988717088
63,2018-05-03,NSE:NEWGEN,125.35,125.35,122.0,123.025,57962.0,-1.991635132443736,-0.03981286242535432
64,2018-05-04,NSE:NEWGEN,123.15,126.0,122.9,124.5,119454.0,1.1989433042064574,-1.991635132443736
65,2018-05-07,NSE:NEWGEN,125.5,128.0,124.800005,127.35,169046.0,2.2891566265060193,1.1989433042064574
66,2018-05-08,NSE:NEWGEN,128.5,131.350005,127.275,127.6,572346.0,0.19630938358853553,2.2891566265060193
67,2018-05-09,NSE:NEWGEN,129.399995,130.850005,127.550005,127.65,100862.0,0.03918495297806534,0.19630938358853553
68,2018-05-10,NSE:NEWGEN,127.775,129.449995,124.5,124.775,41320.0,-2.2522522522522523,0.03918495297806534
69,2018-05-11,NSE:NEWGEN,124.775,128.350005,124.074995,125.225,59862.0,0.3606491685032968,-2.2522522522522523
70,2018-05-14,NSE:NEWGEN,124.25,127.0,124.25,126.375,104968.0,0.9183469754442051,0.3606491685032968
71,2018-05-15,NSE:NEWGEN,125.525,129.5,125.525,127.074995,163748.0,0.5539030662710198,0.9183469754442051
72,2018-05-16,NSE:NEWGEN,126.449995,129.0,125.6,127.35,95260.0,0.216411576486777,0.5539030662710198
73,2018-05-17,NSE:NEWGEN,126.550005,135.0,126.375,131.899995,698566.0,3.5728268551236715,0.216411576486777
74,2018-05-18,NSE:NEWGEN,133.425005,136.0,129.0,129.699995,277622.0,-1.667930313416607,3.5728268551236715
75,2018-05-21,NSE:NEWGEN,131.0,132.225005,128.199995,128.949995,117572.0,-0.5782575396398435,-1.667930313416607
76,2018-05-22,NSE:NEWGEN,128.949995,131.0,123.050005,125.949995,565754.0,-2.3264832232060186,-0.5782575396398435
77,2018-05-23,NSE:NEWGEN,126.0,129.949995,124.0,126.375,221546.0,0.3374394734989856,-2.3264832232060186
78,2018-05-24,NSE:NEWGEN,127.425005,130.324995,124.85,125.574995,195322.0,-0.6330405539070217,0.3374394734989856
79,2018-05-25,NSE:NEWGEN,126.225,128.75,126.225,128.449995,227640.0,2.2894685363117078,-0.6330405539070217
80,2018-05-28,NSE:NEWGEN,128.725005,130.0,128.274995,129.024995,151166.0,0.44764501547858265,2.2894685363117078
81,2018-05-29,NSE:NEWGEN,128.975005,129.149995,126.0,127.175005,57088.0,-1.433822958102026,0.44764501547858265
82,2018-05-30,NSE:NEWGEN,126.0,128.175005,125.5,125.925005,62132.0,-0.9828975434284434,-1.433822958102026
83,2018-05-31,NSE:NEWGEN,126.199995,134.0,126.175005,133.5,682666.0,6.015481198511766,-0.9828975434284434
84,2018-06-01,NSE:NEWGEN,132.0,136.0,131.100005,133.050005,205114.0,-0.3370749063670421,6.015481198511766
85,2018-06-04,NSE:NEWGEN,127.775,132.0,126.0,126.4,54504.0,-4.998124577297079,-0.3370749063670421
86,2018-06-05,NSE:NEWGEN,126.4,129.199995,125.0,125.699995,148318.0,-0.5538014240506364,-4.998124577297079
87,2018-06-06,NSE:NEWGEN,123.75,129.975005,123.75,128.649995,80642.0,2.346857690805786,-0.5538014240506364
88,2018-06-07,NSE:NEWGEN,129.725005,129.975005,126.125,127.65,56478.0,-0.7772989031208157,2.346857690805786
89,2018-06-08,NSE:NEWGEN,128.475005,131.100005,127.0,129.574995,108602.0,1.5080258519388918,-0.7772989031208157
90,2018-06-11,NSE:NEWGEN,132.75,132.75,127.5,128.850005,48436.0,-0.5595138166897025,1.5080258519388918
91,2018-06-12,NSE:NEWGEN,128.300005,131.5,127.800005,130.875,62520.0,1.5715909362983647,-0.5595138166897025
92,2018-06-13,NSE:NEWGEN,131.975005,131.975005,127.0,127.449995,43128.0,-2.617004775549187,1.5715909362983647
93,2018-06-14,NSE:NEWGEN,126.125,128.0,124.5,125.1,117582.0,-1.84385648661658,-2.617004775549187
94,2018-06-15,NSE:NEWGEN,126.25,126.300005,124.75,125.300005,60142.0,0.159876099120707,-1.84385648661658
95,2018-06-18,NSE:NEWGEN,124.5,128.824995,124.5,125.550005,113130.0,0.19952114128008214,0.159876099120707
96,2018-06-19,NSE:NEWGEN,125.5,127.4,119.0,124.525,223440.0,-0.8164117556188014,0.19952114128008214
97,2018-06-20,NSE:NEWGEN,122.5,126.475,122.5,125.1,67560.0,0.461754667737393,-0.8164117556188014
98,2018-06-21,NSE:NEWGEN,126.0,128.050005,124.225,126.074995,59188.0,0.7793725019984069,0.461754667737393
99,2018-06-22,NSE:NEWGEN,126.949995,127.949995,124.975,126.775,109740.0,0.5552290523588793,0.7793725019984069
100,2018-06-25,NSE:NEWGEN,123.75,129.125,123.75,125.074995,72242.0,-1.3409623348452016,0.5552290523588793
101,2018-06-26,NSE:NEWGEN,126.975,127.475,122.5,122.875,47416.0,-1.7589407059340687,-1.3409623348452016
102,2018-06-27,NSE:NEWGEN,123.875,126.25,117.15,121.525,116092.0,-1.0986775178026402,-1.7589407059340687
103,2018-06-28,NSE:NEWGEN,120.5,124.5,117.550005,123.175005,87304.0,1.3577494342727776,-1.0986775178026402
104,2018-06-29,NSE:NEWGEN,126.625,129.949995,121.074995,126.675005,140414.0,2.841485575746476,1.3577494342727776
105,2018-07-02,NSE:NEWGEN,126.375,128.975005,122.050005,123.125,40436.0,-2.802451043913516,2.841485575746476
106,2018-07-03,NSE:NEWGEN,123.125,124.699995,120.050005,121.5,43490.0,-1.3197969543147208,-2.802451043913516
107,2018-07-04,NSE:NEWGEN,120.25,124.5,120.25,124.1,42822.0,2.139917695473246,-1.3197969543147208
108,2018-07-05,NSE:NEWGEN,124.025,125.0,122.0,122.525,18724.0,-1.2691377921031335,2.139917695473246
109,2018-07-06,NSE:NEWGEN,123.9,124.25,119.300005,121.775,93166.0,-0.6121199755152009,-1.2691377921031335
110,2018-07-09,NSE:NEWGEN,123.5,123.5,119.6,120.699995,89446.0,-0.8827797166906215,-0.6121199755152009
111,2018-07-10,NSE:NEWGEN,120.0,122.25,116.800005,118.75,87404.0,-1.6155717322109262,-0.8827797166906215
112,2018-07-11,NSE:NEWGEN,118.5,120.699995,118.5,118.975,47264.0,0.18947368421052155,-1.6155717322109262
113,2018-07-12,NSE:NEWGEN,120.0,121.5,118.550005,119.1,38998.0,0.10506408909434756,0.18947368421052155
114,2018-07-13,NSE:NEWGEN,120.9,122.0,118.949995,121.025,69774.0,1.6162888329135279,0.10506408909434756
115,2018-07-16,NSE:NEWGEN,123.375,123.375,119.0,120.025,16574.0,-0.8262755629002272,1.6162888329135279
116,2018-07-17,NSE:NEWGEN,120.0,121.925005,118.550005,118.875,25408.0,-0.9581337221412252,-0.8262755629002272
117,2018-07-18,NSE:NEWGEN,119.5,121.5,118.25,120.6,42832.0,1.4511041009463674,-0.9581337221412252
118,2018-07-19,NSE:NEWGEN,121.1,122.025,119.125,120.5,28012.0,-0.08291873963515284,1.4511041009463674
119,2018-07-20,NSE:NEWGEN,119.074995,121.324995,117.0,117.85,47946.0,-2.1991701244813324,-0.08291873963515284
120,2018-07-23,NSE:NEWGEN,120.25,120.25,117.75,119.225,14372.0,1.1667373780229104,-2.1991701244813324
121,2018-07-24,NSE:NEWGEN,120.025,120.275,117.775,119.75,27656.0,0.4403438876074696,1.1667373780229104
122,2018-07-25,NSE:NEWGEN,120.5,121.15,119.625,120.725,17828.0,0.8141962421711852,0.4403438876074696
123,2018-07-26,NSE:NEWGEN,120.975,121.75,120.0,120.275,12666.0,-0.37274798094842715,0.8141962421711852
124,2018-07-27,NSE:NEWGEN,118.675005,121.225,118.675005,120.050005,27006.0,-0.18706713780919304,-0.37274798094842715
125,2018-07-30,NSE:NEWGEN,119.074995,120.699995,119.0,119.425005,23286.0,-0.520616388145923,-0.18706713780919304
126,2018-07-31,NSE:NEWGEN,119.75,121.5,119.75,120.275,16180.0,0.7117395557153269,-0.520616388145923
127,2018-08-01,NSE:NEWGEN,120.5,122.199995,119.824995,121.4,17374.0,0.9353564747453752,0.7117395557153269
128,2018-08-02,NSE:NEWGEN,121.4,126.025,112.75,116.0,609428.0,-4.448105436573316,0.9353564747453752
129,2018-08-03,NSE:NEWGEN,117.050005,119.35,115.0,116.9,51954.0,0.7758620689655221,-4.448105436573316
130,2018-08-06,NSE:NEWGEN,118.75,118.75,112.550005,114.550005,88582.0,-2.0102609067579187,0.7758620689655221
131,2018-08-07,NSE:NEWGEN,116.824995,118.75,115.699995,118.300005,56910.0,3.2736794729952217,-2.0102609067579187
132,2018-08-08,NSE:NEWGEN,118.0,120.5,117.949995,119.800005,35012.0,1.267962752833358,3.2736794729952217
133,2018-08-09,NSE:NEWGEN,117.525,120.375,117.525,120.025,28622.0,0.18780884024170694,1.267962752833358
134,2018-08-10,NSE:NEWGEN,120.0,121.0,119.875,120.074995,20582.0,0.041653822120387894,0.18780884024170694
135,2018-08-13,NSE:NEWGEN,118.800005,121.0,118.800005,120.15,75430.0,0.062465128564031525,0.041653822120387894
136,2018-08-14,NSE:NEWGEN,120.9,120.9,119.050005,120.15,18590.0,0.0,0.062465128564031525
137,2018-08-16,NSE:NEWGEN,120.75,120.75,117.775,119.225,30780.0,-0.7698709945901052,0.0
138,2018-08-17,NSE:NEWGEN,118.5,119.800005,116.074995,117.025,21252.0,-1.8452505766407958,-0.7698709945901052
139,2018-08-20,NSE:NEWGEN,118.324995,127.4,116.275,121.300005,2161358.0,3.6530698568681843,-1.8452505766407958
140,2018-08-21,NSE:NEWGEN,123.449995,125.050005,120.800005,121.275,99366.0,-0.020614178869978662,3.6530698568681843
141,2018-08-23,NSE:NEWGEN,119.300005,120.1,117.5,118.275,38870.0,-2.4737167594310447,-0.020614178869978662
142,2018-08-24,NSE:NEWGEN,119.0,120.475,116.5,120.0,61276.0,1.4584654407102045,-2.4737167594310447
143,2018-08-27,NSE:NEWGEN,118.800005,120.975,118.0,119.925005,37544.0,-0.06249583333333438,1.4584654407102045
144,2018-08-28,NSE:NEWGEN,119.050005,120.025,118.775,119.625,20406.0,-0.2501605065599111,-0.06249583333333438
145,2018-08-29,NSE:NEWGEN,121.975,121.975,119.275,119.6,31430.0,-0.020898641588301514,-0.2501605065599111
146,2018-08-30,NSE:NEWGEN,119.050005,120.0,119.0,119.449995,19768.0,-0.12542224080266978,-0.020898641588301514
147,2018-08-31,NSE:NEWGEN,120.875,120.875,117.050005,119.550005,50594.0,0.0837254116251721,-0.12542224080266978
148,2018-09-03,NSE:NEWGEN,120.975,120.975,117.0,118.324995,57038.0,-1.0246841896828005,0.0837254116251721
149,2018-09-04,NSE:NEWGEN,119.0,119.15,115.85,116.75,44978.0,-1.3310754840936196,-1.0246841896828005
150,2018-09-05,NSE:NEWGEN,117.5,118.5,116.5,117.199995,12910.0,0.3854346895074957,-1.3310754840936196
151,2018-09-06,NSE:NEWGEN,117.5,119.525,116.775,118.275,19786.0,0.9172398002235448,0.3854346895074957
152,2018-09-07,NSE:NEWGEN,118.975,121.0,117.699995,119.125,53438.0,0.7186641302050257,0.9172398002235448
153,2018-09-10,NSE:NEWGEN,120.0,120.5,117.75,118.725,54338.0,-0.3357817418677907,0.7186641302050257
154,2018-09-11,NSE:NEWGEN,119.975,121.0,118.550005,120.050005,355958.0,1.1160286376079214,-0.3357817418677907
155,2018-09-12,NSE:NEWGEN,119.1,120.949995,118.6,119.175005,59354.0,-0.7288629434042923,1.1160286376079214
156,2018-09-14,NSE:NEWGEN,119.225,120.324995,118.775,119.949995,26934.0,0.650295756228416,-0.7288629434042923
157,2018-09-17,NSE:NEWGEN,120.975,121.275,118.525,119.225,56100.0,-0.6044143645024803,0.650295756228416
158,2018-09-18,NSE:NEWGEN,119.949995,122.5,118.25,120.199995,83886.0,0.8177773118054158,-0.6044143645024803
159,2018-09-19,NSE:NEWGEN,119.125,122.300005,119.125,120.125,131680.0,-0.062391849517132884,0.8177773118054158
160,2018-09-21,NSE:NEWGEN,121.75,122.525,113.199995,114.425005,118070.0,-4.745053069719043,-0.062391849517132884
161,2018-09-24,NSE:NEWGEN,115.775,117.050005,112.525,113.300005,31050.0,-0.9831767103702551,-4.745053069719043
162,2018-09-25,NSE:NEWGEN,113.025,116.9,113.025,115.800005,241384.0,2.2065312353693187,-0.9831767103702551
163,2018-09-26,NSE:NEWGEN,114.775,117.25,113.6,114.025,14512.0,-1.5328194502236792,2.2065312353693187
164,2018-09-27,NSE:NEWGEN,116.35,116.35,113.0,113.675005,11202.0,-0.30694584520939,-1.5328194502236792
165,2018-09-28,NSE:NEWGEN,113.525,116.300005,108.0,109.275,37574.0,-3.8706881957031745,-0.30694584520939
166,2018-10-01,NSE:NEWGEN,108.0,115.0,106.0,112.025,70992.0,2.516586593456875,-3.8706881957031745
167,2018-10-03,NSE:NEWGEN,114.0,114.0,107.6,111.525,11998.0,-0.44632894443204635,2.516586593456875
168,2018-10-04,NSE:NEWGEN,110.0,112.425005,108.625,109.4,15940.0,-1.9054023761488454,-0.44632894443204635
169,2018-10-05,NSE:NEWGEN,108.975,109.0,107.5,108.074995,14030.0,-1.2111563071298028,-1.9054023761488454
170,2018-10-08,NSE:NEWGEN,100.5,110.975,100.5,109.6,149150.0,1.4110618279464118,-1.2111563071298028
171,2018-10-09,NSE:NEWGEN,110.5,115.0,109.4,114.375,45550.0,4.356751824817524,1.4110618279464118
172,2018-10-10,NSE:NEWGEN,114.975,119.0,111.5,117.0,44820.0,2.2950819672131146,4.356751824817524
173,2018-10-11,NSE:NEWGEN,114.5,118.5,113.800005,116.949995,25586.0,-0.042739316239315164,2.2950819672131146
174,2018-10-12,NSE:NEWGEN,115.0,120.85,115.0,118.1,48764.0,0.9833305251530734,-0.042739316239315164
175,2018-10-15,NSE:NEWGEN,120.475,120.475,116.625,118.275,28228.0,0.14817950889078016,0.9833305251530734
176,2018-10-16,NSE:NEWGEN,115.0,122.75,115.0,120.550005,162650.0,1.9234876347495184,0.14817950889078016
177,2018-10-17,NSE:NEWGEN,121.0,121.225,114.775,117.15,36966.0,-2.8204105010198823,1.9234876347495184
178,2018-10-19,NSE:NEWGEN,114.525,118.525,114.525,117.5,22718.0,0.29876227059325167,-2.8204105010198823
179,2018-10-22,NSE:NEWGEN,119.25,119.25,112.449995,114.4,31908.0,-2.6382978723404205,0.29876227059325167
180,2018-10-23,NSE:NEWGEN,111.550005,120.0,110.050005,117.875,50526.0,3.0375874125874076,-2.6382978723404205
181,2018-10-24,NSE:NEWGEN,119.300005,119.300005,115.074995,117.199995,21340.0,-0.572644750795333,3.0375874125874076
182,2018-10-25,NSE:NEWGEN,115.275,119.85,115.025,117.875,27546.0,0.575942857335445,-0.572644750795333
183,2018-10-26,NSE:NEWGEN,116.275,117.675005,115.225,115.949995,11780.0,-1.6330901378578992,0.575942857335445
184,2018-10-29,NSE:NEWGEN,115.75,131.5,115.75,125.925005,242920.0,8.602855049713455,-1.6330901378578992
185,2018-10-30,NSE:NEWGEN,124.475,128.399995,120.050005,124.9,193976.0,-0.8139805116545304,8.602855049713455
186,2018-10-31,NSE:NEWGEN,123.550005,124.574995,121.025,123.675005,23692.0,-0.9807806244996051,-0.8139805116545304
187,2018-11-01,NSE:NEWGEN,122.574995,123.824995,118.0,120.824995,74224.0,-2.3044349179529022,-0.9807806244996051
188,2018-11-02,NSE:NEWGEN,120.699995,124.975,120.300005,123.550005,71414.0,2.2553363234155297,-2.3044349179529022
189,2018-11-05,NSE:NEWGEN,124.949995,130.0,121.375,128.524995,169662.0,4.0267015772277714,2.2553363234155297
190,2018-11-06,NSE:NEWGEN,128.524995,131.0,127.074995,129.125,129172.0,0.466839154516217,4.0267015772277714
191,2018-11-07,NSE:NEWGEN,127.574995,129.899995,127.574995,129.25,24200.0,0.0968054211035818,0.466839154516217
192,2018-11-09,NSE:NEWGEN,127.625,129.449995,126.025,128.850005,27048.0,-0.3094738878143055,0.0968054211035818
193,2018-11-12,NSE:NEWGEN,128.850005,129.774995,125.0,128.774995,95282.0,-0.058214976398348,-0.3094738878143055
194,2018-11-13,NSE:NEWGEN,127.0,129.600005,127.0,128.074995,62274.0,-0.5435837912476631,-0.058214976398348
195,2018-11-14,NSE:NEWGEN,128.074995,153.675005,128.0,148.600005,1863106.0,16.025774586210222,-0.5435837912476631
