,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2013-04-16,NSE:NIBL,5.35,5.35,5.35,5.35,104.0,,
1,2013-04-17,NSE:NIBL,5.6,5.6,5.6,5.6,58.0,4.672897196261683,
2,2013-04-18,NSE:NIBL,5.85,5.85,5.85,5.85,437.0,4.464285714285714,4.672897196261683
3,2013-04-22,NSE:NIBL,6.1,6.1,6.1,6.1,264.0,4.273504273504273,4.464285714285714
4,2013-04-23,NSE:NIBL,6.4,6.4,6.4,6.4,1438.0,4.918032786885258,4.273504273504273
5,2013-04-25,NSE:NIBL,6.7,6.7,6.7,6.7,50.0,4.687499999999997,4.918032786885258
6,2013-04-26,NSE:NIBL,7.0,7.0,7.0,7.0,38.0,4.477611940298504,4.687499999999997
7,2013-04-29,NSE:NIBL,7.35,7.35,7.35,7.35,11.0,4.999999999999995,4.477611940298504
8,2013-04-30,NSE:NIBL,7.7,7.7,7.7,7.7,75.0,4.761904761904769,4.999999999999995
9,2013-05-02,NSE:NIBL,8.45,8.45,8.45,8.45,133.0,9.740259740259729,4.761904761904769
10,2013-05-03,NSE:NIBL,9.25,9.25,9.25,9.25,85.0,9.467455621301784,9.740259740259729
11,2013-05-06,NSE:NIBL,10.15,10.15,10.15,10.15,6522.0,9.729729729729733,9.467455621301784
12,2013-05-07,NSE:NIBL,10.65,10.65,10.65,10.65,70.0,4.926108374384236,9.729729729729733
13,2013-05-08,NSE:NIBL,11.15,11.15,10.5,10.95,40563.0,2.8169014084506943,4.926108374384236
14,2013-05-09,NSE:NIBL,10.25,10.9,10.15,10.2,6398.0,-6.849315068493151,2.8169014084506943
15,2013-05-10,NSE:NIBL,10.85,10.85,9.95,10.45,8475.0,2.450980392156863,-6.849315068493151
16,2013-05-13,NSE:NIBL,9.5,10.25,9.4,9.4,1719.0,-10.047846889952144,2.450980392156863
17,2013-05-14,NSE:NIBL,9.1,9.1,8.95,8.95,920.0,-4.7872340425532025,-10.047846889952144
18,2013-05-15,NSE:NIBL,8.55,9.35,8.55,9.35,293.0,4.469273743016764,-4.7872340425532025
19,2013-05-16,NSE:NIBL,9.0,9.75,9.0,9.6,1743.0,2.6737967914438503,4.469273743016764
20,2013-05-17,NSE:NIBL,9.55,9.55,9.25,9.25,4236.0,-3.64583333333333,2.6737967914438503
