,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2004-04-27,NSE:POONAWALLA,5.0,5.0,5.0,5.0,525.0,,
1,2004-04-30,NSE:POONAWALLA,5.4,5.4,5.4,5.4,250.0,8.000000000000007,
2,2004-05-03,NSE:POONAWALLA,5.4599998,5.4599998,5.03,5.03,1025.0,-6.851851851851853,8.000000000000007
3,2004-05-04,NSE:POONAWALLA,5.3,5.4599998,5.15,5.1599998,14600.0,2.5844890656063484,-6.851851851851853
4,2004-05-05,NSE:POONAWALLA,5.38,5.3900002,5.05,5.25,47240.0,1.7441899900848916,2.5844890656063484
5,2004-05-06,NSE:POONAWALLA,5.4,5.4,5.17,5.22,15050.0,-0.5714285714285762,1.7441899900848916
6,2004-05-07,NSE:POONAWALLA,5.32,5.55,5.0599998,5.1400002,47375.0,-1.5325632183907953,-0.5714285714285762
7,2004-05-10,NSE:POONAWALLA,5.18,5.4099998,5.18,5.3900002,86140.0,4.863813040318559,-1.5325632183907953
8,2004-05-11,NSE:POONAWALLA,5.37,5.4,5.1599998,5.1599998,24500.0,-4.267168672832343,4.863813040318559
9,2004-05-12,NSE:POONAWALLA,5.58,5.58,5.18,5.35,32420.0,3.6821745613245973,-4.267168672832343
10,2004-05-13,NSE:POONAWALLA,5.4,5.4,5.3,5.33,14750.0,-0.3738317757009266,3.6821745613245973
11,2004-05-14,NSE:POONAWALLA,5.17,5.17,4.6,5.05,16045.0,-5.253283302063794,-0.3738317757009266
12,2004-05-17,NSE:POONAWALLA,4.5599998,4.8,4.5599998,4.6900002,12650.0,-7.128708910891085,-5.253283302063794
13,2004-05-18,NSE:POONAWALLA,4.22,5.0,4.22,4.5599998,7100.0,-2.7718634212425006,-7.128708910891085
14,2004-05-19,NSE:POONAWALLA,4.98,5.0,4.98,4.98,5500.0,9.210531105725059,-2.7718634212425006
15,2004-05-20,NSE:POONAWALLA,5.2,5.2400002,4.9,5.0,7375.0,0.40160642570280264,9.210531105725059
16,2004-05-21,NSE:POONAWALLA,5.0,5.02,4.9,4.9,10650.0,-1.9999999999999927,0.40160642570280264
17,2004-05-24,NSE:POONAWALLA,5.2,5.2,4.68,4.9099998,13025.0,0.20407755102039238,-1.9999999999999927
18,2004-05-25,NSE:POONAWALLA,4.9,4.9,4.85,4.85,1625.0,-1.221991903136125,0.20407755102039238
19,2004-05-26,NSE:POONAWALLA,4.75,4.75,4.7,4.7099998,3500.0,-2.886602061855657,-1.221991903136125
20,2004-05-27,NSE:POONAWALLA,5.17,5.17,4.8,4.8599998,2050.0,3.184713511028163,-2.886602061855657
21,2004-05-28,NSE:POONAWALLA,4.9400002,4.9400002,4.6,4.63,2065.0,-4.732506367592852,3.184713511028163
22,2004-05-31,NSE:POONAWALLA,4.0599998,4.37,4.0599998,4.13,1230.0,-10.799136069114471,-4.732506367592852
23,2004-06-01,NSE:POONAWALLA,4.6,4.6,4.2599998,4.2599998,1600.0,3.1476949152542426,-10.799136069114471
24,2004-06-02,NSE:POONAWALLA,4.6,4.6,4.6,4.6,50.0,7.9812257268180975,3.1476949152542426
25,2004-06-03,NSE:POONAWALLA,4.25,4.25,4.2400002,4.2400002,1000.0,-7.826082608695647,7.9812257268180975
26,2004-06-04,NSE:POONAWALLA,4.2400002,4.78,4.2,4.78,4150.0,12.735843738875305,-7.826082608695647
27,2004-06-07,NSE:POONAWALLA,4.43,4.43,4.42,4.42,1500.0,-7.531380753138081,12.735843738875305
