,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,1999-01-01,NSE:RCF,8.0,8.0,8.0,8.0,100.0,,
1,1999-01-04,NSE:RCF,8.2,8.2,7.8,8.0,1400.0,0.0,
2,1999-01-05,NSE:RCF,7.4,8.0,7.4,8.0,1900.0,0.0,0.0
3,1999-01-06,NSE:RCF,8.0,8.0,7.7,8.0,5400.0,0.0,0.0
4,1999-01-07,NSE:RCF,8.0,8.0,7.95,8.0,2000.0,0.0,0.0
5,1999-01-08,NSE:RCF,8.0,8.0,7.95,8.0,8700.0,0.0,0.0
6,1999-01-11,NSE:RCF,9.7,10.25,8.6,9.25,19900.0,15.625,0.0
7,1999-01-12,NSE:RCF,9.2,9.5,8.75,9.0,10300.0,-2.7027027027027026,15.625
8,1999-01-13,NSE:RCF,11.0,11.0,9.0,9.1,14300.0,1.1111111111111072,-2.7027027027027026
9,1999-01-14,NSE:RCF,8.35,8.6,8.35,8.6,2800.0,-5.4945054945054945,1.1111111111111072
10,1999-01-15,NSE:RCF,8.3,8.3,8.3,8.3,1000.0,-3.4883720930232434,-5.4945054945054945
11,1999-01-18,NSE:RCF,8.1,9.4,8.1,9.4,1500.0,13.253012048192767,-3.4883720930232434
12,1999-01-19,NSE:RCF,8.95,9.0,8.4,8.4,1700.0,-10.638297872340425,13.253012048192767
13,1999-01-21,NSE:RCF,9.0,9.5,8.75,9.5,1000.0,13.09523809523809,-10.638297872340425
14,1999-01-22,NSE:RCF,9.2,9.25,8.75,8.75,1500.0,-7.894736842105263,13.09523809523809
15,1999-01-25,NSE:RCF,8.6,9.0,8.0,8.75,3400.0,0.0,-7.894736842105263
16,1999-01-27,NSE:RCF,9.0,9.0,8.35,8.35,3800.0,-4.571428571428576,0.0
17,1999-01-28,NSE:RCF,8.5,8.6,7.75,8.3,3900.0,-0.5988023952095681,-4.571428571428576
18,1999-02-01,NSE:RCF,8.1,8.15,8.1,8.15,3700.0,-1.8072289156626546,-0.5988023952095681
19,1999-02-02,NSE:RCF,7.0,8.1,7.0,7.75,3000.0,-4.907975460122704,-1.8072289156626546
20,1999-02-03,NSE:RCF,8.2,8.2,8.2,8.2,100.0,5.806451612903216,-4.907975460122704
21,1999-02-04,NSE:RCF,7.75,7.75,7.7,7.7,500.0,-6.0975609756097455,5.806451612903216
