,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2017-12-15,NSE:SHALBY,239.7,254.8,236.45,239.60001,10353180.0,,
1,2017-12-18,NSE:SHALBY,237.05,237.89999,220.0,221.8,1007116.0,-7.429052277585459,
2,2017-12-19,NSE:SHALBY,222.2,224.45,213.10001,216.3,864940.0,-2.479711451758341,-7.429052277585459
3,2017-12-20,NSE:SHALBY,216.95,225.5,214.45,219.14999,783452.0,1.31760980120203,-2.479711451758341
4,2017-12-21,NSE:SHALBY,220.0,223.95,220.0,221.95,331141.0,1.2776683220473732,1.31760980120203
5,2017-12-22,NSE:SHALBY,221.7,223.3,217.89999,219.0,542966.0,-1.3291281820229732,1.2776683220473732
6,2017-12-26,NSE:SHALBY,219.5,220.0,216.3,218.10001,514021.0,-0.41095433789954455,-1.3291281820229732
7,2017-12-27,NSE:SHALBY,218.39999,218.8,212.35001,213.75,532979.0,-1.9945024303300114,-0.41095433789954455
8,2017-12-28,NSE:SHALBY,213.64999,215.7,209.89999,214.35001,615519.0,0.28070643274853685,-1.9945024303300114
9,2017-12-29,NSE:SHALBY,215.0,219.7,214.35001,215.25,522673.0,0.41986935293355127,0.28070643274853685
10,2018-01-01,NSE:SHALBY,217.0,236.89999,217.0,228.2,1687684.0,6.016260162601621,0.41986935293355127
11,2018-01-02,NSE:SHALBY,230.14999,240.85001,230.14999,235.75,937581.0,3.308501314636289,6.016260162601621
12,2018-01-03,NSE:SHALBY,236.5,243.7,235.0,238.8,497297.0,1.2937433722163356,3.308501314636289
13,2018-01-04,NSE:SHALBY,241.60001,245.0,239.35001,243.5,515306.0,1.968174204355104,1.2937433722163356
14,2018-01-05,NSE:SHALBY,245.0,252.0,244.55,247.25,858014.0,1.5400410677618068,1.968174204355104
15,2018-01-08,NSE:SHALBY,250.0,269.79999,250.0,266.75,3573394.0,7.886754297269969,1.5400410677618068
16,2018-01-09,NSE:SHALBY,271.0,274.39999,260.29999,266.25,2184124.0,-0.18744142455482662,7.886754297269969
17,2018-01-10,NSE:SHALBY,261.0,263.35001,250.0,251.35001,1888976.0,-5.596240375586856,-0.18744142455482662
18,2018-01-11,NSE:SHALBY,252.8,255.0,241.05,245.35001,928672.0,-2.3871095131446385,-5.596240375586856
19,2018-01-12,NSE:SHALBY,246.55,248.5,236.10001,237.64999,651372.0,-3.138381775488819,-2.3871095131446385
20,2018-01-15,NSE:SHALBY,239.0,242.75,236.85001,239.14999,415710.0,0.6311803337336559,-3.138381775488819
21,2018-01-16,NSE:SHALBY,238.5,240.25,227.8,229.55,584154.0,-4.0142130049848594,0.6311803337336559
22,2018-01-17,NSE:SHALBY,229.95,240.89999,225.10001,239.75,748559.0,4.443476366804613,-4.0142130049848594
23,2018-01-18,NSE:SHALBY,240.75,244.0,229.39999,230.25,650130.0,-3.962460896767466,4.443476366804613
