,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2025-09-17,NSE:SHRINGARMS,188.5,191.0,182.6,184.88,23282861.0,,
1,2025-09-18,NSE:SHRINGARMS,187.0,193.99,185.5,189.68,12782002.0,2.5962786672436238,
2,2025-09-19,NSE:SHRINGARMS,189.39,192.3,187.62,189.62,3233366.0,-0.03163222269084894,2.5962786672436238
3,2025-09-22,NSE:SHRINGARMS,190.5,198.3,189.1,191.07,5796410.0,0.7646872692753869,-0.03163222269084894
4,2025-09-23,NSE:SHRINGARMS,191.8,193.79,189.35,191.67,2430170.0,0.3140210394096375,0.7646872692753869
5,2025-09-24,NSE:SHRINGARMS,191.61,193.0,187.17,189.63,2474277.0,-1.0643293160118912,0.3140210394096375
6,2025-09-25,NSE:SHRINGARMS,190.0,193.43,184.1,188.44,2144531.0,-0.6275378368401612,-1.0643293160118912
7,2025-09-26,NSE:SHRINGARMS,188.49,190.25,180.6,184.29,2399903.0,-2.2022925068987504,-0.6275378368401612
8,2025-09-29,NSE:SHRINGARMS,182.0,184.9,181.1,182.83,1168524.0,-0.7922296380704213,-2.2022925068987504
9,2025-09-30,NSE:SHRINGARMS,184.0,184.63,177.51,179.17,998824.0,-2.001859651041965,-0.7922296380704213
10,2025-10-01,NSE:SHRINGARMS,179.0,185.0,179.0,183.46,544600.0,2.3943740581570694,-2.001859651041965
11,2025-10-03,NSE:SHRINGARMS,182.55,190.08,182.32,188.41,1137346.0,2.6981358334241734,2.3943740581570694
12,2025-10-06,NSE:SHRINGARMS,189.49,205.9,189.49,200.51,5474011.0,6.422164428639666,2.6981358334241734
13,2025-10-07,NSE:SHRINGARMS,201.8,208.6,199.66,206.03,4012875.0,2.752979901251813,6.422164428639666
14,2025-10-08,NSE:SHRINGARMS,207.75,210.5,201.61,204.81,9238370.0,-0.5921467747415419,2.752979901251813
15,2025-10-09,NSE:SHRINGARMS,203.79,211.5,203.41,208.01,4017738.0,1.5624237097797902,-0.5921467747415419
16,2025-10-10,NSE:SHRINGARMS,208.0,213.35,206.24,211.64,3036652.0,1.7451084082496011,1.5624237097797902
17,2025-10-13,NSE:SHRINGARMS,211.01,211.45,201.65,205.25,1448193.0,-3.0192780192780133,1.7451084082496011
18,2025-10-14,NSE:SHRINGARMS,203.42,203.42,195.7,197.51,2132530.0,-3.771010962241174,-3.0192780192780133
19,2025-10-15,NSE:SHRINGARMS,197.1,200.69,192.6,193.89,1314326.0,-1.8328185914637258,-3.771010962241174
20,2025-10-16,NSE:SHRINGARMS,194.26,197.5,191.0,196.01,1159088.0,1.0934034761978466,-1.8328185914637258
21,2025-10-17,NSE:SHRINGARMS,196.9,198.19,190.0,197.11,1927178.0,0.5611958573542283,1.0934034761978466
22,2025-10-20,NSE:SHRINGARMS,199.0,202.0,196.0,200.91,1041450.0,1.9278575414742947,0.5611958573542283
23,2025-10-21,NSE:SHRINGARMS,203.8,205.2,202.5,204.69,528629.0,1.8814394505002245,1.9278575414742947
24,2025-10-23,NSE:SHRINGARMS,209.0,209.0,204.45,207.38,1381432.0,1.3141824221994225,1.8814394505002245
25,2025-10-24,NSE:SHRINGARMS,208.95,217.0,204.42,213.78,2443138.0,3.0861220947053747,1.3141824221994225
26,2025-10-27,NSE:SHRINGARMS,214.5,217.4,208.27,209.91,2445602.0,-1.810272242492284,3.0861220947053747
27,2025-10-28,NSE:SHRINGARMS,209.91,211.76,207.63,210.56,1903877.0,0.309656519460724,-1.810272242492284
28,2025-10-29,NSE:SHRINGARMS,211.84,218.08,210.56,216.28,2238285.0,2.7165653495440725,0.309656519460724
29,2025-10-30,NSE:SHRINGARMS,217.76,226.85,215.52,224.17,3762522.0,3.648048825596443,2.7165653495440725
30,2025-10-31,NSE:SHRINGARMS,224.99,227.0,221.65,225.27,1591622.0,0.4906990230628643,3.648048825596443
31,2025-11-03,NSE:SHRINGARMS,226.94,235.0,222.5,232.24,2595699.0,3.0940648998978997,0.4906990230628643
32,2025-11-04,NSE:SHRINGARMS,233.68,237.4,227.5,229.31,2206469.0,-1.261625904236999,3.0940648998978997
33,2025-11-06,NSE:SHRINGARMS,228.5,228.95,221.01,223.87,1505890.0,-2.3723343944878104,-1.261625904236999
34,2025-11-07,NSE:SHRINGARMS,223.0,227.0,220.07,224.23,1345960.0,0.1608076115602739,-2.3723343944878104
35,2025-11-10,NSE:SHRINGARMS,226.02,227.46,220.14,223.37,1234419.0,-0.3835347634125609,0.1608076115602739
36,2025-11-11,NSE:SHRINGARMS,225.26,225.26,216.78,219.04,1564087.0,-1.938487710972831,-0.3835347634125609
37,2025-11-12,NSE:SHRINGARMS,220.68,225.94,216.5,218.74,1634665.0,-0.13696128560992646,-1.938487710972831
38,2025-11-13,NSE:SHRINGARMS,219.0,222.0,210.36,212.52,2160383.0,-2.84355856267715,-0.13696128560992646
39,2025-11-14,NSE:SHRINGARMS,213.4,217.5,211.04,215.88,1290500.0,1.5810276679841826,-2.84355856267715
40,2025-11-17,NSE:SHRINGARMS,216.49,219.4,210.1,217.47,1045794.0,0.7365202890494735,1.5810276679841826
41,2025-11-18,NSE:SHRINGARMS,217.99,223.98,215.41,222.21,2030490.0,2.1796109808249455,0.7365202890494735
42,2025-11-19,NSE:SHRINGARMS,223.0,227.3,221.0,225.9,1347210.0,1.6605913325232875,2.1796109808249455
43,2025-11-20,NSE:SHRINGARMS,228.15,230.49,225.64,227.02,2160417.0,0.4957945993802587,1.6605913325232875
44,2025-11-21,NSE:SHRINGARMS,227.87,229.78,223.5,225.38,1961113.0,-0.7224033124834881,0.4957945993802587
45,2025-11-24,NSE:SHRINGARMS,226.92,227.89,223.41,224.83,841494.0,-0.24403230100274337,-0.7224033124834881
46,2025-11-25,NSE:SHRINGARMS,225.18,225.57,220.0,223.32,425153.0,-0.6716185562425029,-0.24403230100274337
47,2025-11-26,NSE:SHRINGARMS,223.9,227.25,222.52,226.46,538026.0,1.4060540927816654,-0.6716185562425029
48,2025-11-27,NSE:SHRINGARMS,227.35,229.4,224.15,224.87,507662.0,-0.7021107480349745,1.4060540927816654
49,2025-11-28,NSE:SHRINGARMS,225.09,228.9,219.39,223.09,1225805.0,-0.7915684617779165,-0.7021107480349745
50,2025-12-01,NSE:SHRINGARMS,224.0,230.0,219.83,222.25,1447284.0,-0.3765296517100737,-0.7915684617779165
51,2025-12-02,NSE:SHRINGARMS,221.71,222.87,217.52,220.18,861467.0,-0.9313835770528652,-0.3765296517100737
52,2025-12-03,NSE:SHRINGARMS,220.4,224.9,218.07,221.75,1327946.0,0.7130529566718108,-0.9313835770528652
53,2025-12-04,NSE:SHRINGARMS,221.88,223.9,220.2,221.35,447964.0,-0.18038331454340728,0.7130529566718108
54,2025-12-05,NSE:SHRINGARMS,221.2,221.85,217.27,219.37,587259.0,-0.8945109555003341,-0.18038331454340728
55,2025-12-08,NSE:SHRINGARMS,220.8,224.95,202.5,205.1,1447895.0,-6.504991566759361,-0.8945109555003341
56,2025-12-09,NSE:SHRINGARMS,204.0,209.4,199.05,207.9,978086.0,1.3651877133105859,-6.504991566759361
57,2025-12-10,NSE:SHRINGARMS,208.45,209.18,203.85,206.08,837894.0,-0.8754208754208721,1.3651877133105859
58,2025-12-11,NSE:SHRINGARMS,206.29,206.29,192.87,194.57,1903201.0,-5.585209627329202,-0.8754208754208721
59,2025-12-12,NSE:SHRINGARMS,195.0,198.5,190.55,196.61,1345801.0,1.0484658477668811,-5.585209627329202
60,2025-12-15,NSE:SHRINGARMS,197.43,207.0,194.68,205.58,1491617.0,4.562331519251309,1.0484658477668811
61,2025-12-16,NSE:SHRINGARMS,205.37,205.37,197.92,199.74,1219356.0,-2.8407432629633247,4.562331519251309
62,2025-12-17,NSE:SHRINGARMS,201.5,214.49,199.2,209.8,4499954.0,5.036547511765296,-2.8407432629633247
63,2025-12-18,NSE:SHRINGARMS,211.35,218.5,210.06,215.97,2473540.0,2.9408960915157234,5.036547511765296
64,2025-12-19,NSE:SHRINGARMS,217.2,221.4,216.4,220.43,1935945.0,2.065101634486275,2.9408960915157234
65,2025-12-22,NSE:SHRINGARMS,221.9,228.0,220.9,227.37,1471251.0,3.1483917797033056,2.065101634486275
66,2025-12-23,NSE:SHRINGARMS,228.69,230.8,225.01,226.52,1050729.0,-0.3738399964815034,3.1483917797033056
67,2025-12-24,NSE:SHRINGARMS,227.19,230.49,226.0,227.87,926707.0,0.5959738654423425,-0.3738399964815034
68,2025-12-26,NSE:SHRINGARMS,228.3,228.43,225.0,225.78,514496.0,-0.9171896256637571,0.5959738654423425
69,2025-12-29,NSE:SHRINGARMS,225.71,225.78,217.81,219.89,997060.0,-2.6087341660023093,-0.9171896256637571
70,2025-12-30,NSE:SHRINGARMS,220.9,225.74,219.41,220.45,640680.0,0.25467279094092604,-2.6087341660023093
71,2025-12-31,NSE:SHRINGARMS,221.27,232.5,221.27,225.97,2271321.0,2.50396915400318,0.25467279094092604
72,2026-01-01,NSE:SHRINGARMS,228.97,239.85,228.97,238.11,3362460.0,5.372394565650314,2.50396915400318
