,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2006-04-24,NSE:SUNTV,250.0,375.725,250.0,366.1625,46342060.0,,
1,2006-04-25,NSE:SUNTV,365.0,370.0,310.25,327.65,14368480.0,-10.517871163759272,
2,2006-04-26,NSE:SUNTV,337.5,337.5,319.25,325.15,2515764.0,-0.7630093087135663,-10.517871163759272
3,2006-04-27,NSE:SUNTV,327.5,341.725,326.0,332.025,2298448.0,2.114408734430263,-0.7630093087135663
4,2006-04-28,NSE:SUNTV,325.0,325.0,280.0,318.3875,1392384.0,-4.107371432874028,2.114408734430263
5,2006-05-02,NSE:SUNTV,320.0,333.75,308.75,326.5875,1412796.0,2.5754779945820703,-4.107371432874028
6,2006-05-03,NSE:SUNTV,327.25,333.0,321.3125,324.9375,607716.0,-0.5052244804225445,2.5754779945820703
7,2006-05-04,NSE:SUNTV,323.75,327.3125,314.525,318.2125,340108.0,-2.069628774764385,-0.5052244804225445
8,2006-05-05,NSE:SUNTV,316.25,321.4625,313.75,315.675,216780.0,-0.7974231056290894,-2.069628774764385
9,2006-05-08,NSE:SUNTV,317.0,324.7,313.75,321.375,242040.0,1.8056545497742895,-0.7974231056290894
10,2006-05-09,NSE:SUNTV,325.0,352.25,325.0,346.325,2433960.0,7.763516141579148,1.8056545497742895
11,2006-05-10,NSE:SUNTV,346.25,373.675,341.25,370.325,2342548.0,6.929906879376309,7.763516141579148
12,2006-05-11,NSE:SUNTV,389.4875,405.0,344.0,357.45,2951684.0,-3.4766758927968677,6.929906879376309
13,2006-05-12,NSE:SUNTV,349.75,357.25,340.5,345.15,1212732.0,-3.441040704993709,-3.4766758927968677
14,2006-05-15,NSE:SUNTV,357.45,357.45,312.0,321.6625,1568976.0,-6.805012313486877,-3.441040704993709
15,2006-05-16,NSE:SUNTV,325.0,342.1,301.25,332.4375,1090132.0,3.3497843236311278,-6.805012313486877
16,2006-05-17,NSE:SUNTV,335.0,347.5,319.25,321.6875,671508.0,-3.233690543335213,3.3497843236311278
17,2006-05-18,NSE:SUNTV,322.5,327.2375,300.0,306.2,927720.0,-4.814455022343116,-3.233690543335213
18,2006-05-19,NSE:SUNTV,322.5,322.5,292.0,298.5,406928.0,-2.514696276943171,-4.814455022343116
19,2006-05-22,NSE:SUNTV,298.5,310.75,260.0125,288.6375,711036.0,-3.3040201005025165,-2.514696276943171
20,2006-05-23,NSE:SUNTV,287.5,292.5,275.25,289.8375,251996.0,0.4157463946992295,-3.3040201005025165
21,2006-05-24,NSE:SUNTV,287.5,296.1,284.25,287.4,250584.0,-0.8409884849268988,0.4157463946992295
22,2006-05-25,NSE:SUNTV,287.4,299.75,275.0,292.775,326728.0,1.8702157272094642,-0.8409884849268988
23,2006-05-26,NSE:SUNTV,292.5625,307.5,292.5625,303.3375,226212.0,3.6077192383229444,1.8702157272094642
24,2006-05-29,NSE:SUNTV,303.7375,313.75,302.5,306.05,165596.0,0.8942184860098189,3.6077192383229444
25,2006-05-30,NSE:SUNTV,315.0,315.0,296.525,298.8625,101864.0,-2.3484724718183303,0.8942184860098189
