,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,1999-01-05,NSE:WILLAMAGOR,24.0,24.0,24.0,24.0,100.0,,
1,1999-01-06,NSE:WILLAMAGOR,24.0,25.9,24.0,25.9,400.0,7.916666666666661,
2,1999-01-07,NSE:WILLAMAGOR,28.0,28.0,23.85,27.799999,1000.0,7.335903474903479,7.916666666666661
3,1999-01-08,NSE:WILLAMAGOR,27.799999,30.0,25.700001,25.700001,1000.0,-7.553949912012585,7.335903474903479
4,1999-01-11,NSE:WILLAMAGOR,27.700001,27.700001,26.5,26.5,200.0,3.112836454753444,-7.553949912012585
5,1999-01-12,NSE:WILLAMAGOR,27.9,27.9,24.4,24.4,300.0,-7.924528301886798,3.112836454753444
6,1999-01-13,NSE:WILLAMAGOR,22.5,22.5,22.5,22.5,100.0,-7.786885245901634,-7.924528301886798
7,1999-01-14,NSE:WILLAMAGOR,21.0,21.0,21.0,21.0,100.0,-6.666666666666667,-7.786885245901634
8,1999-01-15,NSE:WILLAMAGOR,19.6,22.0,19.6,20.049999,300.0,-4.523814285714288,-6.666666666666667
9,1999-01-21,NSE:WILLAMAGOR,19.0,19.0,19.0,19.0,100.0,-5.236903004334313,-4.523814285714288
10,1999-01-22,NSE:WILLAMAGOR,16.0,16.0,15.0,15.0,200.0,-21.052631578947366,-5.236903004334313
11,1999-01-29,NSE:WILLAMAGOR,18.0,18.0,18.0,18.0,100.0,20.0,-21.052631578947366
12,1999-02-01,NSE:WILLAMAGOR,20.0,20.0,15.2,15.2,400.0,-15.555555555555559,20.0
13,1999-02-02,NSE:WILLAMAGOR,17.799999,18.0,17.799999,18.0,200.0,18.421052631578952,-15.555555555555559
14,1999-02-03,NSE:WILLAMAGOR,18.0,18.0,17.5,17.5,500.0,-2.7777777777777777,18.421052631578952
15,1999-02-05,NSE:WILLAMAGOR,17.0,17.0,17.0,17.0,500.0,-2.857142857142857,-2.7777777777777777
16,1999-02-09,NSE:WILLAMAGOR,16.0,16.0,16.0,16.0,100.0,-5.88235294117647,-2.857142857142857
17,1999-02-11,NSE:WILLAMAGOR,15.0,15.0,15.0,15.0,100.0,-6.25,-5.88235294117647
18,1999-02-17,NSE:WILLAMAGOR,15.2,15.2,15.1,15.1,600.0,0.6666666666666643,-6.25
19,1999-02-18,NSE:WILLAMAGOR,18.0,18.0,12.85,12.85,1000.0,-14.90066225165563,0.6666666666666643
20,1999-02-19,NSE:WILLAMAGOR,15.5,15.5,15.5,15.5,100.0,20.62256809338522,-14.90066225165563
21,1999-02-22,NSE:WILLAMAGOR,16.0,16.0,15.0,15.0,1800.0,-3.225806451612903,20.62256809338522
22,1999-02-23,NSE:WILLAMAGOR,15.25,15.25,15.25,15.25,600.0,1.6666666666666667,-3.225806451612903
23,1999-02-25,NSE:WILLAMAGOR,15.0,15.0,14.2,14.85,500.0,-2.6229508196721336,1.6666666666666667
24,1999-03-03,NSE:WILLAMAGOR,15.0,15.0,15.0,15.0,500.0,1.0101010101010124,-2.6229508196721336
25,1999-03-05,NSE:WILLAMAGOR,18.5,18.5,18.5,18.5,400.0,23.333333333333332,1.0101010101010124
26,1999-03-08,NSE:WILLAMAGOR,18.799999,18.799999,16.5,16.5,600.0,-10.81081081081081,23.333333333333332
27,1999-03-09,NSE:WILLAMAGOR,15.0,17.0,15.0,15.0,1700.0,-9.090909090909092,-10.81081081081081
28,1999-03-12,NSE:WILLAMAGOR,13.1,15.0,13.1,15.0,200.0,0.0,-9.090909090909092
29,1999-03-18,NSE:WILLAMAGOR,17.5,18.0,17.5,17.950001,500.0,19.666673333333335,0.0
30,1999-03-19,NSE:WILLAMAGOR,18.85,18.85,18.85,18.85,100.0,5.013921726243921,19.666673333333335
31,1999-03-22,NSE:WILLAMAGOR,21.549999,21.6,21.0,21.5,900.0,14.058355437665773,5.013921726243921
32,1999-03-23,NSE:WILLAMAGOR,23.25,23.25,23.25,23.25,100.0,8.13953488372093,14.058355437665773
33,1999-03-25,NSE:WILLAMAGOR,25.15,25.15,25.15,25.15,500.0,8.172043010752681,8.13953488372093
34,1999-03-26,NSE:WILLAMAGOR,27.0,27.0,27.0,27.0,600.0,7.355864811133207,8.172043010752681
35,1999-03-30,NSE:WILLAMAGOR,29.1,29.15,29.1,29.15,600.0,7.9629629629629575,7.355864811133207
36,1999-03-31,NSE:WILLAMAGOR,31.5,31.5,31.5,31.5,1100.0,8.061749571183539,7.9629629629629575
37,1999-04-01,NSE:WILLAMAGOR,34.049999,34.049999,34.049999,34.049999,100.0,8.095234920634919,8.061749571183539
38,1999-04-05,NSE:WILLAMAGOR,36.799999,36.799999,36.799999,36.799999,100.0,8.07635853381376,8.095234920634919
39,1999-04-06,NSE:WILLAMAGOR,39.75,39.75,39.75,39.75,700.0,8.01630728305183,8.07635853381376
